time,label,etof,hectares
2021-06-07,1,0.507,0.297
2021-06-07,1,0.424,0.297
2021-06-07,1,0.213,0.594
2021-06-07,1,0.26,0.591
2021-06-07,1,0.047,0.664
2021-06-07,1,0.284,0.735
2021-06-07,1,0.632,0.741
2021-06-07,1,0.177,1.631
2021-06-07,1,0.761,2.504
2021-06-07,1,0.17,3.184
2021-06-07,1,0.35,3.184
2021-06-07,1,0.422,3.629
2021-06-07,1,0.357,3.631
2021-06-07,1,0.335,5.545
2021-06-07,1,0.253,6.299
2021-06-07,1,0.253,6.523
2021-06-07,1,0.379,11.784
2021-06-07,1,0.365,17.183
2021-06-07,1,0.243,30.227
2021-06-07,1,0.451,39.675
2021-06-07,1,0.308,92.698
2021-06-08,1,0.423,0.297
2021-06-08,1,0.309,0.297
2021-06-08,1,0.065,0.594
2021-06-08,1,0.076,0.591
2021-06-08,1,0.029,0.664
2021-06-08,1,0.076,0.735
2021-06-08,1,0.635,0.741
2021-06-08,1,0.024,1.631
2021-06-08,1,0.703,2.504
2021-06-08,1,0.065,3.184
2021-06-08,1,0.118,3.184
2021-06-08,1,0.321,3.629
2021-06-08,1,0.205,3.631
2021-06-08,1,0.178,5.545
2021-06-08,1,0.06,6.299
2021-06-08,1,0.212,6.523
2021-06-08,1,0.225,11.784
2021-06-08,1,0.25,17.183
2021-06-08,1,0.141,30.227
2021-06-08,1,0.272,39.675
2021-06-08,1,0.257,92.698
2021-06-09,1,1.043,0.297
2021-06-09,1,0.288,0.297
2021-06-09,1,0.103,0.594
2021-06-09,1,0.114,0.591
2021-06-09,1,0.098,0.664
2021-06-09,1,0.166,0.735
2021-06-09,1,0.624,0.741
2021-06-09,1,0.04,1.631
2021-06-09,1,0.616,2.504
2021-06-09,1,0.107,3.184
2021-06-09,1,0.156,3.184
2021-06-09,1,0.861,3.629
2021-06-09,1,0.681,3.631
2021-06-09,1,0.35,5.545
2021-06-09,1,0.092,6.299
2021-06-09,1,0.187,6.523
2021-06-09,1,0.26,11.784
2021-06-09,1,0.258,17.183
2021-06-09,1,0.815,30.227
2021-06-09,1,0.262,39.675
2021-06-09,1,0.246,92.698
2021-06-10,1,0.75,0.297
2021-06-10,1,0.288,0.297
2021-06-10,1,0.103,0.594
2021-06-10,1,0.114,0.591
2021-06-10,1,0.098,0.664
2021-06-10,1,0.166,0.735
2021-06-10,1,0.624,0.741
2021-06-10,1,0.04,1.631
2021-06-10,1,0.616,2.504
2021-06-10,1,0.107,3.184
2021-06-10,1,0.156,3.184
2021-06-10,1,0.572,3.629
2021-06-10,1,0.42,3.631
2021-06-10,1,0.294,5.545
2021-06-10,1,0.092,6.299
2021-06-10,1,0.187,6.523
2021-06-10,1,0.26,11.784
2021-06-10,1,0.258,17.183
2021-06-10,1,0.506,30.227
2021-06-10,1,0.262,39.675
2021-06-10,1,0.246,92.698
2021-06-11,1,0.75,0.297
2021-06-11,1,0.288,0.297
2021-06-11,1,0.103,0.594
2021-06-11,1,0.114,0.591
2021-06-11,1,0.098,0.664
2021-06-11,1,0.166,0.735
2021-06-11,1,0.624,0.741
2021-06-11,1,0.04,1.631
2021-06-11,1,0.616,2.504
2021-06-11,1,0.107,3.184
2021-06-11,1,0.156,3.184
2021-06-11,1,0.572,3.629
2021-06-11,1,0.42,3.631
2021-06-11,1,0.294,5.545
2021-06-11,1,0.092,6.299
2021-06-11,1,0.187,6.523
2021-06-11,1,0.26,11.784
2021-06-11,1,0.258,17.183
2021-06-11,1,0.506,30.227
2021-06-11,1,0.262,39.675
2021-06-11,1,0.246,92.698
2021-06-12,1,0.75,0.297
2021-06-12,1,0.288,0.297
2021-06-12,1,0.103,0.594
2021-06-12,1,0.114,0.591
2021-06-12,1,0.098,0.664
2021-06-12,1,0.166,0.735
2021-06-12,1,0.624,0.741
2021-06-12,1,0.04,1.631
2021-06-12,1,0.616,2.504
2021-06-12,1,0.107,3.184
2021-06-12,1,0.156,3.184
2021-06-12,1,0.572,3.629
2021-06-12,1,0.42,3.631
2021-06-12,1,0.294,5.545
2021-06-12,1,0.092,6.299
2021-06-12,1,0.187,6.523
2021-06-12,1,0.26,11.784
2021-06-12,1,0.258,17.183
2021-06-12,1,0.506,30.227
2021-06-12,1,0.262,39.675
2021-06-12,1,0.246,92.698
2021-06-13,1,0.75,0.297
2021-06-13,1,0.288,0.297
2021-06-13,1,0.103,0.594
2021-06-13,1,0.114,0.591
2021-06-13,1,0.098,0.664
2021-06-13,1,0.166,0.735
2021-06-13,1,0.624,0.741
2021-06-13,1,0.04,1.631
2021-06-13,1,0.616,2.504
2021-06-13,1,0.107,3.184
2021-06-13,1,0.156,3.184
2021-06-13,1,0.572,3.629
2021-06-13,1,0.42,3.631
2021-06-13,1,0.294,5.545
2021-06-13,1,0.092,6.299
2021-06-13,1,0.187,6.523
2021-06-13,1,0.26,11.784
2021-06-13,1,0.258,17.183
2021-06-13,1,0.506,30.227
2021-06-13,1,0.262,39.675
2021-06-13,1,0.246,92.698
2021-06-14,1,0.75,0.297
2021-06-14,1,0.288,0.297
2021-06-14,1,0.103,0.594
2021-06-14,1,0.114,0.591
2021-06-14,1,0.098,0.664
2021-06-14,1,0.166,0.735
2021-06-14,1,0.624,0.741
2021-06-14,1,0.04,1.631
2021-06-14,1,0.616,2.504
2021-06-14,1,0.107,3.184
2021-06-14,1,0.156,3.184
2021-06-14,1,0.572,3.629
2021-06-14,1,0.42,3.631
2021-06-14,1,0.294,5.545
2021-06-14,1,0.092,6.299
2021-06-14,1,0.187,6.523
2021-06-14,1,0.26,11.784
2021-06-14,1,0.258,17.183
2021-06-14,1,0.506,30.227
2021-06-14,1,0.262,39.675
2021-06-14,1,0.246,92.698
2021-06-15,1,0.75,0.297
2021-06-15,1,0.288,0.297
2021-06-15,1,0.103,0.594
2021-06-15,1,0.114,0.591
2021-06-15,1,0.098,0.664
2021-06-15,1,0.166,0.735
2021-06-15,1,0.624,0.741
2021-06-15,1,0.04,1.631
2021-06-15,1,0.616,2.504
2021-06-15,1,0.107,3.184
2021-06-15,1,0.156,3.184
2021-06-15,1,0.572,3.629
2021-06-15,1,0.42,3.631
2021-06-15,1,0.294,5.545
2021-06-15,1,0.092,6.299
2021-06-15,1,0.187,6.523
2021-06-15,1,0.26,11.784
2021-06-15,1,0.258,17.183
2021-06-15,1,0.506,30.227
2021-06-15,1,0.262,39.675
2021-06-15,1,0.246,92.698
2021-06-16,1,0.457,0.297
2021-06-16,1,0.268,0.297
2021-06-16,1,0.142,0.594
2021-06-16,1,0.114,0.591
2021-06-16,1,0.098,0.664
2021-06-16,1,0.256,0.735
2021-06-16,1,0.624,0.741
2021-06-16,1,0.057,1.631
2021-06-16,1,0.53,2.504
2021-06-16,1,0.117,3.184
2021-06-16,1,0.193,3.184
2021-06-16,1,0.418,3.629
2021-06-16,1,0.142,3.631
2021-06-16,1,0.29,5.545
2021-06-16,1,0.118,6.299
2021-06-16,1,0.192,6.523
2021-06-16,1,0.295,11.784
2021-06-16,1,0.264,17.183
2021-06-16,1,0.39,30.227
2021-06-16,1,0.232,39.675
2021-06-16,1,0.237,92.698
2021-06-17,1,0.324,0.297
2021-06-17,1,0.285,0.297
2021-06-17,1,0.208,0.594
2021-06-17,1,0.152,0.591
2021-06-17,1,0.098,0.664
2021-06-17,1,0.174,0.735
2021-06-17,1,0.624,0.741
2021-06-17,1,0.025,1.631
2021-06-17,1,0.7,2.504
2021-06-17,1,0.111,3.184
2021-06-17,1,0.151,3.184
2021-06-17,1,0.369,3.629
2021-06-17,1,0.188,3.631
2021-06-17,1,0.273,5.545
2021-06-17,1,0.098,6.299
2021-06-17,1,0.187,6.523
2021-06-17,1,0.291,11.784
2021-06-17,1,0.213,17.183
2021-06-17,1,0.345,30.227
2021-06-17,1,0.367,39.675
2021-06-17,1,0.212,92.698
2021-06-18,1,0.324,0.297
2021-06-18,1,0.285,0.297
2021-06-18,1,0.208,0.594
2021-06-18,1,0.253,0.591
2021-06-18,1,0.098,0.664
2021-06-18,1,0.174,0.735
2021-06-18,1,0.624,0.741
2021-06-18,1,0.128,1.631
2021-06-18,1,0.502,2.504
2021-06-18,1,0.111,3.184
2021-06-18,1,0.326,3.184
2021-06-18,1,0.369,3.629
2021-06-18,1,0.318,3.631
2021-06-18,1,0.273,5.545
2021-06-18,1,0.214,6.299
2021-06-18,1,0.187,6.523
2021-06-18,1,0.291,11.784
2021-06-18,1,0.213,17.183
2021-06-18,1,0.345,30.227
2021-06-18,1,0.277,39.675
2021-06-18,1,0.212,92.698
2021-06-19,1,0.324,0.297
2021-06-19,1,0.285,0.297
2021-06-19,1,0.208,0.594
2021-06-19,1,0.253,0.591
2021-06-19,1,0.098,0.664
2021-06-19,1,0.174,0.735
2021-06-19,1,0.624,0.741
2021-06-19,1,0.128,1.631
2021-06-19,1,0.502,2.504
2021-06-19,1,0.111,3.184
2021-06-19,1,0.326,3.184
2021-06-19,1,0.369,3.629
2021-06-19,1,0.318,3.631
2021-06-19,1,0.273,5.545
2021-06-19,1,0.214,6.299
2021-06-19,1,0.187,6.523
2021-06-19,1,0.291,11.784
2021-06-19,1,0.213,17.183
2021-06-19,1,0.345,30.227
2021-06-19,1,0.277,39.675
2021-06-19,1,0.212,92.698
2021-06-20,1,0.324,0.297
2021-06-20,1,0.285,0.297
2021-06-20,1,0.208,0.594
2021-06-20,1,0.253,0.591
2021-06-20,1,0.098,0.664
2021-06-20,1,0.174,0.735
2021-06-20,1,0.624,0.741
2021-06-20,1,0.128,1.631
2021-06-20,1,0.502,2.504
2021-06-20,1,0.111,3.184
2021-06-20,1,0.326,3.184
2021-06-20,1,0.369,3.629
2021-06-20,1,0.318,3.631
2021-06-20,1,0.273,5.545
2021-06-20,1,0.214,6.299
2021-06-20,1,0.187,6.523
2021-06-20,1,0.291,11.784
2021-06-20,1,0.213,17.183
2021-06-20,1,0.345,30.227
2021-06-20,1,0.277,39.675
2021-06-20,1,0.212,92.698
2021-06-21,1,0.324,0.297
2021-06-21,1,0.285,0.297
2021-06-21,1,0.208,0.594
2021-06-21,1,0.253,0.591
2021-06-21,1,0.098,0.664
2021-06-21,1,0.174,0.735
2021-06-21,1,0.624,0.741
2021-06-21,1,0.128,1.631
2021-06-21,1,0.502,2.504
2021-06-21,1,0.111,3.184
2021-06-21,1,0.326,3.184
2021-06-21,1,0.369,3.629
2021-06-21,1,0.318,3.631
2021-06-21,1,0.273,5.545
2021-06-21,1,0.214,6.299
2021-06-21,1,0.187,6.523
2021-06-21,1,0.291,11.784
2021-06-21,1,0.213,17.183
2021-06-21,1,0.345,30.227
2021-06-21,1,0.277,39.675
2021-06-21,1,0.212,92.698
2021-06-22,1,0.324,0.297
2021-06-22,1,0.285,0.297
2021-06-22,1,0.208,0.594
2021-06-22,1,0.253,0.591
2021-06-22,1,0.098,0.664
2021-06-22,1,0.174,0.735
2021-06-22,1,0.624,0.741
2021-06-22,1,0.128,1.631
2021-06-22,1,0.502,2.504
2021-06-22,1,0.111,3.184
2021-06-22,1,0.326,3.184
2021-06-22,1,0.369,3.629
2021-06-22,1,0.318,3.631
2021-06-22,1,0.273,5.545
2021-06-22,1,0.214,6.299
2021-06-22,1,0.187,6.523
2021-06-22,1,0.291,11.784
2021-06-22,1,0.213,17.183
2021-06-22,1,0.345,30.227
2021-06-22,1,0.277,39.675
2021-06-22,1,0.212,92.698
2021-06-23,1,0.324,0.297
2021-06-23,1,0.285,0.297
2021-06-23,1,0.208,0.594
2021-06-23,1,0.253,0.591
2021-06-23,1,0.098,0.664
2021-06-23,1,0.174,0.735
2021-06-23,1,0.624,0.741
2021-06-23,1,0.128,1.631
2021-06-23,1,0.502,2.504
2021-06-23,1,0.111,3.184
2021-06-23,1,0.326,3.184
2021-06-23,1,0.369,3.629
2021-06-23,1,0.318,3.631
2021-06-23,1,0.273,5.545
2021-06-23,1,0.214,6.299
2021-06-23,1,0.187,6.523
2021-06-23,1,0.291,11.784
2021-06-23,1,0.213,17.183
2021-06-23,1,0.345,30.227
2021-06-23,1,0.277,39.675
2021-06-23,1,0.212,92.698
2021-06-24,1,0.191,0.297
2021-06-24,1,0.302,0.297
2021-06-24,1,0.273,0.594
2021-06-24,1,0.353,0.591
