time,label,etof,hectares
2021-06-07,1,0.411,0.297
2021-06-07,1,0.487,0.297
2021-06-07,1,0.271,0.594
2021-06-07,1,0.338,0.591
2021-06-07,1,0.312,0.664
2021-06-07,1,0.307,0.735
2021-06-07,1,0.631,0.741
2021-06-07,1,0.239,1.631
2021-06-07,1,0.662,2.504
2021-06-07,1,0.344,3.184
2021-06-07,1,0.347,3.184
2021-06-07,1,0.269,3.629
2021-06-07,1,0.379,3.631
2021-06-07,1,0.249,5.545
2021-06-07,1,0.303,6.299
2021-06-07,1,0.231,6.523
2021-06-07,1,0.358,11.784
2021-06-07,1,0.353,17.183
2021-06-07,1,0.262,30.227
2021-06-07,1,0.538,39.675
2021-06-07,1,0.378,92.698
2021-06-08,1,0.365,0.297
2021-06-08,1,0.452,0.297
2021-06-08,1,0.261,0.594
2021-06-08,1,0.323,0.591
2021-06-08,1,0.28,0.664
2021-06-08,1,0.243,0.735
2021-06-08,1,0.587,0.741
2021-06-08,1,0.252,1.631
2021-06-08,1,0.642,2.504
2021-06-08,1,0.312,3.184
2021-06-08,1,0.295,3.184
2021-06-08,1,0.274,3.629
2021-06-08,1,0.366,3.631
2021-06-08,1,0.222,5.545
2021-06-08,1,0.274,6.299
2021-06-08,1,0.215,6.523
2021-06-08,1,0.325,11.784
2021-06-08,1,0.332,17.183
2021-06-08,1,0.219,30.227
2021-06-08,1,0.512,39.675
2021-06-08,1,0.357,92.698
2021-06-09,1,0.509,0.297
2021-06-09,1,0.388,0.297
2021-06-09,1,0.219,0.594
2021-06-09,1,0.306,0.591
2021-06-09,1,0.246,0.664
2021-06-09,1,0.226,0.735
2021-06-09,1,0.502,0.741
2021-06-09,1,0.183,1.631
2021-06-09,1,0.562,2.504
2021-06-09,1,0.246,3.184
2021-06-09,1,0.283,3.184
2021-06-09,1,0.44,3.629
2021-06-09,1,0.584,3.631
2021-06-09,1,0.266,5.545
2021-06-09,1,0.277,6.299
2021-06-09,1,0.349,6.523
2021-06-09,1,0.314,11.784
2021-06-09,1,0.293,17.183
2021-06-09,1,0.507,30.227
2021-06-09,1,0.473,39.675
2021-06-09,1,0.306,92.698
2021-06-10,1,0.415,0.297
2021-06-10,1,0.388,0.297
2021-06-10,1,0.219,0.594
2021-06-10,1,0.306,0.591
2021-06-10,1,0.246,0.664
2021-06-10,1,0.226,0.735
2021-06-10,1,0.524,0.741
2021-06-10,1,0.183,1.631
2021-06-10,1,0.562,2.504
2021-06-10,1,0.246,3.184
2021-06-10,1,0.283,3.184
2021-06-10,1,0.303,3.629
2021-06-10,1,0.442,3.631
2021-06-10,1,0.233,5.545
2021-06-10,1,0.277,6.299
2021-06-10,1,0.257,6.523
2021-06-10,1,0.302,11.784
2021-06-10,1,0.291,17.183
2021-06-10,1,0.334,30.227
2021-06-10,1,0.473,39.675
2021-06-10,1,0.306,92.698
2021-06-11,1,0.415,0.297
2021-06-11,1,0.388,0.297
2021-06-11,1,0.219,0.594
2021-06-11,1,0.306,0.591
2021-06-11,1,0.246,0.664
2021-06-11,1,0.226,0.735
2021-06-11,1,0.524,0.741
2021-06-11,1,0.183,1.631
2021-06-11,1,0.562,2.504
2021-06-11,1,0.246,3.184
2021-06-11,1,0.283,3.184
2021-06-11,1,0.303,3.629
2021-06-11,1,0.442,3.631
2021-06-11,1,0.233,5.545
2021-06-11,1,0.277,6.299
2021-06-11,1,0.257,6.523
2021-06-11,1,0.302,11.784
2021-06-11,1,0.291,17.183
2021-06-11,1,0.334,30.227
2021-06-11,1,0.473,39.675
2021-06-11,1,0.306,92.698
2021-06-12,1,0.415,0.297
2021-06-12,1,0.388,0.297
2021-06-12,1,0.219,0.594
2021-06-12,1,0.306,0.591
2021-06-12,1,0.246,0.664
2021-06-12,1,0.226,0.735
2021-06-12,1,0.524,0.741
2021-06-12,1,0.183,1.631
2021-06-12,1,0.562,2.504
2021-06-12,1,0.246,3.184
2021-06-12,1,0.283,3.184
2021-06-12,1,0.303,3.629
2021-06-12,1,0.442,3.631
2021-06-12,1,0.233,5.545
2021-06-12,1,0.277,6.299
2021-06-12,1,0.257,6.523
2021-06-12,1,0.302,11.784
2021-06-12,1,0.291,17.183
2021-06-12,1,0.334,30.227
2021-06-12,1,0.473,39.675
2021-06-12,1,0.306,92.698
2021-06-13,1,0.415,0.297
2021-06-13,1,0.388,0.297
2021-06-13,1,0.219,0.594
2021-06-13,1,0.306,0.591
2021-06-13,1,0.246,0.664
2021-06-13,1,0.226,0.735
2021-06-13,1,0.524,0.741
2021-06-13,1,0.183,1.631
2021-06-13,1,0.562,2.504
2021-06-13,1,0.246,3.184
2021-06-13,1,0.283,3.184
