time,label,etof,hectares
2021-06-07,1,0.564,0.297
2021-06-07,1,0.674,0.297
2021-06-07,1,0.482,0.594
2021-06-07,1,0.653,0.591
2021-06-07,1,0.612,0.664
2021-06-07,1,0.543,0.735
2021-06-07,1,0.79,0.741
2021-06-07,1,0.56,1.631
2021-06-07,1,0.824,2.504
2021-06-07,1,0.601,3.184
2021-06-07,1,0.583,3.184
2021-06-07,1,0.493,3.629
2021-06-07,1,0.705,3.631
2021-06-07,1,0.494,5.545
2021-06-07,1,0.597,6.299
2021-06-07,1,0.498,6.523
2021-06-07,1,0.595,11.784
2021-06-07,1,0.607,17.183
2021-06-07,1,0.548,30.227
2021-06-07,1,0.739,39.675
2021-06-07,1,0.607,92.698
2021-06-08,1,0.482,0.297
2021-06-08,1,0.616,0.297
2021-06-08,1,0.428,0.594
2021-06-08,1,0.51,0.591
2021-06-08,1,0.483,0.664
2021-06-08,1,0.458,0.735
2021-06-08,1,0.686,0.741
2021-06-08,1,0.457,1.631
2021-06-08,1,0.727,2.504
2021-06-08,1,0.507,3.184
2021-06-08,1,0.443,3.184
2021-06-08,1,0.447,3.629
2021-06-08,1,0.619,3.631
2021-06-08,1,0.424,5.545
2021-06-08,1,0.453,6.299
2021-06-08,1,0.396,6.523
2021-06-08,1,0.532,11.784
2021-06-08,1,0.559,17.183
2021-06-08,1,0.434,30.227
2021-06-08,1,0.629,39.675
2021-06-08,1,0.546,92.698
2021-06-09,1,0.786,0.297
2021-06-09,1,0.604,0.297
2021-06-09,1,0.387,0.594
2021-06-09,1,0.593,0.591
2021-06-09,1,0.386,0.664
2021-06-09,1,0.468,0.735
2021-06-09,1,0.781,0.741
2021-06-09,1,0.362,1.631
2021-06-09,1,0.701,2.504
2021-06-09,1,0.42,3.184
2021-06-09,1,0.466,3.184
2021-06-09,1,0.778,3.629
2021-06-09,1,0.776,3.631
2021-06-09,1,0.472,5.545
2021-06-09,1,0.497,6.299
2021-06-09,1,0.358,6.523
2021-06-09,1,0.524,11.784
2021-06-09,1,0.53,17.183
2021-06-09,1,0.757,30.227
2021-06-09,1,0.659,39.675
2021-06-09,1,0.506,92.698
2021-06-10,1,0.65,0.297
2021-06-10,1,0.604,0.297
2021-06-10,1,0.387,0.594
2021-06-10,1,0.593,0.591
2021-06-10,1,0.386,0.664
2021-06-10,1,0.468,0.735
2021-06-10,1,0.705,0.741
2021-06-10,1,0.362,1.631
2021-06-10,1,0.701,2.504
2021-06-10,1,0.42,3.184
2021-06-10,1,0.466,3.184
2021-06-10,1,0.502,3.629
2021-06-10,1,0.677,3.631
2021-06-10,1,0.432,5.545
2021-06-10,1,0.497,6.299
2021-06-10,1,0.317,6.523
2021-06-10,1,0.523,11.784
2021-06-10,1,0.529,17.183
2021-06-10,1,0.515,30.227
2021-06-10,1,0.659,39.675
2021-06-10,1,0.506,92.698
2021-06-11,1,0.65,0.297
2021-06-11,1,0.604,0.297
2021-06-11,1,0.387,0.594
2021-06-11,1,0.593,0.591
2021-06-11,1,0.386,0.664
2021-06-11,1,0.468,0.735
2021-06-11,1,0.705,0.741
2021-06-11,1,0.362,1.631
2021-06-11,1,0.701,2.504
2021-06-11,1,0.42,3.184
2021-06-11,1,0.466,3.184
2021-06-11,1,0.502,3.629
2021-06-11,1,0.677,3.631
2021-06-11,1,0.432,5.545
2021-06-11,1,0.497,6.299
2021-06-11,1,0.317,6.523
2021-06-11,1,0.523,11.784
2021-06-11,1,0.529,17.183
2021-06-11,1,0.515,30.227
2021-06-11,1,0.659,39.675
2021-06-11,1,0.506,92.698
2021-06-12,1,0.65,0.297
2021-06-12,1,0.604,0.297
2021-06-12,1,0.387,0.594
2021-06-12,1,0.593,0.591
2021-06-12,1,0.386,0.664
2021-06-12,1,0.468,0.735
2021-06-12,1,0.705,0.741
2021-06-12,1,0.362,1.631
2021-06-12,1,0.701,2.504
2021-06-12,1,0.42,3.184
2021-06-12,1,0.466,3.184
2021-06-12,1,0.502,3.629
2021-06-12,1,0.677,3.631
2021-06-12,1,0.432,5.545
2021-06-12,1,0.497,6.299
2021-06-12,1,0.317,6.523
2021-06-12,1,0.523,11.784
2021-06-12,1,0.529,17.183
2021-06-12,1,0.515,30.227
2021-06-12,1,0.659,39.675
2021-06-12,1,0.506,92.698
2021-06-13,1,0.65,0.297
2021-06-13,1,0.604,0.297
2021-06-13,1,0.387,0.594
2021-06-13,1,0.593,0.591
2021-06-13,1,0.386,0.664
2021-06-13,1,0.468,0.735
2021-06-13,1,0.705,0.741
2021-06-13,1,0.362,1.631
2021-06-13,1,0.701,2.504
2021-06-13,1,0.42,3.184
2021-06-13,1,0.466,3.184
2021-06-13,1,0.502,3.629
2021-06-13,1,0.677,3.631
2021-06-13,1,0.432,5.545
2021-06-13,1,0.497,6.299
2021-06-13,1,0.317,6.523
2021-06-13,1,0.523,11.784
2021-06-13,1,0.529,17.183
2021-06-13,1,0.515,30.227
2021-06-13,1,0.659,39.675
2021-06-13,1,0.506,92.698
2021-06-14,1,0.65,0.297
2021-06-14,1,0.604,0.297
2021-06-14,1,0.387,0.594
2021-06-14,1,0.593,0.591
2021-06-14,1,0.386,0.664
2021-06-14,1,0.468,0.735
2021-06-14,1,0.705,0.741
2021-06-14,1,0.362,1.631
2021-06-14,1,0.701,2.504
2021-06-14,1,0.42,3.184
2021-06-14,1,0.466,3.184
2021-06-14,1,0.502,3.629
2021-06-14,1,0.677,3.631
2021-06-14,1,0.432,5.545
2021-06-14,1,0.497,6.299
2021-06-14,1,0.317,6.523
2021-06-14,1,0.523,11.784
2021-06-14,1,0.529,17.183
2021-06-14,1,0.515,30.227
2021-06-14,1,0.659,39.675
2021-06-14,1,0.506,92.698
2021-06-15,1,0.65,0.297
2021-06-15,1,0.604,0.297
2021-06-15,1,0.387,0.594
2021-06-15,1,0.593,0.591
2021-06-15,1,0.386,0.664
2021-06-15,1,0.468,0.735
2021-06-15,1,0.705,0.741
2021-06-15,1,0.362,1.631
2021-06-15,1,0.701,2.504
2021-06-15,1,0.42,3.184
2021-06-15,1,0.466,3.184
2021-06-15,1,0.502,3.629
2021-06-15,1,0.677,3.631
2021-06-15,1,0.432,5.545
2021-06-15,1,0.497,6.299
2021-06-15,1,0.317,6.523
2021-06-15,1,0.523,11.784
