time,label,etof,hectares
2021-06-07,1,0.236,0.297
2021-06-07,1,0.379,0.297
2021-06-07,1,0.26,0.594
2021-06-07,1,0.325,0.591
2021-06-07,1,0.296,0.664
2021-06-07,1,0.202,0.735
2021-06-07,1,0.252,0.741
2021-06-07,1,0.18,1.631
2021-06-07,1,0.506,2.504
2021-06-07,1,0.28,3.184
2021-06-07,1,0.293,3.184
2021-06-07,1,0.226,3.629
2021-06-07,1,0.281,3.631
2021-06-07,1,0.226,5.545
2021-06-07,1,0.29,6.299
2021-06-07,1,0.202,6.523
2021-06-07,1,0.306,11.784
2021-06-07,1,0.209,17.183
2021-06-07,1,0.201,30.227
2021-06-07,1,0.453,39.675
2021-06-07,1,0.244,92.698
2021-06-08,1,0.231,0.297
2021-06-08,1,0.369,0.297
2021-06-08,1,0.25,0.594
2021-06-08,1,0.31,0.591
2021-06-08,1,0.272,0.664
2021-06-08,1,0.194,0.735
2021-06-08,1,0.232,0.741
2021-06-08,1,0.182,1.631
2021-06-08,1,0.481,2.504
2021-06-08,1,0.264,3.184
2021-06-08,1,0.285,3.184
2021-06-08,1,0.227,3.629
2021-06-08,1,0.275,3.631
2021-06-08,1,0.222,5.545
2021-06-08,1,0.281,6.299
2021-06-08,1,0.194,6.523
2021-06-08,1,0.295,11.784
2021-06-08,1,0.205,17.183
2021-06-08,1,0.189,30.227
2021-06-08,1,0.427,39.675
2021-06-08,1,0.234,92.698
2021-06-09,1,0.185,0.297
2021-06-09,1,0.356,0.297
2021-06-09,1,0.238,0.594
2021-06-09,1,0.335,0.591
2021-06-09,1,0.26,0.664
2021-06-09,1,0.18,0.735
2021-06-09,1,0.267,0.741
2021-06-09,1,0.176,1.631
2021-06-09,1,0.49,2.504
2021-06-09,1,0.238,3.184
2021-06-09,1,0.296,3.184
2021-06-09,1,0.171,3.629
2021-06-09,1,0.22,3.631
2021-06-09,1,0.198,5.545
2021-06-09,1,0.287,6.299
2021-06-09,1,0.178,6.523
2021-06-09,1,0.283,11.784
2021-06-09,1,0.19,17.183
2021-06-09,1,0.146,30.227
2021-06-09,1,0.44,39.675
2021-06-09,1,0.221,92.698
2021-06-10,1,0.182,0.297
2021-06-10,1,0.356,0.297
2021-06-10,1,0.238,0.594
2021-06-10,1,0.335,0.591
2021-06-10,1,0.26,0.664
2021-06-10,1,0.18,0.735
2021-06-10,1,0.255,0.741
2021-06-10,1,0.176,1.631
2021-06-10,1,0.49,2.504
2021-06-10,1,0.238,3.184
2021-06-10,1,0.296,3.184
2021-06-10,1,0.178,3.629
2021-06-10,1,0.241,3.631
2021-06-10,1,0.199,5.545
2021-06-10,1,0.287,6.299
2021-06-10,1,0.18,6.523
2021-06-10,1,0.284,11.784
2021-06-10,1,0.19,17.183
2021-06-10,1,0.158,30.227
2021-06-10,1,0.44,39.675
2021-06-10,1,0.221,92.698
2021-06-11,1,0.182,0.297
2021-06-11,1,0.356,0.297
2021-06-11,1,0.238,0.594
2021-06-11,1,0.335,0.591
2021-06-11,1,0.26,0.664
2021-06-11,1,0.18,0.735
2021-06-11,1,0.255,0.741
2021-06-11,1,0.176,1.631
2021-06-11,1,0.49,2.504
2021-06-11,1,0.238,3.184
2021-06-11,1,0.296,3.184
2021-06-11,1,0.178,3.629
2021-06-11,1,0.241,3.631
2021-06-11,1,0.199,5.545
2021-06-11,1,0.287,6.299
2021-06-11,1,0.18,6.523
2021-06-11,1,0.284,11.784
2021-06-11,1,0.19,17.183
2021-06-11,1,0.158,30.227
2021-06-11,1,0.44,39.675
2021-06-11,1,0.221,92.698
2021-06-12,1,0.182,0.297
2021-06-12,1,0.356,0.297
2021-06-12,1,0.238,0.594
2021-06-12,1,0.335,0.591
2021-06-12,1,0.26,0.664
2021-06-12,1,0.18,0.735
