time,label,etof,hectares
2021-06-07,1,0.403,0.297
2021-06-07,1,0.467,0.297
2021-06-07,1,0.258,0.594
2021-06-07,1,0.347,0.591
2021-06-07,1,0.245,0.664
2021-06-07,1,0.274,0.735
2021-06-07,1,0.594,0.741
2021-06-07,1,0.216,1.631
2021-06-07,1,0.63,2.504
2021-06-07,1,0.289,3.184
2021-06-07,1,0.387,3.184
2021-06-07,1,0.262,3.629
2021-06-07,1,0.385,3.631
2021-06-07,1,0.217,5.545
2021-06-07,1,0.324,6.299
2021-06-07,1,0.231,6.523
2021-06-07,1,0.328,11.784
2021-06-07,1,0.379,17.183
2021-06-07,1,0.244,30.227
2021-06-07,1,0.547,39.675
2021-06-07,1,0.369,92.698
2021-06-08,1,0.358,0.297
2021-06-08,1,0.452,0.297
2021-06-08,1,0.272,0.594
2021-06-08,1,0.38,0.591
2021-06-08,1,0.247,0.664
2021-06-08,1,0.231,0.735
2021-06-08,1,0.601,0.741
2021-06-08,1,0.256,1.631
2021-06-08,1,0.657,2.504
2021-06-08,1,0.289,3.184
2021-06-08,1,0.443,3.184
2021-06-08,1,0.287,3.629
2021-06-08,1,0.411,3.631
2021-06-08,1,0.213,5.545
2021-06-08,1,0.366,6.299
2021-06-08,1,0.235,6.523
2021-06-08,1,0.324,11.784
2021-06-08,1,0.396,17.183
2021-06-08,1,0.233,30.227
2021-06-08,1,0.577,39.675
2021-06-08,1,0.378,92.698
2021-06-09,1,0.26,0.297
2021-06-09,1,0.403,0.297
2021-06-09,1,0.241,0.594
2021-06-09,1,0.377,0.591
2021-06-09,1,0.212,0.664
2021-06-09,1,0.246,0.735
2021-06-09,1,0.41,0.741
2021-06-09,1,0.18,1.631
2021-06-09,1,0.582,2.504
2021-06-09,1,0.238,3.184
2021-06-09,1,0.367,3.184
2021-06-09,1,0.062,3.629
2021-06-09,1,0.372,3.631
2021-06-09,1,0.237,5.545
2021-06-09,1,0.317,6.299
2021-06-09,1,0.261,6.523
2021-06-09,1,0.298,11.784
2021-06-09,1,0.356,17.183
2021-06-09,1,0.393,30.227
2021-06-09,1,0.526,39.675
2021-06-09,1,0.335,92.698
2021-06-10,1,0.316,0.297
2021-06-10,1,0.403,0.297
2021-06-10,1,0.241,0.594
2021-06-10,1,0.377,0.591
2021-06-10,1,0.212,0.664
2021-06-10,1,0.246,0.735
2021-06-10,1,0.441,0.741
2021-06-10,1,0.18,1.631
2021-06-10,1,0.582,2.504
2021-06-10,1,0.238,3.184
2021-06-10,1,0.367,3.184
2021-06-10,1,0.096,3.629
2021-06-10,1,0.36,3.631
2021-06-10,1,0.213,5.545
2021-06-10,1,0.317,6.299
2021-06-10,1,0.219,6.523
2021-06-10,1,0.297,11.784
2021-06-10,1,0.357,17.183
2021-06-10,1,0.273,30.227
2021-06-10,1,0.526,39.675
2021-06-10,1,0.335,92.698
2021-06-11,1,0.316,0.297
2021-06-11,1,0.403,0.297
2021-06-11,1,0.241,0.594
2021-06-11,1,0.377,0.591
2021-06-11,1,0.212,0.664
2021-06-11,1,0.246,0.735
2021-06-11,1,0.441,0.741
2021-06-11,1,0.18,1.631
2021-06-11,1,0.582,2.504
2021-06-11,1,0.238,3.184
2021-06-11,1,0.367,3.184
2021-06-11,1,0.096,3.629
2021-06-11,1,0.36,3.631
2021-06-11,1,0.213,5.545
2021-06-11,1,0.317,6.299
2021-06-11,1,0.219,6.523
2021-06-11,1,0.297,11.784
2021-06-11,1,0.357,17.183
2021-06-11,1,0.273,30.227
2021-06-11,1,0.526,39.675
2021-06-11,1,0.335,92.698
2021-06-12,1,0.316,0.297
2021-06-12,1,0.403,0.297
2021-06-12,1,0.241,0.594
2021-06-12,1,0.377,0.591
2021-06-12,1,0.212,0.664
2021-06-12,1,0.246,0.735
2021-06-12,1,0.441,0.741
2021-06-12,1,0.18,1.631
2021-06-12,1,0.582,2.504
2021-06-12,1,0.238,3.184
2021-06-12,1,0.367,3.184
2021-06-12,1,0.096,3.629
2021-06-12,1,0.36,3.631
2021-06-12,1,0.213,5.545
2021-06-12,1,0.317,6.299
2021-06-12,1,0.219,6.523
2021-06-12,1,0.297,11.784
2021-06-12,1,0.357,17.183
2021-06-12,1,0.273,30.227
2021-06-12,1,0.526,39.675
2021-06-12,1,0.335,92.698
2021-06-13,1,0.316,0.297
2021-06-13,1,0.403,0.297
2021-06-13,1,0.241,0.594
2021-06-13,1,0.377,0.591
2021-06-13,1,0.212,0.664
2021-06-13,1,0.246,0.735
2021-06-13,1,0.441,0.741
2021-06-13,1,0.18,1.631
2021-06-13,1,0.582,2.504
2021-06-13,1,0.238,3.184
2021-06-13,1,0.367,3.184
2021-06-13,1,0.096,3.629
2021-06-13,1,0.36,3.631
2021-06-13,1,0.213,5.545
2021-06-13,1,0.317,6.299
2021-06-13,1,0.219,6.523
2021-06-13,1,0.297,11.784
2021-06-13,1,0.357,17.183
2021-06-13,1,0.273,30.227
2021-06-13,1,0.526,39.675
2021-06-13,1,0.335,92.698
2021-06-14,1,0.316,0.297
2021-06-14,1,0.403,0.297
2021-06-14,1,0.241,0.594
2021-06-14,1,0.377,0.591
2021-06-14,1,0.212,0.664
2021-06-14,1,0.246,0.735
2021-06-14,1,0.441,0.741
2021-06-14,1,0.18,1.631
2021-06-14,1,0.582,2.504
2021-06-14,1,0.238,3.184
2021-06-14,1,0.367,3.184
2021-06-14,1,0.096,3.629
2021-06-14,1,0.36,3.631
2021-06-14,1,0.213,5.545
2021-06-14,1,0.317,6.299
2021-06-14,1,0.219,6.523
2021-06-14,1,0.297,11.784
2021-06-14,1,0.357,17.183
2021-06-14,1,0.273,30.227
2021-06-14,1,0.526,39.675
2021-06-14,1,0.335,92.698
2021-06-15,1,0.316,0.297
2021-06-15,1,0.403,0.297
2021-06-15,1,0.241,0.594
2021-06-15,1,0.377,0.591
2021-06-15,1,0.212,0.664
2021-06-15,1,0.246,0.735
2021-06-15,1,0.441,0.741
2021-06-15,1,0.18,1.631
2021-06-15,1,0.582,2.504
2021-06-15,1,0.238,3.184
2021-06-15,1,0.367,3.184
2021-06-15,1,0.096,3.629
2021-06-15,1,0.36,3.631
2021-06-15,1,0.213,5.545
2021-06-15,1,0.317,6.299
2021-06-15,1,0.219,6.523
2021-06-15,1,0.297,11.784
2021-06-15,1,0.357,17.183
2021-06-15,1,0.273,30.227
2021-06-15,1,0.526,39.675
2021-06-15,1,0.335,92.698
2021-06-16,1,0.373,0.297
2021-06-16,1,0.354,0.297
2021-06-16,1,0.21,0.594
2021-06-16,1,0.377,0.591
2021-06-16,1,0.212,0.664
2021-06-16,1,0.262,0.735
2021-06-16,1,0.441,0.741
2021-06-16,1,0.104,1.631
2021-06-16,1,0.508,2.504
2021-06-16,1,0.231,3.184
2021-06-16,1,0.306,3.184
2021-06-16,1,0.126,3.629
2021-06-16,1,0.339,3.631
2021-06-16,1,0.179,5.545
2021-06-16,1,0.272,6.299
2021-06-16,1,0.165,6.523
2021-06-16,1,0.268,11.784
2021-06-16,1,0.324,17.183
2021-06-16,1,0.228,30.227
2021-06-16,1,0.493,39.675
2021-06-16,1,0.302,92.698
2021-06-17,1,0.265,0.297
2021-06-17,1,0.351,0.297
2021-06-17,1,0.222,0.594
2021-06-17,1,0.374,0.591
2021-06-17,1,0.212,0.664
2021-06-17,1,0.16,0.735
2021-06-17,1,0.441,0.741
2021-06-17,1,0.172,1.631
2021-06-17,1,0.559,2.504
2021-06-17,1,0.214,3.184
2021-06-17,1,0.375,3.184
2021-06-17,1,0.075,3.629
2021-06-17,1,0.305,3.631
2021-06-17,1,0.152,5.545
2021-06-17,1,0.327,6.299
2021-06-17,1,0.153,6.523
2021-06-17,1,0.252,11.784
2021-06-17,1,0.216,17.183
2021-06-17,1,0.18,30.227
2021-06-17,1,0.491,39.675
2021-06-17,1,0.282,92.698
2021-06-18,1,0.265,0.297
2021-06-18,1,0.351,0.297
2021-06-18,1,0.222,0.594
2021-06-18,1,0.24,0.591
2021-06-18,1,0.212,0.664
2021-06-18,1,0.16,0.735
2021-06-18,1,0.441,0.741
2021-06-18,1,0.088,1.631
2021-06-18,1,0.356,2.504
2021-06-18,1,0.214,3.184
2021-06-18,1,0.25,3.184
2021-06-18,1,0.075,3.629
2021-06-18,1,0.297,3.631
2021-06-18,1,0.152,5.545
2021-06-18,1,0.182,6.299
2021-06-18,1,0.153,6.523
2021-06-18,1,0.252,11.784
2021-06-18,1,0.216,17.183
2021-06-18,1,0.18,30.227
2021-06-18,1,0.36,39.675
2021-06-18,1,0.282,92.698
2021-06-19,1,0.265,0.297
2021-06-19,1,0.351,0.297
2021-06-19,1,0.222,0.594
2021-06-19,1,0.24,0.591
2021-06-19,1,0.212,0.664
2021-06-19,1,0.16,0.735
2021-06-19,1,0.441,0.741
2021-06-19,1,0.088,1.631
2021-06-19,1,0.356,2.504
