time,label,etof,hectares
2022-04-22,1,0.162,1.193
2022-04-22,1,0.292,0.299
2022-04-22,1,0.686,11.105
2022-04-22,1,0.518,21.025
2022-04-22,1,0.787,11.401
2022-04-22,1,0.641,10.594
2022-04-22,1,0.82,0.746
2022-04-22,1,1.075,3.427
2022-04-22,1,0.658,177.235
2022-04-23,1,0.162,1.193
2022-04-23,1,0.292,0.299
2022-04-23,1,0.686,11.105
2022-04-23,1,0.518,21.025
2022-04-23,1,0.787,11.401
2022-04-23,1,0.641,10.594
2022-04-23,1,0.82,0.746
2022-04-23,1,1.075,3.427
2022-04-23,1,0.658,177.235
2022-04-24,1,0.162,1.193
2022-04-24,1,0.292,0.299
2022-04-24,1,0.686,11.105
2022-04-24,1,0.518,21.025
2022-04-24,1,0.787,11.401
2022-04-24,1,0.641,10.594
2022-04-24,1,0.82,0.746
2022-04-24,1,1.075,3.427
2022-04-24,1,0.658,177.235
2022-04-25,1,0.162,1.193
2022-04-25,1,0.292,0.299
2022-04-25,1,0.686,11.105
2022-04-25,1,0.518,21.025
2022-04-25,1,0.787,11.401
2022-04-25,1,0.641,10.594
2022-04-25,1,0.82,0.746
2022-04-25,1,1.075,3.427
2022-04-25,1,0.658,177.235
2022-04-26,1,0.162,1.193
2022-04-26,1,0.292,0.299
2022-04-26,1,0.686,11.105
2022-04-26,1,0.518,21.025
2022-04-26,1,0.787,11.401
2022-04-26,1,0.641,10.594
2022-04-26,1,0.82,0.746
2022-04-26,1,1.075,3.427
2022-04-26,1,0.658,177.235
2022-04-27,1,0.185,1.193
2022-04-27,1,0.315,0.299
2022-04-27,1,0.813,11.105
2022-04-27,1,0.518,21.025
2022-04-27,1,0.771,11.401
2022-04-27,1,0.673,10.594
2022-04-27,1,0.791,0.746
2022-04-27,1,1.032,3.427
2022-04-27,1,0.655,177.235
2022-04-28,1,0.19,1.193
2022-04-28,1,0.322,0.299
2022-04-28,1,0.599,11.105
2022-04-28,1,0.518,21.025
2022-04-28,1,0.633,11.401
2022-04-28,1,0.649,10.594
2022-04-28,1,0.649,0.746
2022-04-28,1,0.966,3.427
2022-04-28,1,0.673,177.235
2022-04-29,1,0.19,1.193
2022-04-29,1,0.322,0.299
2022-04-29,1,0.599,11.105
2022-04-29,1,0.518,21.025
2022-04-29,1,0.633,11.401
2022-04-29,1,0.649,10.594
2022-04-29,1,0.649,0.746
2022-04-29,1,0.966,3.427
2022-04-29,1,0.673,177.235
2022-04-30,1,0.19,1.193
2022-04-30,1,0.322,0.299
2022-04-30,1,0.599,11.105
2022-04-30,1,0.518,21.025
2022-04-30,1,0.633,11.401
2022-04-30,1,0.649,10.594
