time,label,etof,hectares
2022-04-22,1,0.27,1.193
2022-04-22,1,0.306,0.299
2022-04-22,1,0.397,11.105
2022-04-22,1,0.367,21.025
2022-04-22,1,0.734,11.401
2022-04-22,1,0.504,10.594
2022-04-22,1,0.809,0.746
2022-04-22,1,1.005,3.427
2022-04-22,1,0.72,177.235
2022-04-23,1,0.27,1.193
2022-04-23,1,0.306,0.299
2022-04-23,1,0.397,11.105
2022-04-23,1,0.367,21.025
2022-04-23,1,0.734,11.401
2022-04-23,1,0.504,10.594
2022-04-23,1,0.809,0.746
2022-04-23,1,1.005,3.427
2022-04-23,1,0.72,177.235
2022-04-24,1,0.27,1.193
2022-04-24,1,0.306,0.299
2022-04-24,1,0.397,11.105
2022-04-24,1,0.367,21.025
2022-04-24,1,0.734,11.401
2022-04-24,1,0.504,10.594
2022-04-24,1,0.809,0.746
2022-04-24,1,1.005,3.427
2022-04-24,1,0.72,177.235
2022-04-25,1,0.27,1.193
2022-04-25,1,0.306,0.299
2022-04-25,1,0.397,11.105
2022-04-25,1,0.367,21.025
2022-04-25,1,0.734,11.401
2022-04-25,1,0.504,10.594
2022-04-25,1,0.809,0.746
2022-04-25,1,1.005,3.427
2022-04-25,1,0.72,177.235
2022-04-26,1,0.27,1.193
2022-04-26,1,0.306,0.299
2022-04-26,1,0.397,11.105
2022-04-26,1,0.367,21.025
2022-04-26,1,0.734,11.401
2022-04-26,1,0.504,10.594
2022-04-26,1,0.809,0.746
2022-04-26,1,1.005,3.427
2022-04-26,1,0.72,177.235
2022-04-27,1,0.347,1.193
2022-04-27,1,0.418,0.299
2022-04-27,1,0.397,11.105
2022-04-27,1,0.367,21.025
2022-04-27,1,0.752,11.401
2022-04-27,1,0.53,10.594
2022-04-27,1,0.796,0.746
2022-04-27,1,0.988,3.427
2022-04-27,1,0.713,177.235
2022-04-28,1,0.441,1.193
2022-04-28,1,0.499,0.299
2022-04-28,1,0.397,11.105
2022-04-28,1,0.367,21.025
2022-04-28,1,0.488,11.401
2022-04-28,1,0.47,10.594
2022-04-28,1,0.541,0.746
2022-04-28,1,0.689,3.427
2022-04-28,1,0.689,177.235
2022-04-29,1,0.441,1.193
2022-04-29,1,0.499,0.299
2022-04-29,1,0.397,11.105
2022-04-29,1,0.367,21.025
2022-04-29,1,0.488,11.401
2022-04-29,1,0.47,10.594
2022-04-29,1,0.541,0.746
2022-04-29,1,0.689,3.427
2022-04-29,1,0.689,177.235
2022-04-30,1,0.441,1.193
2022-04-30,1,0.499,0.299
2022-04-30,1,0.397,11.105
2022-04-30,1,0.367,21.025
2022-04-30,1,0.488,11.401
2022-04-30,1,0.47,10.594
2022-04-30,1,0.541,0.746
2022-04-30,1,0.689,3.427
2022-04-30,1,0.689,177.235
2022-05-01,1,0.441,1.193
2022-05-01,1,0.499,0.299
2022-05-01,1,0.397,11.105
2022-05-01,1,0.367,21.025
2022-05-01,1,0.488,11.401
2022-05-01,1,0.47,10.594
2022-05-01,1,0.541,0.746
2022-05-01,1,0.689,3.427
2022-05-01,1,0.689,177.235
2022-05-02,1,0.441,1.193
2022-05-02,1,0.499,0.299
2022-05-02,1,0.397,11.105
2022-05-02,1,0.367,21.025
2022-05-02,1,0.488,11.401
2022-05-02,1,0.47,10.594
2022-05-02,1,0.541,0.746
2022-05-02,1,0.689,3.427
2022-05-02,1,0.689,177.235
2022-05-03,1,0.441,1.193
2022-05-03,1,0.499,0.299
2022-05-03,1,0.397,11.105
2022-05-03,1,0.367,21.025
2022-05-03,1,0.488,11.401
2022-05-03,1,0.47,10.594
2022-05-03,1,0.541,0.746
2022-05-03,1,0.689,3.427
2022-05-03,1,0.689,177.235
2022-05-04,1,0.441,1.193
2022-05-04,1,0.499,0.299
2022-05-04,1,0.397,11.105
2022-05-04,1,0.367,21.025
2022-05-04,1,0.488,11.401
2022-05-04,1,0.47,10.594
2022-05-04,1,0.541,0.746
2022-05-04,1,0.689,3.427
2022-05-04,1,0.689,177.235
2022-05-05,1,0.535,1.193
2022-05-05,1,0.581,0.299
2022-05-05,1,0.388,11.105
2022-05-05,1,0.367,21.025
2022-05-05,1,0.488,11.401
2022-05-05,1,0.469,10.594
2022-05-05,1,0.541,0.746
2022-05-05,1,0.389,3.427
2022-05-05,1,0.704,177.235
2022-05-06,1,0.327,1.193
2022-05-06,1,0.36,0.299
2022-05-06,1,0.369,11.105
2022-05-06,1,0.367,21.025
2022-05-06,1,0.488,11.401
2022-05-06,1,0.469,10.594
2022-05-06,1,0.541,0.746
2022-05-06,1,0.288,3.427
2022-05-06,1,0.473,177.235
2022-05-07,1,0.327,1.193
2022-05-07,1,0.36,0.299
2022-05-07,1,0.369,11.105
2022-05-07,1,0.367,21.025
2022-05-07,1,0.488,11.401
2022-05-07,1,0.469,10.594
2022-05-07,1,0.541,0.746
2022-05-07,1,0.288,3.427
2022-05-07,1,0.473,177.235
2022-05-08,1,0.327,1.193
2022-05-08,1,0.36,0.299
2022-05-08,1,0.369,11.105
2022-05-08,1,0.367,21.025
2022-05-08,1,0.488,11.401
2022-05-08,1,0.469,10.594
2022-05-08,1,0.541,0.746
2022-05-08,1,0.288,3.427
2022-05-08,1,0.473,177.235
2022-05-09,1,0.327,1.193
2022-05-09,1,0.36,0.299
2022-05-09,1,0.369,11.105
2022-05-09,1,0.367,21.025
2022-05-09,1,0.488,11.401
2022-05-09,1,0.469,10.594
2022-05-09,1,0.541,0.746
2022-05-09,1,0.288,3.427
2022-05-09,1,0.473,177.235
2022-05-10,1,0.327,1.193
2022-05-10,1,0.36,0.299
2022-05-10,1,0.369,11.105
2022-05-10,1,0.367,21.025
2022-05-10,1,0.488,11.401
2022-05-10,1,0.469,10.594
2022-05-10,1,0.541,0.746
2022-05-10,1,0.288,3.427
2022-05-10,1,0.473,177.235
2022-05-11,1,0.327,1.193
2022-05-11,1,0.36,0.299
2022-05-11,1,0.369,11.105
2022-05-11,1,0.367,21.025
2022-05-11,1,0.488,11.401
2022-05-11,1,0.469,10.594
2022-05-11,1,0.541,0.746
2022-05-11,1,0.288,3.427
2022-05-11,1,0.473,177.235
2022-05-12,1,0.327,1.193
2022-05-12,1,0.36,0.299
2022-05-12,1,0.369,11.105
2022-05-12,1,0.367,21.025
2022-05-12,1,0.488,11.401
2022-05-12,1,0.469,10.594
2022-05-12,1,0.541,0.746
2022-05-12,1,0.288,3.427
2022-05-12,1,0.473,177.235
2022-05-13,1,0.327,1.193
2022-05-13,1,0.36,0.299
2022-05-13,1,0.322,11.105
2022-05-13,1,0.164,21.025
2022-05-13,1,0.184,11.401
2022-05-13,1,0.426,10.594
2022-05-13,1,0.335,0.746
2022-05-13,1,0.187,3.427
2022-05-13,1,0.473,177.235
2022-05-14,1,0.327,1.193
2022-05-14,1,0.36,0.299
2022-05-14,1,0.32,11.105
2022-05-14,1,0.133,21.025
2022-05-14,1,0.192,11.401
2022-05-14,1,0.305,10.594
2022-05-14,1,0.342,0.746
2022-05-14,1,0.309,3.427
2022-05-14,1,0.473,177.235
2022-05-15,1,0.327,1.193
2022-05-15,1,0.36,0.299
2022-05-15,1,0.32,11.105
2022-05-15,1,0.133,21.025
2022-05-15,1,0.192,11.401
2022-05-15,1,0.305,10.594
2022-05-15,1,0.342,0.746
2022-05-15,1,0.309,3.427
2022-05-15,1,0.473,177.235
2022-05-16,1,0.327,1.193
2022-05-16,1,0.36,0.299
2022-05-16,1,0.32,11.105
2022-05-16,1,0.133,21.025
2022-05-16,1,0.192,11.401
2022-05-16,1,0.305,10.594
2022-05-16,1,0.342,0.746
2022-05-16,1,0.309,3.427
2022-05-16,1,0.473,177.235
2022-05-17,1,0.327,1.193
2022-05-17,1,0.36,0.299
2022-05-17,1,0.32,11.105
2022-05-17,1,0.133,21.025
2022-05-17,1,0.192,11.401
2022-05-17,1,0.305,10.594
2022-05-17,1,0.342,0.746
2022-05-17,1,0.309,3.427
2022-05-17,1,0.473,177.235
2022-05-18,1,0.327,1.193
2022-05-18,1,0.36,0.299
2022-05-18,1,0.32,11.105
2022-05-18,1,0.133,21.025
2022-05-18,1,0.192,11.401
2022-05-18,1,0.305,10.594
2022-05-18,1,0.342,0.746
2022-05-18,1,0.309,3.427
2022-05-18,1,0.473,177.235
2022-05-19,1,0.327,1.193
2022-05-19,1,0.36,0.299
2022-05-19,1,0.32,11.105
2022-05-19,1,0.133,21.025
2022-05-19,1,0.192,11.401
2022-05-19,1,0.305,10.594
2022-05-19,1,0.342,0.746
2022-05-19,1,0.309,3.427
2022-05-19,1,0.473,177.235
2022-05-20,1,0.327,1.193
2022-05-20,1,0.36,0.299
2022-05-20,1,0.32,11.105
2022-05-20,1,0.133,21.025
2022-05-20,1,0.192,11.401
2022-05-20,1,0.305,10.594
2022-05-20,1,0.342,0.746
2022-05-20,1,0.309,3.427
2022-05-20,1,0.473,177.235
