time,label,etof,hectares
2022-04-22,1,0.306,1.193
2022-04-22,1,0.367,0.299
2022-04-22,1,0.632,11.105
2022-04-22,1,0.438,21.025
2022-04-22,1,0.733,11.401
2022-04-22,1,0.623,10.594
2022-04-22,1,0.772,0.746
2022-04-22,1,0.88,3.427
2022-04-22,1,0.637,177.235
2022-04-23,1,0.306,1.193
2022-04-23,1,0.367,0.299
2022-04-23,1,0.632,11.105
2022-04-23,1,0.438,21.025
2022-04-23,1,0.733,11.401
2022-04-23,1,0.623,10.594
2022-04-23,1,0.772,0.746
2022-04-23,1,0.88,3.427
2022-04-23,1,0.637,177.235
2022-04-24,1,0.306,1.193
2022-04-24,1,0.367,0.299
2022-04-24,1,0.632,11.105
2022-04-24,1,0.438,21.025
2022-04-24,1,0.733,11.401
2022-04-24,1,0.623,10.594
2022-04-24,1,0.772,0.746
2022-04-24,1,0.88,3.427
2022-04-24,1,0.637,177.235
2022-04-25,1,0.306,1.193
2022-04-25,1,0.367,0.299
2022-04-25,1,0.632,11.105
2022-04-25,1,0.438,21.025
2022-04-25,1,0.733,11.401
2022-04-25,1,0.623,10.594
2022-04-25,1,0.772,0.746
2022-04-25,1,0.88,3.427
2022-04-25,1,0.637,177.235
2022-04-26,1,0.306,1.193
2022-04-26,1,0.367,0.299
2022-04-26,1,0.632,11.105
2022-04-26,1,0.438,21.025
2022-04-26,1,0.733,11.401
2022-04-26,1,0.623,10.594
2022-04-26,1,0.772,0.746
2022-04-26,1,0.88,3.427
2022-04-26,1,0.637,177.235
2022-04-27,1,0.334,1.193
2022-04-27,1,0.401,0.299
2022-04-27,1,0.72,11.105
2022-04-27,1,0.438,21.025
2022-04-27,1,0.705,11.401
2022-04-27,1,0.631,10.594
2022-04-27,1,0.734,0.746
2022-04-27,1,0.847,3.427
2022-04-27,1,0.618,177.235
2022-04-28,1,0.31,1.193
2022-04-28,1,0.362,0.299
2022-04-28,1,0.541,11.105
2022-04-28,1,0.438,21.025
2022-04-28,1,0.51,11.401
2022-04-28,1,0.603,10.594
2022-04-28,1,0.617,0.746
2022-04-28,1,0.763,3.427
2022-04-28,1,0.611,177.235
2022-04-29,1,0.31,1.193
2022-04-29,1,0.362,0.299
2022-04-29,1,0.541,11.105
2022-04-29,1,0.438,21.025
2022-04-29,1,0.51,11.401
2022-04-29,1,0.603,10.594
2022-04-29,1,0.617,0.746
2022-04-29,1,0.763,3.427
2022-04-29,1,0.611,177.235
2022-04-30,1,0.31,1.193
2022-04-30,1,0.362,0.299
2022-04-30,1,0.541,11.105
2022-04-30,1,0.438,21.025
2022-04-30,1,0.51,11.401
2022-04-30,1,0.603,10.594
2022-04-30,1,0.617,0.746
2022-04-30,1,0.763,3.427
2022-04-30,1,0.611,177.235
2022-05-01,1,0.31,1.193
2022-05-01,1,0.362,0.299
2022-05-01,1,0.541,11.105
2022-05-01,1,0.438,21.025
2022-05-01,1,0.51,11.401
2022-05-01,1,0.603,10.594
2022-05-01,1,0.617,0.746
2022-05-01,1,0.763,3.427
2022-05-01,1,0.611,177.235
2022-05-02,1,0.31,1.193
2022-05-02,1,0.362,0.299
2022-05-02,1,0.541,11.105
2022-05-02,1,0.438,21.025
2022-05-02,1,0.51,11.401
2022-05-02,1,0.603,10.594
2022-05-02,1,0.617,0.746
2022-05-02,1,0.763,3.427
2022-05-02,1,0.611,177.235
2022-05-03,1,0.31,1.193
2022-05-03,1,0.362,0.299
2022-05-03,1,0.541,11.105
2022-05-03,1,0.438,21.025
2022-05-03,1,0.51,11.401
2022-05-03,1,0.603,10.594
2022-05-03,1,0.617,0.746
2022-05-03,1,0.763,3.427
2022-05-03,1,0.611,177.235
2022-05-04,1,0.31,1.193
2022-05-04,1,0.362,0.299
2022-05-04,1,0.541,11.105
2022-05-04,1,0.438,21.025
2022-05-04,1,0.51,11.401
2022-05-04,1,0.603,10.594
2022-05-04,1,0.617,0.746
2022-05-04,1,0.763,3.427
2022-05-04,1,0.611,177.235
2022-05-05,1,0.287,1.193
2022-05-05,1,0.323,0.299
2022-05-05,1,0.342,11.105
2022-05-05,1,0.413,21.025
2022-05-05,1,0.39,11.401
2022-05-05,1,0.581,10.594
2022-05-05,1,0.5,0.746
2022-05-05,1,0.678,3.427
2022-05-05,1,0.606,177.235
2022-05-06,1,0.301,1.193
2022-05-06,1,0.311,0.299
2022-05-06,1,0.377,11.105
2022-05-06,1,0.397,21.025
2022-05-06,1,0.425,11.401
2022-05-06,1,0.56,10.594
2022-05-06,1,0.489,0.746
2022-05-06,1,0.635,3.427
2022-05-06,1,0.508,177.235
2022-05-07,1,0.301,1.193
2022-05-07,1,0.311,0.299
2022-05-07,1,0.377,11.105
2022-05-07,1,0.397,21.025
2022-05-07,1,0.425,11.401
2022-05-07,1,0.56,10.594
2022-05-07,1,0.489,0.746
2022-05-07,1,0.635,3.427
2022-05-07,1,0.508,177.235
2022-05-08,1,0.301,1.193
2022-05-08,1,0.311,0.299
2022-05-08,1,0.377,11.105
2022-05-08,1,0.397,21.025
2022-05-08,1,0.425,11.401
2022-05-08,1,0.56,10.594
2022-05-08,1,0.489,0.746
2022-05-08,1,0.635,3.427
2022-05-08,1,0.508,177.235
2022-05-09,1,0.301,1.193
2022-05-09,1,0.311,0.299
2022-05-09,1,0.377,11.105
2022-05-09,1,0.397,21.025
2022-05-09,1,0.425,11.401
2022-05-09,1,0.56,10.594
2022-05-09,1,0.489,0.746
2022-05-09,1,0.635,3.427
2022-05-09,1,0.508,177.235
2022-05-10,1,0.301,1.193
2022-05-10,1,0.311,0.299
2022-05-10,1,0.377,11.105
2022-05-10,1,0.397,21.025
2022-05-10,1,0.425,11.401
2022-05-10,1,0.56,10.594
2022-05-10,1,0.489,0.746
2022-05-10,1,0.635,3.427
2022-05-10,1,0.508,177.235
2022-05-11,1,0.301,1.193
2022-05-11,1,0.311,0.299
2022-05-11,1,0.377,11.105
2022-05-11,1,0.397,21.025
2022-05-11,1,0.425,11.401
2022-05-11,1,0.56,10.594
2022-05-11,1,0.489,0.746
2022-05-11,1,0.635,3.427
2022-05-11,1,0.508,177.235
2022-05-12,1,0.301,1.193
2022-05-12,1,0.311,0.299
2022-05-12,1,0.377,11.105
2022-05-12,1,0.397,21.025
2022-05-12,1,0.425,11.401
2022-05-12,1,0.56,10.594
2022-05-12,1,0.489,0.746
2022-05-12,1,0.635,3.427
2022-05-12,1,0.508,177.235
2022-05-13,1,0.316,1.193
2022-05-13,1,0.298,0.299
2022-05-13,1,0.4,11.105
2022-05-13,1,0.259,21.025
2022-05-13,1,0.384,11.401
2022-05-13,1,0.563,10.594
2022-05-13,1,0.478,0.746
2022-05-13,1,0.591,3.427
2022-05-13,1,0.51,177.235
2022-05-14,1,0.28,1.193
2022-05-14,1,0.3,0.299
2022-05-14,1,0.405,11.105
2022-05-14,1,0.294,21.025
2022-05-14,1,0.428,11.401
2022-05-14,1,0.514,10.594
2022-05-14,1,0.524,0.746
2022-05-14,1,0.645,3.427
2022-05-14,1,0.492,177.235
2022-05-15,1,0.28,1.193
2022-05-15,1,0.3,0.299
2022-05-15,1,0.405,11.105
2022-05-15,1,0.294,21.025
2022-05-15,1,0.428,11.401
2022-05-15,1,0.514,10.594
2022-05-15,1,0.524,0.746
2022-05-15,1,0.645,3.427
2022-05-15,1,0.492,177.235
2022-05-16,1,0.28,1.193
2022-05-16,1,0.3,0.299
2022-05-16,1,0.405,11.105
2022-05-16,1,0.294,21.025
2022-05-16,1,0.428,11.401
2022-05-16,1,0.514,10.594
2022-05-16,1,0.524,0.746
2022-05-16,1,0.645,3.427
2022-05-16,1,0.492,177.235
2022-05-17,1,0.28,1.193
2022-05-17,1,0.3,0.299
2022-05-17,1,0.405,11.105
2022-05-17,1,0.294,21.025
2022-05-17,1,0.428,11.401
2022-05-17,1,0.514,10.594
2022-05-17,1,0.524,0.746
2022-05-17,1,0.645,3.427
2022-05-17,1,0.492,177.235
2022-05-18,1,0.28,1.193
2022-05-18,1,0.3,0.299
2022-05-18,1,0.405,11.105
2022-05-18,1,0.294,21.025
2022-05-18,1,0.428,11.401
2022-05-18,1,0.514,10.594
2022-05-18,1,0.524,0.746
2022-05-18,1,0.645,3.427
2022-05-18,1,0.492,177.235
2022-05-19,1,0.28,1.193
2022-05-19,1,0.3,0.299
2022-05-19,1,0.405,11.105
2022-05-19,1,0.294,21.025
2022-05-19,1,0.428,11.401
2022-05-19,1,0.514,10.594
2022-05-19,1,0.524,0.746
2022-05-19,1,0.645,3.427
2022-05-19,1,0.492,177.235
2022-05-20,1,0.28,1.193
2022-05-20,1,0.3,0.299
2022-05-20,1,0.405,11.105
2022-05-20,1,0.294,21.025
2022-05-20,1,0.428,11.401
2022-05-20,1,0.514,10.594
2022-05-20,1,0.524,0.746
2022-05-20,1,0.645,3.427
2022-05-20,1,0.492,177.235
