time,label,etof,hectares
2022-04-22,1,0.417,1.193
2022-04-22,1,0.507,0.299
2022-04-22,1,0.724,11.105
2022-04-22,1,0.659,21.025
2022-04-22,1,0.805,11.401
2022-04-22,1,0.753,10.594
2022-04-22,1,0.806,0.746
2022-04-22,1,0.771,3.427
2022-04-22,1,0.727,177.235
2022-04-23,1,0.417,1.193
2022-04-23,1,0.507,0.299
2022-04-23,1,0.724,11.105
2022-04-23,1,0.659,21.025
2022-04-23,1,0.805,11.401
2022-04-23,1,0.753,10.594
2022-04-23,1,0.806,0.746
2022-04-23,1,0.771,3.427
2022-04-23,1,0.727,177.235
2022-04-24,1,0.417,1.193
2022-04-24,1,0.507,0.299
2022-04-24,1,0.724,11.105
2022-04-24,1,0.659,21.025
2022-04-24,1,0.805,11.401
2022-04-24,1,0.753,10.594
2022-04-24,1,0.806,0.746
2022-04-24,1,0.771,3.427
2022-04-24,1,0.727,177.235
2022-04-25,1,0.417,1.193
2022-04-25,1,0.507,0.299
2022-04-25,1,0.724,11.105
2022-04-25,1,0.659,21.025
2022-04-25,1,0.805,11.401
2022-04-25,1,0.753,10.594
2022-04-25,1,0.806,0.746
2022-04-25,1,0.771,3.427
2022-04-25,1,0.727,177.235
2022-04-26,1,0.417,1.193
2022-04-26,1,0.507,0.299
2022-04-26,1,0.724,11.105
2022-04-26,1,0.659,21.025
2022-04-26,1,0.805,11.401
2022-04-26,1,0.753,10.594
2022-04-26,1,0.806,0.746
2022-04-26,1,0.771,3.427
2022-04-26,1,0.727,177.235
2022-04-27,1,0.426,1.193
2022-04-27,1,0.529,0.299
2022-04-27,1,0.761,11.105
2022-04-27,1,0.659,21.025
2022-04-27,1,0.795,11.401
2022-04-27,1,0.756,10.594
2022-04-27,1,0.791,0.746
2022-04-27,1,0.798,3.427
2022-04-27,1,0.721,177.235
2022-04-28,1,0.509,1.193
2022-04-28,1,0.559,0.299
2022-04-28,1,0.694,11.105
2022-04-28,1,0.659,21.025
2022-04-28,1,0.707,11.401
2022-04-28,1,0.831,10.594
2022-04-28,1,0.813,0.746
2022-04-28,1,0.856,3.427
2022-04-28,1,0.837,177.235
2022-04-29,1,0.509,1.193
2022-04-29,1,0.559,0.299
2022-04-29,1,0.694,11.105
2022-04-29,1,0.659,21.025
2022-04-29,1,0.707,11.401
2022-04-29,1,0.831,10.594
2022-04-29,1,0.813,0.746
2022-04-29,1,0.856,3.427
2022-04-29,1,0.837,177.235
2022-04-30,1,0.509,1.193
2022-04-30,1,0.559,0.299
2022-04-30,1,0.694,11.105
2022-04-30,1,0.659,21.025
2022-04-30,1,0.707,11.401
2022-04-30,1,0.831,10.594
2022-04-30,1,0.813,0.746
2022-04-30,1,0.856,3.427
2022-04-30,1,0.837,177.235
2022-05-01,1,0.509,1.193
2022-05-01,1,0.559,0.299
2022-05-01,1,0.694,11.105
2022-05-01,1,0.659,21.025
