time,label,etof,hectares
2022-04-22,1,0.343,1.193
2022-04-22,1,0.454,0.299
2022-04-22,1,0.428,11.105
2022-04-22,1,0.417,21.025
2022-04-22,1,0.521,11.401
2022-04-22,1,0.511,10.594
2022-04-22,1,0.476,0.746
2022-04-22,1,0.576,3.427
2022-04-22,1,0.424,177.235
2022-04-23,1,0.343,1.193
2022-04-23,1,0.454,0.299
2022-04-23,1,0.428,11.105
2022-04-23,1,0.417,21.025
2022-04-23,1,0.521,11.401
2022-04-23,1,0.511,10.594
2022-04-23,1,0.476,0.746
2022-04-23,1,0.576,3.427
2022-04-23,1,0.424,177.235
2022-04-24,1,0.343,1.193
2022-04-24,1,0.454,0.299
2022-04-24,1,0.428,11.105
2022-04-24,1,0.417,21.025
2022-04-24,1,0.521,11.401
2022-04-24,1,0.511,10.594
2022-04-24,1,0.476,0.746
2022-04-24,1,0.576,3.427
2022-04-24,1,0.424,177.235
2022-04-25,1,0.343,1.193
2022-04-25,1,0.454,0.299
2022-04-25,1,0.428,11.105
2022-04-25,1,0.417,21.025
2022-04-25,1,0.521,11.401
2022-04-25,1,0.511,10.594
2022-04-25,1,0.476,0.746
2022-04-25,1,0.576,3.427
2022-04-25,1,0.424,177.235
2022-04-26,1,0.343,1.193
2022-04-26,1,0.454,0.299
2022-04-26,1,0.428,11.105
2022-04-26,1,0.417,21.025
2022-04-26,1,0.521,11.401
2022-04-26,1,0.511,10.594
2022-04-26,1,0.476,0.746
2022-04-26,1,0.576,3.427
2022-04-26,1,0.424,177.235
2022-04-27,1,0.337,1.193
2022-04-27,1,0.457,0.299
2022-04-27,1,0.437,11.105
2022-04-27,1,0.417,21.025
2022-04-27,1,0.529,11.401
2022-04-27,1,0.522,10.594
2022-04-27,1,0.477,0.746
2022-04-27,1,0.592,3.427
2022-04-27,1,0.423,177.235
2022-04-28,1,0.326,1.193
2022-04-28,1,0.434,0.299
2022-04-28,1,0.415,11.105
2022-04-28,1,0.417,21.025
2022-04-28,1,0.449,11.401
2022-04-28,1,0.503,10.594
2022-04-28,1,0.391,0.746
2022-04-28,1,0.558,3.427
2022-04-28,1,0.408,177.235
2022-04-29,1,0.326,1.193
2022-04-29,1,0.434,0.299
2022-04-29,1,0.415,11.105
2022-04-29,1,0.417,21.025
2022-04-29,1,0.449,11.401
2022-04-29,1,0.503,10.594
2022-04-29,1,0.391,0.746
2022-04-29,1,0.558,3.427
2022-04-29,1,0.408,177.235
2022-04-30,1,0.326,1.193
2022-04-30,1,0.434,0.299
2022-04-30,1,0.415,11.105
2022-04-30,1,0.417,21.025
2022-04-30,1,0.449,11.401
2022-04-30,1,0.503,10.594
2022-04-30,1,0.391,0.746
2022-04-30,1,0.558,3.427
2022-04-30,1,0.408,177.235
2022-05-01,1,0.326,1.193
2022-05-01,1,0.434,0.299
2022-05-01,1,0.415,11.105
2022-05-01,1,0.417,21.025
2022-05-01,1,0.449,11.401
2022-05-01,1,0.503,10.594
2022-05-01,1,0.391,0.746
2022-05-01,1,0.558,3.427
2022-05-01,1,0.408,177.235
2022-05-02,1,0.326,1.193
2022-05-02,1,0.434,0.299
2022-05-02,1,0.415,11.105
2022-05-02,1,0.417,21.025
2022-05-02,1,0.449,11.401
2022-05-02,1,0.503,10.594
2022-05-02,1,0.391,0.746
2022-05-02,1,0.558,3.427
2022-05-02,1,0.408,177.235
2022-05-03,1,0.326,1.193
2022-05-03,1,0.434,0.299
2022-05-03,1,0.415,11.105
2022-05-03,1,0.417,21.025
2022-05-03,1,0.449,11.401
2022-05-03,1,0.503,10.594
2022-05-03,1,0.391,0.746
2022-05-03,1,0.558,3.427
2022-05-03,1,0.408,177.235
2022-05-04,1,0.326,1.193
2022-05-04,1,0.434,0.299
2022-05-04,1,0.415,11.105
2022-05-04,1,0.417,21.025
2022-05-04,1,0.449,11.401
2022-05-04,1,0.503,10.594
2022-05-04,1,0.391,0.746
2022-05-04,1,0.558,3.427
2022-05-04,1,0.408,177.235
2022-05-05,1,0.315,1.193
2022-05-05,1,0.412,0.299
2022-05-05,1,0.367,11.105
2022-05-05,1,0.412,21.025
2022-05-05,1,0.402,11.401
2022-05-05,1,0.496,10.594
2022-05-05,1,0.306,0.746
2022-05-05,1,0.524,3.427
2022-05-05,1,0.398,177.235
2022-05-06,1,0.309,1.193
2022-05-06,1,0.414,0.299
2022-05-06,1,0.349,11.105
2022-05-06,1,0.401,21.025
2022-05-06,1,0.415,11.401
2022-05-06,1,0.442,10.594
2022-05-06,1,0.321,0.746
2022-05-06,1,0.525,3.427
2022-05-06,1,0.317,177.235
2022-05-07,1,0.309,1.193
2022-05-07,1,0.414,0.299
2022-05-07,1,0.349,11.105
