time,label,etof,hectares
2022-04-22,1,0.294,1.193
2022-04-22,1,0.337,0.299
2022-04-22,1,0.546,11.105
2022-04-22,1,0.388,21.025
2022-04-22,1,0.698,11.401
2022-04-22,1,0.614,10.594
2022-04-22,1,0.762,0.746
2022-04-22,1,0.896,3.427
2022-04-22,1,0.595,177.235
2022-04-23,1,0.294,1.193
2022-04-23,1,0.337,0.299
2022-04-23,1,0.546,11.105
2022-04-23,1,0.388,21.025
2022-04-23,1,0.698,11.401
2022-04-23,1,0.614,10.594
2022-04-23,1,0.762,0.746
2022-04-23,1,0.896,3.427
2022-04-23,1,0.595,177.235
2022-04-24,1,0.294,1.193
2022-04-24,1,0.337,0.299
2022-04-24,1,0.546,11.105
2022-04-24,1,0.388,21.025
2022-04-24,1,0.698,11.401
2022-04-24,1,0.614,10.594
2022-04-24,1,0.762,0.746
2022-04-24,1,0.896,3.427
2022-04-24,1,0.595,177.235
2022-04-25,1,0.294,1.193
2022-04-25,1,0.337,0.299
2022-04-25,1,0.546,11.105
2022-04-25,1,0.388,21.025
2022-04-25,1,0.698,11.401
2022-04-25,1,0.614,10.594
2022-04-25,1,0.762,0.746
2022-04-25,1,0.896,3.427
2022-04-25,1,0.595,177.235
2022-04-26,1,0.294,1.193
2022-04-26,1,0.337,0.299
2022-04-26,1,0.546,11.105
2022-04-26,1,0.388,21.025
2022-04-26,1,0.698,11.401
2022-04-26,1,0.614,10.594
2022-04-26,1,0.762,0.746
2022-04-26,1,0.896,3.427
2022-04-26,1,0.595,177.235
2022-04-27,1,0.294,1.193
2022-04-27,1,0.355,0.299
2022-04-27,1,0.599,11.105
2022-04-27,1,0.388,21.025
2022-04-27,1,0.668,11.401
2022-04-27,1,0.602,10.594
2022-04-27,1,0.716,0.746
2022-04-27,1,0.838,3.427
2022-04-27,1,0.569,177.235
2022-04-28,1,0.26,1.193
2022-04-28,1,0.264,0.299
2022-04-28,1,0.474,11.105
2022-04-28,1,0.388,21.025
2022-04-28,1,0.448,11.401
2022-04-28,1,0.535,10.594
2022-04-28,1,0.576,0.746
