time,label,etof,hectares
2020-06-04,1,0.841,0.304
2020-06-04,1,0.778,0.457
2020-06-04,1,0.86,0.457
2020-06-04,1,0.95,0.607
2020-06-04,1,0.849,0.684
2020-06-04,1,0.842,0.687
2020-06-04,1,1.055,0.752
2020-06-04,1,1.17,0.755
2020-06-04,1,0.851,1.135
2020-06-04,1,0.727,1.437
2020-06-04,1,1.122,1.59
2020-06-04,1,1.0,12.661
2020-06-04,1,0.767,21.219
2020-06-04,1,0.817,39.392
2020-06-04,1,1.097,41.79
2020-06-04,1,1.38,96.872
2020-06-04,1,1.007,1904.319
2020-06-05,1,0.841,0.304
2020-06-05,1,0.778,0.457
2020-06-05,1,0.86,0.457
2020-06-05,1,0.95,0.607
2020-06-05,1,0.849,0.684
2020-06-05,1,0.842,0.687
2020-06-05,1,1.055,0.752
2020-06-05,1,1.17,0.755
2020-06-05,1,0.851,1.135
2020-06-05,1,0.727,1.437
2020-06-05,1,1.122,1.59
2020-06-05,1,1.0,12.661
2020-06-05,1,0.767,21.219
2020-06-05,1,0.817,39.392
2020-06-05,1,1.097,41.79
2020-06-05,1,1.38,96.872
2020-06-05,1,1.007,1904.319
2020-06-06,1,0.859,0.304
2020-06-06,1,0.76,0.457
2020-06-06,1,0.799,0.457
2020-06-06,1,0.967,0.607
2020-06-06,1,0.838,0.684
2020-06-06,1,0.84,0.687
2020-06-06,1,1.101,0.752
2020-06-06,1,1.234,0.755
2020-06-06,1,0.866,1.135
2020-06-06,1,0.689,1.437
2020-06-06,1,1.198,1.59
2020-06-06,1,1.028,12.661
2020-06-06,1,0.762,21.219
2020-06-06,1,0.817,39.392
2020-06-06,1,1.141,41.79
2020-06-06,1,1.441,96.872
2020-06-06,1,1.021,1904.319
2020-06-07,1,0.794,0.304
2020-06-07,1,0.763,0.457
2020-06-07,1,0.836,0.457
2020-06-07,1,0.929,0.607
2020-06-07,1,0.802,0.684
2020-06-07,1,0.839,0.687
2020-06-07,1,1.007,0.752
2020-06-07,1,1.099,0.755
2020-06-07,1,0.812,1.135
2020-06-07,1,0.693,1.437
2020-06-07,1,1.09,1.59
2020-06-07,1,0.95,12.661
2020-06-07,1,0.74,21.219
2020-06-07,1,0.767,39.392
2020-06-07,1,1.076,41.79
2020-06-07,1,1.372,96.872
