time,label,etof,hectares
2020-06-04,1,0.637,0.304
2020-06-04,1,1.061,0.457
2020-06-04,1,0.998,0.457
2020-06-04,1,1.257,0.607
2020-06-04,1,0.781,0.684
2020-06-04,1,0.92,0.687
2020-06-04,1,1.075,0.752
2020-06-04,1,1.148,0.755
2020-06-04,1,0.673,1.135
2020-06-04,1,1.056,1.437
2020-06-04,1,0.907,1.59
2020-06-04,1,0.965,12.661
2020-06-04,1,0.647,21.219
2020-06-04,1,0.739,39.392
2020-06-04,1,0.893,41.79
2020-06-04,1,1.177,96.872
2020-06-04,1,1.078,1904.319
2020-06-05,1,0.637,0.304
2020-06-05,1,1.061,0.457
2020-06-05,1,0.998,0.457
2020-06-05,1,1.257,0.607
2020-06-05,1,0.781,0.684
2020-06-05,1,0.92,0.687
2020-06-05,1,1.075,0.752
2020-06-05,1,1.148,0.755
2020-06-05,1,0.673,1.135
2020-06-05,1,1.056,1.437
2020-06-05,1,0.907,1.59
2020-06-05,1,0.965,12.661
2020-06-05,1,0.647,21.219
2020-06-05,1,0.739,39.392
2020-06-05,1,0.893,41.79
2020-06-05,1,1.177,96.872
2020-06-05,1,1.078,1904.319
2020-06-06,1,0.691,0.304
2020-06-06,1,1.092,0.457
2020-06-06,1,1.111,0.457
2020-06-06,1,1.367,0.607
2020-06-06,1,0.863,0.684
2020-06-06,1,0.924,0.687
2020-06-06,1,1.187,0.752
2020-06-06,1,1.306,0.755
2020-06-06,1,0.729,1.135
2020-06-06,1,1.169,1.437
2020-06-06,1,0.986,1.59
2020-06-06,1,1.062,12.661
2020-06-06,1,0.674,21.219
2020-06-06,1,0.823,39.392
2020-06-06,1,0.949,41.79
2020-06-06,1,1.286,96.872
2020-06-06,1,1.175,1904.319
2020-06-07,1,0.758,0.304
2020-06-07,1,1.079,0.457
2020-06-07,1,1.066,0.457
2020-06-07,1,1.343,0.607
2020-06-07,1,0.812,0.684
2020-06-07,1,0.927,0.687
2020-06-07,1,1.269,0.752
2020-06-07,1,1.435,0.755
2020-06-07,1,0.721,1.135
