time,label,etof,hectares
2020-06-04,1,0.666,0.304
2020-06-04,1,0.758,0.457
2020-06-04,1,0.841,0.457
2020-06-04,1,0.924,0.607
2020-06-04,1,0.775,0.684
2020-06-04,1,0.812,0.687
2020-06-04,1,0.883,0.752
2020-06-04,1,0.959,0.755
2020-06-04,1,0.701,1.135
2020-06-04,1,0.732,1.437
2020-06-04,1,0.886,1.59
2020-06-04,1,0.861,12.661
2020-06-04,1,0.632,21.219
2020-06-04,1,0.71,39.392
2020-06-04,1,0.834,41.79
2020-06-04,1,1.047,96.872
2020-06-04,1,0.896,1904.319
2020-06-05,1,0.666,0.304
2020-06-05,1,0.758,0.457
2020-06-05,1,0.841,0.457
2020-06-05,1,0.924,0.607
2020-06-05,1,0.775,0.684
2020-06-05,1,0.812,0.687
2020-06-05,1,0.883,0.752
2020-06-05,1,0.959,0.755
2020-06-05,1,0.701,1.135
2020-06-05,1,0.732,1.437
2020-06-05,1,0.886,1.59
2020-06-05,1,0.861,12.661
2020-06-05,1,0.632,21.219
2020-06-05,1,0.71,39.392
2020-06-05,1,0.834,41.79
2020-06-05,1,1.047,96.872
2020-06-05,1,0.896,1904.319
2020-06-06,1,0.656,0.304
2020-06-06,1,0.732,0.457
2020-06-06,1,0.788,0.457
2020-06-06,1,0.925,0.607
2020-06-06,1,0.758,0.684
2020-06-06,1,0.806,0.687
2020-06-06,1,0.879,0.752
2020-06-06,1,0.945,0.755
2020-06-06,1,0.687,1.135
2020-06-06,1,0.663,1.437
2020-06-06,1,0.862,1.59
2020-06-06,1,0.848,12.661
2020-06-06,1,0.612,21.219
2020-06-06,1,0.718,39.392
2020-06-06,1,0.818,41.79
2020-06-06,1,1.033,96.872
2020-06-06,1,0.871,1904.319
2020-06-07,1,0.616,0.304
2020-06-07,1,0.732,0.457
2020-06-07,1,0.778,0.457
2020-06-07,1,0.853,0.607
2020-06-07,1,0.691,0.684
2020-06-07,1,0.804,0.687
2020-06-07,1,0.849,0.752
2020-06-07,1,0.885,0.755
2020-06-07,1,0.639,1.135
2020-06-07,1,0.655,1.437
2020-06-07,1,0.825,1.59
2020-06-07,1,0.824,12.661
2020-06-07,1,0.591,21.219
2020-06-07,1,0.686,39.392
2020-06-07,1,0.812,41.79
2020-06-07,1,1.029,96.872
2020-06-07,1,0.845,1904.319
2020-06-08,1,0.616,0.304
2020-06-08,1,0.732,0.457
2020-06-08,1,0.778,0.457
2020-06-08,1,0.853,0.607
2020-06-08,1,0.691,0.684
2020-06-08,1,0.804,0.687
2020-06-08,1,0.849,0.752
2020-06-08,1,0.885,0.755
2020-06-08,1,0.639,1.135
2020-06-08,1,0.655,1.437
2020-06-08,1,0.825,1.59
2020-06-08,1,0.824,12.661
2020-06-08,1,0.591,21.219
2020-06-08,1,0.686,39.392
2020-06-08,1,0.812,41.79
2020-06-08,1,1.029,96.872
2020-06-08,1,0.845,1904.319
2020-06-09,1,0.616,0.304
2020-06-09,1,0.732,0.457
2020-06-09,1,0.778,0.457
2020-06-09,1,0.853,0.607
2020-06-09,1,0.691,0.684
2020-06-09,1,0.804,0.687
2020-06-09,1,0.849,0.752
2020-06-09,1,0.885,0.755
2020-06-09,1,0.639,1.135
2020-06-09,1,0.655,1.437
2020-06-09,1,0.825,1.59
2020-06-09,1,0.824,12.661
2020-06-09,1,0.591,21.219
2020-06-09,1,0.686,39.392
2020-06-09,1,0.812,41.79
2020-06-09,1,1.029,96.872
2020-06-09,1,0.845,1904.319
2020-06-10,1,0.616,0.304
2020-06-10,1,0.732,0.457
2020-06-10,1,0.778,0.457
2020-06-10,1,0.853,0.607
2020-06-10,1,0.691,0.684
