time,id,etof,hectares
2020-06-04,1,0.345,977.495
2020-06-05,1,0.345,977.495
2020-06-06,1,0.346,977.495
2020-06-07,1,0.334,977.495
2020-06-08,1,0.334,977.495
2020-06-09,1,0.334,977.495
2020-06-10,1,0.334,977.495
2020-06-11,1,0.334,977.495
2020-06-12,1,0.334,977.495
2020-06-13,1,0.334,977.495
2020-06-14,1,0.319,977.495
2020-06-15,1,0.297,977.495
2020-06-16,1,0.297,977.495
2020-06-17,1,0.297,977.495
2020-06-18,1,0.297,977.495
2020-06-19,1,0.297,977.495
2020-06-20,1,0.297,977.495
2020-06-21,1,0.297,977.495
2020-06-22,1,0.284,977.495
2020-06-23,1,0.254,977.495
2020-06-24,1,0.254,977.495
2020-06-25,1,0.254,977.495
2020-06-26,1,0.254,977.495
2020-06-27,1,0.254,977.495
2020-06-28,1,0.254,977.495
2020-06-29,1,0.254,977.495
2020-06-30,1,0.214,977.495
2020-07-01,1,0.195,977.495
2020-07-02,1,0.195,977.495
