time,label,etof,hectares
2020-06-04,1,0.969,0.304
2020-06-04,1,0.87,0.457
2020-06-04,1,0.971,0.457
2020-06-04,1,1.06,0.607
2020-06-04,1,0.948,0.684
2020-06-04,1,0.914,0.687
2020-06-04,1,0.822,0.752
2020-06-04,1,0.887,0.755
2020-06-04,1,0.908,1.135
2020-06-04,1,0.847,1.437
2020-06-04,1,1.003,1.59
2020-06-04,1,0.943,12.661
2020-06-04,1,0.816,21.219
2020-06-04,1,0.908,39.392
2020-06-04,1,0.933,41.79
2020-06-04,1,1.089,96.872
2020-06-04,1,0.978,1904.319
2020-06-05,1,0.969,0.304
2020-06-05,1,0.87,0.457
2020-06-05,1,0.971,0.457
2020-06-05,1,1.06,0.607
2020-06-05,1,0.948,0.684
2020-06-05,1,0.914,0.687
2020-06-05,1,0.822,0.752
2020-06-05,1,0.887,0.755
2020-06-05,1,0.908,1.135
2020-06-05,1,0.847,1.437
2020-06-05,1,1.003,1.59
2020-06-05,1,0.943,12.661
2020-06-05,1,0.816,21.219
2020-06-05,1,0.908,39.392
2020-06-05,1,0.933,41.79
2020-06-05,1,1.089,96.872
2020-06-05,1,0.978,1904.319
2020-06-06,1,0.929,0.304
2020-06-06,1,0.825,0.457
2020-06-06,1,0.889,0.457
2020-06-06,1,1.043,0.607
2020-06-06,1,0.902,0.684
2020-06-06,1,0.91,0.687
2020-06-06,1,0.747,0.752
2020-06-06,1,0.778,0.755
2020-06-06,1,0.83,1.135
2020-06-06,1,0.756,1.437
2020-06-06,1,0.941,1.59
2020-06-06,1,0.871,12.661
2020-06-06,1,0.74,21.219
2020-06-06,1,0.861,39.392
2020-06-06,1,0.878,41.79
2020-06-06,1,1.035,96.872
2020-06-06,1,0.923,1904.319
2020-06-07,1,0.86,0.304
2020-06-07,1,0.817,0.457
2020-06-07,1,0.818,0.457
2020-06-07,1,0.944,0.607
2020-06-07,1,0.822,0.684
2020-06-07,1,0.9,0.687
2020-06-07,1,0.755,0.752
2020-06-07,1,0.782,0.755
2020-06-07,1,0.774,1.135
2020-06-07,1,0.71,1.437
2020-06-07,1,0.909,1.59
2020-06-07,1,0.845,12.661
2020-06-07,1,0.716,21.219
2020-06-07,1,0.808,39.392
2020-06-07,1,0.87,41.79
2020-06-07,1,1.013,96.872
2020-06-07,1,0.882,1904.319
2020-06-08,1,0.86,0.304
2020-06-08,1,0.817,0.457
2020-06-08,1,0.818,0.457
2020-06-08,1,0.944,0.607
2020-06-08,1,0.822,0.684
2020-06-08,1,0.9,0.687
2020-06-08,1,0.755,0.752
2020-06-08,1,0.782,0.755
2020-06-08,1,0.774,1.135
2020-06-08,1,0.71,1.437
2020-06-08,1,0.909,1.59
2020-06-08,1,0.845,12.661
2020-06-08,1,0.716,21.219
2020-06-08,1,0.808,39.392
2020-06-08,1,0.87,41.79
2020-06-08,1,1.013,96.872
2020-06-08,1,0.882,1904.319
2020-06-09,1,0.86,0.304
2020-06-09,1,0.817,0.457
2020-06-09,1,0.818,0.457
2020-06-09,1,0.944,0.607
2020-06-09,1,0.822,0.684
2020-06-09,1,0.9,0.687
2020-06-09,1,0.755,0.752
2020-06-09,1,0.782,0.755
2020-06-09,1,0.774,1.135
2020-06-09,1,0.71,1.437
2020-06-09,1,0.909,1.59
2020-06-09,1,0.845,12.661
2020-06-09,1,0.716,21.219
2020-06-09,1,0.808,39.392
2020-06-09,1,0.87,41.79
2020-06-09,1,1.013,96.872
2020-06-09,1,0.882,1904.319
2020-06-10,1,0.86,0.304
2020-06-10,1,0.817,0.457
2020-06-10,1,0.818,0.457
2020-06-10,1,0.944,0.607
2020-06-10,1,0.822,0.684
2020-06-10,1,0.9,0.687
2020-06-10,1,0.755,0.752
2020-06-10,1,0.782,0.755
2020-06-10,1,0.774,1.135
2020-06-10,1,0.71,1.437
2020-06-10,1,0.909,1.59
2020-06-10,1,0.845,12.661
2020-06-10,1,0.716,21.219
2020-06-10,1,0.808,39.392
2020-06-10,1,0.87,41.79
2020-06-10,1,1.013,96.872
2020-06-10,1,0.882,1904.319
2020-06-11,1,0.86,0.304
2020-06-11,1,0.817,0.457
2020-06-11,1,0.818,0.457
