time,label,etof,hectares
2020-06-04,1,0.442,0.304
2020-06-04,1,0.705,0.457
2020-06-04,1,0.729,0.457
2020-06-04,1,0.769,0.607
2020-06-04,1,0.673,0.684
2020-06-04,1,0.71,0.687
2020-06-04,1,0.712,0.752
2020-06-04,1,0.748,0.755
2020-06-04,1,0.629,1.135
2020-06-04,1,0.683,1.437
2020-06-04,1,0.73,1.59
2020-06-04,1,0.668,12.661
2020-06-04,1,0.523,21.219
2020-06-04,1,0.542,39.392
2020-06-04,1,0.692,41.79
2020-06-04,1,0.884,96.872
2020-06-04,1,0.747,1904.319
2020-06-05,1,0.442,0.304
2020-06-05,1,0.705,0.457
2020-06-05,1,0.729,0.457
2020-06-05,1,0.769,0.607
2020-06-05,1,0.673,0.684
2020-06-05,1,0.71,0.687
2020-06-05,1,0.712,0.752
2020-06-05,1,0.748,0.755
2020-06-05,1,0.629,1.135
2020-06-05,1,0.683,1.437
2020-06-05,1,0.73,1.59
2020-06-05,1,0.668,12.661
2020-06-05,1,0.523,21.219
2020-06-05,1,0.542,39.392
2020-06-05,1,0.692,41.79
2020-06-05,1,0.884,96.872
2020-06-05,1,0.747,1904.319
2020-06-06,1,0.386,0.304
2020-06-06,1,0.67,0.457
2020-06-06,1,0.616,0.457
2020-06-06,1,0.651,0.607
2020-06-06,1,0.596,0.684
2020-06-06,1,0.698,0.687
2020-06-06,1,0.645,0.752
2020-06-06,1,0.652,0.755
2020-06-06,1,0.559,1.135
2020-06-06,1,0.596,1.437
2020-06-06,1,0.628,1.59
2020-06-06,1,0.592,12.661
2020-06-06,1,0.48,21.219
2020-06-06,1,0.489,39.392
2020-06-06,1,0.63,41.79
2020-06-06,1,0.808,96.872
2020-06-06,1,0.664,1904.319
2020-06-07,1,0.367,0.304
2020-06-07,1,0.671,0.457
2020-06-07,1,0.617,0.457
2020-06-07,1,0.654,0.607
2020-06-07,1,0.575,0.684
2020-06-07,1,0.698,0.687
2020-06-07,1,0.621,0.752
2020-06-07,1,0.619,0.755
2020-06-07,1,0.539,1.135
2020-06-07,1,0.596,1.437
2020-06-07,1,0.62,1.59
2020-06-07,1,0.566,12.661
2020-06-07,1,0.469,21.219
2020-06-07,1,0.468,39.392
2020-06-07,1,0.62,41.79
2020-06-07,1,0.786,96.872
2020-06-07,1,0.658,1904.319
2020-06-08,1,0.367,0.304
2020-06-08,1,0.671,0.457
2020-06-08,1,0.617,0.457
2020-06-08,1,0.654,0.607
2020-06-08,1,0.575,0.684
2020-06-08,1,0.698,0.687
2020-06-08,1,0.621,0.752
2020-06-08,1,0.619,0.755
2020-06-08,1,0.539,1.135
2020-06-08,1,0.596,1.437
2020-06-08,1,0.62,1.59
2020-06-08,1,0.566,12.661
2020-06-08,1,0.469,21.219
2020-06-08,1,0.468,39.392
2020-06-08,1,0.62,41.79
2020-06-08,1,0.786,96.872
2020-06-08,1,0.658,1904.319
2020-06-09,1,0.367,0.304
2020-06-09,1,0.671,0.457
2020-06-09,1,0.617,0.457
2020-06-09,1,0.654,0.607
2020-06-09,1,0.575,0.684
2020-06-09,1,0.698,0.687
2020-06-09,1,0.621,0.752
2020-06-09,1,0.619,0.755
2020-06-09,1,0.539,1.135
2020-06-09,1,0.596,1.437
2020-06-09,1,0.62,1.59
2020-06-09,1,0.566,12.661
2020-06-09,1,0.469,21.219
2020-06-09,1,0.468,39.392
2020-06-09,1,0.62,41.79
2020-06-09,1,0.786,96.872
2020-06-09,1,0.658,1904.319
2020-06-10,1,0.367,0.304
2020-06-10,1,0.671,0.457
2020-06-10,1,0.617,0.457
2020-06-10,1,0.654,0.607
2020-06-10,1,0.575,0.684
2020-06-10,1,0.698,0.687
2020-06-10,1,0.621,0.752
2020-06-10,1,0.619,0.755
2020-06-10,1,0.539,1.135
2020-06-10,1,0.596,1.437
2020-06-10,1,0.62,1.59
2020-06-10,1,0.566,12.661
2020-06-10,1,0.469,21.219
2020-06-10,1,0.468,39.392
2020-06-10,1,0.62,41.79
2020-06-10,1,0.786,96.872
2020-06-10,1,0.658,1904.319
2020-06-11,1,0.367,0.304
2020-06-11,1,0.671,0.457
2020-06-11,1,0.617,0.457
2020-06-11,1,0.654,0.607
2020-06-11,1,0.575,0.684
2020-06-11,1,0.698,0.687
2020-06-11,1,0.621,0.752
2020-06-11,1,0.619,0.755
2020-06-11,1,0.539,1.135
2020-06-11,1,0.596,1.437
2020-06-11,1,0.62,1.59
2020-06-11,1,0.566,12.661
2020-06-11,1,0.469,21.219
2020-06-11,1,0.468,39.392
2020-06-11,1,0.62,41.79
2020-06-11,1,0.786,96.872
2020-06-11,1,0.658,1904.319
2020-06-12,1,0.367,0.304
2020-06-12,1,0.671,0.457
2020-06-12,1,0.617,0.457
2020-06-12,1,0.654,0.607
2020-06-12,1,0.575,0.684
2020-06-12,1,0.698,0.687
2020-06-12,1,0.621,0.752
2020-06-12,1,0.619,0.755
2020-06-12,1,0.539,1.135
2020-06-12,1,0.596,1.437
2020-06-12,1,0.62,1.59
2020-06-12,1,0.566,12.661
2020-06-12,1,0.469,21.219
2020-06-12,1,0.468,39.392
2020-06-12,1,0.62,41.79
2020-06-12,1,0.786,96.872
2020-06-12,1,0.658,1904.319
2020-06-13,1,0.367,0.304
2020-06-13,1,0.671,0.457
2020-06-13,1,0.617,0.457
2020-06-13,1,0.654,0.607
2020-06-13,1,0.575,0.684
2020-06-13,1,0.698,0.687
2020-06-13,1,0.621,0.752
2020-06-13,1,0.619,0.755
2020-06-13,1,0.539,1.135
2020-06-13,1,0.596,1.437
2020-06-13,1,0.62,1.59
2020-06-13,1,0.566,12.661
2020-06-13,1,0.469,21.219
2020-06-13,1,0.468,39.392
2020-06-13,1,0.62,41.79
2020-06-13,1,0.786,96.872
2020-06-13,1,0.658,1904.319
2020-06-14,1,0.348,0.304
2020-06-14,1,0.593,0.457
2020-06-14,1,0.617,0.457
2020-06-14,1,0.656,0.607
2020-06-14,1,0.554,0.684
2020-06-14,1,0.598,0.687
2020-06-14,1,0.561,0.752
2020-06-14,1,0.586,0.755
2020-06-14,1,0.518,1.135
2020-06-14,1,0.576,1.437
2020-06-14,1,0.611,1.59
2020-06-14,1,0.525,12.661
2020-06-14,1,0.434,21.219
2020-06-14,1,0.423,39.392
2020-06-14,1,0.58,41.79
2020-06-14,1,0.738,96.872
2020-06-14,1,0.629,1904.319
2020-06-15,1,0.234,0.304
2020-06-15,1,0.44,0.457
2020-06-15,1,0.5,0.457
2020-06-15,1,0.63,0.607
2020-06-15,1,0.463,0.684
2020-06-15,1,0.333,0.687
2020-06-15,1,0.41,0.752
2020-06-15,1,0.509,0.755
2020-06-15,1,0.435,1.135
2020-06-15,1,0.293,1.437
2020-06-15,1,0.489,1.59
2020-06-15,1,0.349,12.661
2020-06-15,1,0.309,21.219
2020-06-15,1,0.3,39.392
2020-06-15,1,0.422,41.79
2020-06-15,1,0.538,96.872
2020-06-15,1,0.404,1904.319
2020-06-16,1,0.234,0.304
2020-06-16,1,0.44,0.457
2020-06-16,1,0.5,0.457
2020-06-16,1,0.32,0.607
2020-06-16,1,0.463,0.684
2020-06-16,1,0.333,0.687
2020-06-16,1,0.41,0.752
2020-06-16,1,0.509,0.755
2020-06-16,1,0.435,1.135
2020-06-16,1,0.293,1.437
2020-06-16,1,0.489,1.59
2020-06-16,1,0.349,12.661
2020-06-16,1,0.309,21.219
2020-06-16,1,0.3,39.392
2020-06-16,1,0.422,41.79
2020-06-16,1,0.538,96.872
2020-06-16,1,0.394,1904.319
2020-06-17,1,0.234,0.304
2020-06-17,1,0.44,0.457
2020-06-17,1,0.5,0.457
2020-06-17,1,0.32,0.607
2020-06-17,1,0.463,0.684
2020-06-17,1,0.333,0.687
2020-06-17,1,0.41,0.752
2020-06-17,1,0.509,0.755
2020-06-17,1,0.435,1.135
2020-06-17,1,0.293,1.437
2020-06-17,1,0.489,1.59
2020-06-17,1,0.349,12.661
2020-06-17,1,0.309,21.219
2020-06-17,1,0.3,39.392
2020-06-17,1,0.422,41.79
2020-06-17,1,0.538,96.872
2020-06-17,1,0.394,1904.319
2020-06-18,1,0.234,0.304
2020-06-18,1,0.44,0.457
2020-06-18,1,0.5,0.457
2020-06-18,1,0.32,0.607
2020-06-18,1,0.463,0.684
2020-06-18,1,0.333,0.687
2020-06-18,1,0.41,0.752
2020-06-18,1,0.509,0.755
2020-06-18,1,0.435,1.135
2020-06-18,1,0.293,1.437
2020-06-18,1,0.489,1.59
2020-06-18,1,0.349,12.661
2020-06-18,1,0.309,21.219
2020-06-18,1,0.3,39.392
2020-06-18,1,0.422,41.79
2020-06-18,1,0.538,96.872
2020-06-18,1,0.394,1904.319
2020-06-19,1,0.234,0.304
2020-06-19,1,0.44,0.457
2020-06-19,1,0.5,0.457
2020-06-19,1,0.32,0.607
2020-06-19,1,0.463,0.684
2020-06-19,1,0.333,0.687
2020-06-19,1,0.41,0.752
2020-06-19,1,0.509,0.755
2020-06-19,1,0.435,1.135
2020-06-19,1,0.293,1.437
2020-06-19,1,0.489,1.59
2020-06-19,1,0.349,12.661
2020-06-19,1,0.309,21.219
2020-06-19,1,0.3,39.392
2020-06-19,1,0.422,41.79
2020-06-19,1,0.538,96.872
2020-06-19,1,0.394,1904.319
2020-06-20,1,0.234,0.304
2020-06-20,1,0.44,0.457
2020-06-20,1,0.5,0.457
2020-06-20,1,0.32,0.607
2020-06-20,1,0.463,0.684
2020-06-20,1,0.333,0.687
2020-06-20,1,0.41,0.752
2020-06-20,1,0.509,0.755
2020-06-20,1,0.435,1.135
2020-06-20,1,0.293,1.437
2020-06-20,1,0.489,1.59
2020-06-20,1,0.349,12.661
2020-06-20,1,0.309,21.219
2020-06-20,1,0.3,39.392
2020-06-20,1,0.422,41.79
2020-06-20,1,0.538,96.872
2020-06-20,1,0.394,1904.319
2020-06-21,1,0.234,0.304
2020-06-21,1,0.44,0.457
2020-06-21,1,0.5,0.457
2020-06-21,1,0.32,0.607
2020-06-21,1,0.463,0.684
2020-06-21,1,0.333,0.687
2020-06-21,1,0.41,0.752
2020-06-21,1,0.509,0.755
2020-06-21,1,0.435,1.135
2020-06-21,1,0.293,1.437
2020-06-21,1,0.489,1.59
2020-06-21,1,0.349,12.661
2020-06-21,1,0.309,21.219
2020-06-21,1,0.3,39.392
2020-06-21,1,0.422,41.79
2020-06-21,1,0.538,96.872
2020-06-21,1,0.394,1904.319
2020-06-22,1,0.121,0.304
2020-06-22,1,0.44,0.457
2020-06-22,1,0.391,0.457
2020-06-22,1,0.009,0.607
2020-06-22,1,0.373,0.684
2020-06-22,1,0.068,0.687
2020-06-22,1,0.41,0.752
2020-06-22,1,0.493,0.755
2020-06-22,1,0.435,1.135
2020-06-22,1,0.009,1.437
2020-06-22,1,0.367,1.59
2020-06-22,1,0.205,12.661
2020-06-22,1,0.219,21.219
2020-06-22,1,0.189,39.392
2020-06-22,1,0.293,41.79
2020-06-22,1,0.376,96.872
2020-06-22,1,0.234,1904.319
2020-06-23,1,0.161,0.304
2020-06-23,1,0.44,0.457
2020-06-23,1,0.491,0.457
2020-06-23,1,0.099,0.607
2020-06-23,1,0.432,0.684
2020-06-23,1,0.191,0.687
2020-06-23,1,0.41,0.752
2020-06-23,1,0.501,0.755
2020-06-23,1,0.435,1.135
2020-06-23,1,0.077,1.437
2020-06-23,1,0.428,1.59
2020-06-23,1,0.249,12.661
2020-06-23,1,0.252,21.219
2020-06-23,1,0.231,39.392
2020-06-23,1,0.328,41.79
2020-06-23,1,0.431,96.872
2020-06-23,1,0.272,1904.319
2020-06-24,1,0.161,0.304
2020-06-24,1,0.44,0.457
2020-06-24,1,0.491,0.457
2020-06-24,1,0.099,0.607
2020-06-24,1,0.432,0.684
2020-06-24,1,0.191,0.687
2020-06-24,1,0.41,0.752
2020-06-24,1,0.501,0.755
2020-06-24,1,0.435,1.135
2020-06-24,1,0.077,1.437
2020-06-24,1,0.428,1.59
2020-06-24,1,0.249,12.661
2020-06-24,1,0.252,21.219
2020-06-24,1,0.231,39.392
2020-06-24,1,0.328,41.79
2020-06-24,1,0.431,96.872
2020-06-24,1,0.272,1904.319
2020-06-25,1,0.161,0.304
2020-06-25,1,0.44,0.457
2020-06-25,1,0.491,0.457
2020-06-25,1,0.099,0.607
2020-06-25,1,0.432,0.684
2020-06-25,1,0.191,0.687
2020-06-25,1,0.41,0.752
2020-06-25,1,0.501,0.755
2020-06-25,1,0.435,1.135
2020-06-25,1,0.077,1.437
2020-06-25,1,0.428,1.59
2020-06-25,1,0.249,12.661
2020-06-25,1,0.252,21.219
2020-06-25,1,0.231,39.392
2020-06-25,1,0.328,41.79
2020-06-25,1,0.431,96.872
2020-06-25,1,0.272,1904.319
2020-06-26,1,0.161,0.304
2020-06-26,1,0.44,0.457
2020-06-26,1,0.491,0.457
2020-06-26,1,0.099,0.607
2020-06-26,1,0.432,0.684
2020-06-26,1,0.191,0.687
2020-06-26,1,0.41,0.752
2020-06-26,1,0.501,0.755
2020-06-26,1,0.435,1.135
2020-06-26,1,0.077,1.437
2020-06-26,1,0.428,1.59
2020-06-26,1,0.249,12.661
2020-06-26,1,0.252,21.219
2020-06-26,1,0.231,39.392
2020-06-26,1,0.328,41.79
2020-06-26,1,0.431,96.872
2020-06-26,1,0.272,1904.319
2020-06-27,1,0.161,0.304
2020-06-27,1,0.44,0.457
2020-06-27,1,0.491,0.457
2020-06-27,1,0.099,0.607
2020-06-27,1,0.432,0.684
2020-06-27,1,0.191,0.687
2020-06-27,1,0.41,0.752
2020-06-27,1,0.501,0.755
2020-06-27,1,0.435,1.135
2020-06-27,1,0.077,1.437
2020-06-27,1,0.428,1.59
2020-06-27,1,0.249,12.661
2020-06-27,1,0.252,21.219
2020-06-27,1,0.231,39.392
2020-06-27,1,0.328,41.79
2020-06-27,1,0.431,96.872
2020-06-27,1,0.272,1904.319
2020-06-28,1,0.161,0.304
2020-06-28,1,0.44,0.457
2020-06-28,1,0.491,0.457
2020-06-28,1,0.099,0.607
2020-06-28,1,0.432,0.684
2020-06-28,1,0.191,0.687
2020-06-28,1,0.41,0.752
2020-06-28,1,0.501,0.755
2020-06-28,1,0.435,1.135
2020-06-28,1,0.077,1.437
2020-06-28,1,0.428,1.59
2020-06-28,1,0.249,12.661
2020-06-28,1,0.252,21.219
2020-06-28,1,0.231,39.392
2020-06-28,1,0.328,41.79
2020-06-28,1,0.431,96.872
2020-06-28,1,0.272,1904.319
2020-06-29,1,0.161,0.304
2020-06-29,1,0.44,0.457
2020-06-29,1,0.491,0.457
2020-06-29,1,0.099,0.607
2020-06-29,1,0.432,0.684
2020-06-29,1,0.191,0.687
2020-06-29,1,0.41,0.752
2020-06-29,1,0.501,0.755
2020-06-29,1,0.435,1.135
2020-06-29,1,0.077,1.437
2020-06-29,1,0.428,1.59
2020-06-29,1,0.249,12.661
2020-06-29,1,0.252,21.219
2020-06-29,1,0.231,39.392
2020-06-29,1,0.328,41.79
