time,label,etof,hectares
2020-06-04,1,0.491,0.304
2020-06-04,1,0.676,0.457
2020-06-04,1,0.707,0.457
2020-06-04,1,0.801,0.607
2020-06-04,1,0.456,0.684
2020-06-04,1,0.711,0.687
2020-06-04,1,0.82,0.752
2020-06-04,1,0.791,0.755
2020-06-04,1,0.448,1.135
2020-06-04,1,0.603,1.437
2020-06-04,1,0.631,1.59
2020-06-04,1,0.688,12.661
2020-06-04,1,0.404,21.219
2020-06-04,1,0.545,39.392
2020-06-04,1,0.667,41.79
2020-06-04,1,0.788,96.872
2020-06-04,1,0.687,1904.319
2020-06-05,1,0.491,0.304
2020-06-05,1,0.676,0.457
2020-06-05,1,0.707,0.457
2020-06-05,1,0.801,0.607
2020-06-05,1,0.456,0.684
2020-06-05,1,0.711,0.687
2020-06-05,1,0.82,0.752
2020-06-05,1,0.791,0.755
2020-06-05,1,0.448,1.135
2020-06-05,1,0.603,1.437
2020-06-05,1,0.631,1.59
2020-06-05,1,0.688,12.661
2020-06-05,1,0.404,21.219
2020-06-05,1,0.545,39.392
2020-06-05,1,0.667,41.79
2020-06-05,1,0.788,96.872
2020-06-05,1,0.687,1904.319
2020-06-06,1,0.499,0.304
2020-06-06,1,0.665,0.457
2020-06-06,1,0.713,0.457
2020-06-06,1,0.85,0.607
2020-06-06,1,0.496,0.684
2020-06-06,1,0.713,0.687
2020-06-06,1,0.847,0.752
2020-06-06,1,0.834,0.755
2020-06-06,1,0.471,1.135
2020-06-06,1,0.612,1.437
2020-06-06,1,0.669,1.59
2020-06-06,1,0.71,12.661
2020-06-06,1,0.409,21.219
2020-06-06,1,0.572,39.392
2020-06-06,1,0.693,41.79
2020-06-06,1,0.811,96.872
2020-06-06,1,0.702,1904.319
2020-06-07,1,0.507,0.304
2020-06-07,1,0.682,0.457
2020-06-07,1,0.735,0.457
2020-06-07,1,0.849,0.607
2020-06-07,1,0.463,0.684
2020-06-07,1,0.714,0.687
2020-06-07,1,0.834,0.752
2020-06-07,1,0.84,0.755
2020-06-07,1,0.475,1.135
2020-06-07,1,0.627,1.437
2020-06-07,1,0.649,1.59
2020-06-07,1,0.724,12.661
2020-06-07,1,0.424,21.219
2020-06-07,1,0.574,39.392
2020-06-07,1,0.689,41.79
2020-06-07,1,0.84,96.872
2020-06-07,1,0.726,1904.319
2020-06-08,1,0.507,0.304
2020-06-08,1,0.682,0.457
2020-06-08,1,0.735,0.457
2020-06-08,1,0.849,0.607
2020-06-08,1,0.463,0.684
2020-06-08,1,0.714,0.687
2020-06-08,1,0.834,0.752
2020-06-08,1,0.84,0.755
2020-06-08,1,0.475,1.135
2020-06-08,1,0.627,1.437
2020-06-08,1,0.649,1.59
2020-06-08,1,0.724,12.661
2020-06-08,1,0.424,21.219
2020-06-08,1,0.574,39.392
2020-06-08,1,0.689,41.79
2020-06-08,1,0.84,96.872
2020-06-08,1,0.726,1904.319
2020-06-09,1,0.507,0.304
2020-06-09,1,0.682,0.457
2020-06-09,1,0.735,0.457
2020-06-09,1,0.849,0.607
2020-06-09,1,0.463,0.684
2020-06-09,1,0.714,0.687
2020-06-09,1,0.834,0.752
2020-06-09,1,0.84,0.755
2020-06-09,1,0.475,1.135
2020-06-09,1,0.627,1.437
2020-06-09,1,0.649,1.59
2020-06-09,1,0.724,12.661
2020-06-09,1,0.424,21.219
2020-06-09,1,0.574,39.392
2020-06-09,1,0.689,41.79
2020-06-09,1,0.84,96.872
2020-06-09,1,0.726,1904.319
2020-06-10,1,0.507,0.304
2020-06-10,1,0.682,0.457
2020-06-10,1,0.735,0.457
2020-06-10,1,0.849,0.607
2020-06-10,1,0.463,0.684
2020-06-10,1,0.714,0.687
2020-06-10,1,0.834,0.752
2020-06-10,1,0.84,0.755
2020-06-10,1,0.475,1.135
2020-06-10,1,0.627,1.437
2020-06-10,1,0.649,1.59
2020-06-10,1,0.724,12.661
2020-06-10,1,0.424,21.219
2020-06-10,1,0.574,39.392
2020-06-10,1,0.689,41.79
2020-06-10,1,0.84,96.872
2020-06-10,1,0.726,1904.319
2020-06-11,1,0.507,0.304
2020-06-11,1,0.682,0.457
2020-06-11,1,0.735,0.457
2020-06-11,1,0.849,0.607
2020-06-11,1,0.463,0.684
2020-06-11,1,0.714,0.687
2020-06-11,1,0.834,0.752
2020-06-11,1,0.84,0.755
2020-06-11,1,0.475,1.135
2020-06-11,1,0.627,1.437
2020-06-11,1,0.649,1.59
2020-06-11,1,0.724,12.661
2020-06-11,1,0.424,21.219
2020-06-11,1,0.574,39.392
2020-06-11,1,0.689,41.79
2020-06-11,1,0.84,96.872
2020-06-11,1,0.726,1904.319
2020-06-12,1,0.507,0.304
2020-06-12,1,0.682,0.457
2020-06-12,1,0.735,0.457
2020-06-12,1,0.849,0.607
2020-06-12,1,0.463,0.684
2020-06-12,1,0.714,0.687
2020-06-12,1,0.834,0.752
2020-06-12,1,0.84,0.755
2020-06-12,1,0.475,1.135
2020-06-12,1,0.627,1.437
2020-06-12,1,0.649,1.59
2020-06-12,1,0.724,12.661
2020-06-12,1,0.424,21.219
2020-06-12,1,0.574,39.392
2020-06-12,1,0.689,41.79
2020-06-12,1,0.84,96.872
2020-06-12,1,0.726,1904.319
2020-06-13,1,0.507,0.304
2020-06-13,1,0.682,0.457
2020-06-13,1,0.735,0.457
2020-06-13,1,0.849,0.607
2020-06-13,1,0.463,0.684
2020-06-13,1,0.714,0.687
2020-06-13,1,0.834,0.752
2020-06-13,1,0.84,0.755
2020-06-13,1,0.475,1.135
2020-06-13,1,0.627,1.437
2020-06-13,1,0.649,1.59
2020-06-13,1,0.724,12.661
2020-06-13,1,0.424,21.219
2020-06-13,1,0.574,39.392
2020-06-13,1,0.689,41.79
2020-06-13,1,0.84,96.872
2020-06-13,1,0.726,1904.319
2020-06-14,1,0.516,0.304
2020-06-14,1,0.716,0.457
2020-06-14,1,0.757,0.457
2020-06-14,1,0.848,0.607
2020-06-14,1,0.43,0.684
2020-06-14,1,0.735,0.687
