time,label,etof,hectares
2022-05-15,1,0.116,0.301
2022-05-15,1,0.25,0.299
2022-05-15,1,0.461,0.299
2022-05-15,1,0.389,0.452
2022-05-15,1,0.357,0.451
2022-05-15,1,0.007,0.451
2022-05-15,1,0.467,0.454
2022-05-15,1,0.427,0.451
2022-05-15,1,0.139,0.675
2022-05-15,1,0.391,0.678
2022-05-15,1,0.811,0.678
2022-05-15,1,0.302,0.75
2022-05-15,1,0.748,0.755
2022-05-15,1,0.436,0.899
2022-05-15,1,0.363,1.054
2022-05-15,1,0.493,1.122
2022-05-15,1,0.465,1.204
2022-05-15,1,0.479,1.204
2022-05-15,1,0.184,1.279
2022-05-15,1,0.52,1.425
2022-05-15,1,0.433,1.734
2022-05-15,1,0.403,1.879
2022-05-15,1,0.134,1.882
2022-05-15,1,0.658,2.328
2022-05-15,1,0.226,2.708
2022-05-15,1,0.969,2.923
2022-05-15,1,0.537,2.931
2022-05-15,1,0.624,3.233
2022-05-15,1,0.437,3.836
2022-05-15,1,0.417,4.589
2022-05-15,1,0.225,4.887
2022-05-15,1,0.299,7.06
2022-05-15,1,0.27,7.076
2022-05-15,1,0.605,8.019
2022-05-15,1,0.333,10.006
2022-05-15,1,0.518,11.654
2022-05-15,1,0.467,14.662
2022-05-15,1,0.372,19.946
2022-05-15,1,0.552,25.189
2022-05-15,1,0.447,35.538
2022-05-15,1,0.386,37.104
2022-05-15,1,0.503,91.969
2022-05-15,1,0.4,116.33
2022-05-16,1,0.116,0.301
2022-05-16,1,0.25,0.299
2022-05-16,1,0.461,0.299
2022-05-16,1,0.389,0.452
2022-05-16,1,0.357,0.451
2022-05-16,1,0.007,0.451
2022-05-16,1,0.467,0.454
2022-05-16,1,0.427,0.451
2022-05-16,1,0.139,0.675
2022-05-16,1,0.391,0.678
2022-05-16,1,0.811,0.678
2022-05-16,1,0.302,0.75
2022-05-16,1,0.748,0.755
2022-05-16,1,0.436,0.899
2022-05-16,1,0.363,1.054
2022-05-16,1,0.493,1.122
2022-05-16,1,0.465,1.204
2022-05-16,1,0.479,1.204
2022-05-16,1,0.184,1.279
