time,id,etof,hectares
2022-05-15,1,0.243,7028.932
2022-05-16,1,0.243,7028.932
2022-05-17,1,0.243,7028.932
2022-05-18,1,0.243,7028.932
2022-05-19,1,0.243,7028.932
2022-05-20,1,0.243,7028.932
2022-05-21,1,0.216,7028.932
2022-05-22,1,0.21,7028.932
2022-05-23,1,0.21,7028.932
2022-05-24,1,0.21,7028.932
2022-05-25,1,0.21,7028.932
2022-05-26,1,0.21,7028.932
2022-05-27,1,0.21,7028.932
2022-05-28,1,0.21,7028.932
2022-05-29,1,0.204,7028.932
2022-05-30,1,0.229,7028.932
2022-05-31,1,0.229,7028.932
2022-06-01,1,0.229,7028.932
2022-06-02,1,0.229,7028.932
2022-06-03,1,0.229,7028.932
2022-06-04,1,0.229,7028.932
2022-06-05,1,0.229,7028.932
2022-06-06,1,0.254,7028.932
2022-06-07,1,0.239,7028.932
2022-06-08,1,0.239,7028.932
2022-06-09,1,0.239,7028.932
2022-06-10,1,0.239,7028.932
2022-06-11,1,0.239,7028.932
2022-06-12,1,0.239,7028.932
