time,label,etof,hectares
2022-05-15,1,0.079,0.301
2022-05-15,1,0.363,0.299
2022-05-15,1,0.297,0.299
2022-05-15,1,0.185,0.452
2022-05-15,1,0.31,0.451
2022-05-15,1,0.28,0.451
2022-05-15,1,0.252,0.454
2022-05-15,1,0.059,0.451
2022-05-15,1,0.092,0.675
2022-05-15,1,0.222,0.678
2022-05-15,1,0.632,0.678
2022-05-15,1,0.048,0.75
2022-05-15,1,0.553,0.755
2022-05-15,1,0.354,0.899
2022-05-15,1,0.111,1.054
2022-05-15,1,0.571,1.122
2022-05-15,1,0.33,1.204
2022-05-15,1,0.232,1.204
2022-05-15,1,0.158,1.279
2022-05-15,1,0.247,1.425
2022-05-15,1,0.416,1.734
2022-05-15,1,0.205,1.879
2022-05-15,1,0.425,1.882
2022-05-15,1,0.507,2.328
2022-05-15,1,0.534,2.708
2022-05-15,1,0.382,2.923
2022-05-15,1,0.534,2.931
2022-05-15,1,0.429,3.233
2022-05-15,1,0.459,3.836
2022-05-15,1,0.573,4.589
2022-05-15,1,0.213,4.887
2022-05-15,1,0.389,7.06
2022-05-15,1,0.554,7.076
2022-05-15,1,0.24,8.019
2022-05-15,1,0.65,10.006
2022-05-15,1,0.484,11.654
2022-05-15,1,0.309,14.662
2022-05-15,1,0.422,19.946
2022-05-15,1,0.384,25.189
2022-05-15,1,0.259,35.538
2022-05-15,1,0.259,37.104
2022-05-15,1,0.422,91.969
2022-05-15,1,0.435,116.33
2022-05-16,1,0.079,0.301
2022-05-16,1,0.363,0.299
2022-05-16,1,0.297,0.299
2022-05-16,1,0.185,0.452
2022-05-16,1,0.31,0.451
2022-05-16,1,0.28,0.451
2022-05-16,1,0.252,0.454
2022-05-16,1,0.059,0.451
2022-05-16,1,0.092,0.675
2022-05-16,1,0.222,0.678
2022-05-16,1,0.632,0.678
2022-05-16,1,0.048,0.75
2022-05-16,1,0.553,0.755
2022-05-16,1,0.354,0.899
2022-05-16,1,0.111,1.054
2022-05-16,1,0.571,1.122
2022-05-16,1,0.33,1.204
2022-05-16,1,0.232,1.204
2022-05-16,1,0.158,1.279
2022-05-16,1,0.247,1.425
2022-05-16,1,0.416,1.734
2022-05-16,1,0.205,1.879
2022-05-16,1,0.425,1.882
2022-05-16,1,0.507,2.328
2022-05-16,1,0.534,2.708
2022-05-16,1,0.382,2.923
2022-05-16,1,0.534,2.931
2022-05-16,1,0.429,3.233
2022-05-16,1,0.459,3.836
2022-05-16,1,0.573,4.589
2022-05-16,1,0.213,4.887
2022-05-16,1,0.389,7.06
2022-05-16,1,0.554,7.076
2022-05-16,1,0.24,8.019
2022-05-16,1,0.65,10.006
2022-05-16,1,0.484,11.654
2022-05-16,1,0.309,14.662
2022-05-16,1,0.422,19.946
2022-05-16,1,0.384,25.189
2022-05-16,1,0.259,35.538
2022-05-16,1,0.259,37.104
2022-05-16,1,0.422,91.969
2022-05-16,1,0.435,116.33
2022-05-17,1,0.079,0.301
2022-05-17,1,0.363,0.299
2022-05-17,1,0.297,0.299
2022-05-17,1,0.185,0.452
2022-05-17,1,0.31,0.451
2022-05-17,1,0.28,0.451
2022-05-17,1,0.252,0.454
2022-05-17,1,0.059,0.451
2022-05-17,1,0.092,0.675
2022-05-17,1,0.222,0.678
2022-05-17,1,0.632,0.678
2022-05-17,1,0.048,0.75
2022-05-17,1,0.553,0.755
2022-05-17,1,0.354,0.899
2022-05-17,1,0.111,1.054
2022-05-17,1,0.571,1.122
2022-05-17,1,0.33,1.204
2022-05-17,1,0.232,1.204
2022-05-17,1,0.158,1.279
2022-05-17,1,0.247,1.425
2022-05-17,1,0.416,1.734
2022-05-17,1,0.205,1.879
2022-05-17,1,0.425,1.882
2022-05-17,1,0.507,2.328
2022-05-17,1,0.534,2.708
2022-05-17,1,0.382,2.923
2022-05-17,1,0.534,2.931
2022-05-17,1,0.429,3.233
2022-05-17,1,0.459,3.836
2022-05-17,1,0.573,4.589
2022-05-17,1,0.213,4.887
2022-05-17,1,0.389,7.06
2022-05-17,1,0.554,7.076
2022-05-17,1,0.24,8.019
2022-05-17,1,0.65,10.006
2022-05-17,1,0.484,11.654
2022-05-17,1,0.309,14.662
2022-05-17,1,0.422,19.946
2022-05-17,1,0.384,25.189
2022-05-17,1,0.259,35.538
2022-05-17,1,0.259,37.104
2022-05-17,1,0.422,91.969
2022-05-17,1,0.435,116.33
2022-05-18,1,0.079,0.301
2022-05-18,1,0.363,0.299
2022-05-18,1,0.297,0.299
2022-05-18,1,0.185,0.452
2022-05-18,1,0.31,0.451
2022-05-18,1,0.28,0.451
2022-05-18,1,0.252,0.454
2022-05-18,1,0.059,0.451
2022-05-18,1,0.092,0.675
2022-05-18,1,0.222,0.678
2022-05-18,1,0.632,0.678
2022-05-18,1,0.048,0.75
2022-05-18,1,0.553,0.755
2022-05-18,1,0.354,0.899
2022-05-18,1,0.111,1.054
2022-05-18,1,0.571,1.122
2022-05-18,1,0.33,1.204
2022-05-18,1,0.232,1.204
2022-05-18,1,0.158,1.279
2022-05-18,1,0.247,1.425
2022-05-18,1,0.416,1.734
2022-05-18,1,0.205,1.879
2022-05-18,1,0.425,1.882
2022-05-18,1,0.507,2.328
2022-05-18,1,0.534,2.708
2022-05-18,1,0.382,2.923
2022-05-18,1,0.534,2.931
2022-05-18,1,0.429,3.233
2022-05-18,1,0.459,3.836
2022-05-18,1,0.573,4.589
2022-05-18,1,0.213,4.887
2022-05-18,1,0.389,7.06
2022-05-18,1,0.554,7.076
2022-05-18,1,0.24,8.019
2022-05-18,1,0.65,10.006
2022-05-18,1,0.484,11.654
2022-05-18,1,0.309,14.662
2022-05-18,1,0.422,19.946
2022-05-18,1,0.384,25.189
2022-05-18,1,0.259,35.538
2022-05-18,1,0.259,37.104
2022-05-18,1,0.422,91.969
2022-05-18,1,0.435,116.33
2022-05-19,1,0.079,0.301
2022-05-19,1,0.363,0.299
2022-05-19,1,0.297,0.299
2022-05-19,1,0.185,0.452
2022-05-19,1,0.31,0.451
2022-05-19,1,0.28,0.451
2022-05-19,1,0.252,0.454
2022-05-19,1,0.059,0.451
2022-05-19,1,0.092,0.675
2022-05-19,1,0.222,0.678
2022-05-19,1,0.632,0.678
2022-05-19,1,0.048,0.75
2022-05-19,1,0.553,0.755
2022-05-19,1,0.354,0.899
2022-05-19,1,0.111,1.054
2022-05-19,1,0.571,1.122
2022-05-19,1,0.33,1.204
2022-05-19,1,0.232,1.204
2022-05-19,1,0.158,1.279
2022-05-19,1,0.247,1.425
2022-05-19,1,0.416,1.734
2022-05-19,1,0.205,1.879
2022-05-19,1,0.425,1.882
2022-05-19,1,0.507,2.328
2022-05-19,1,0.534,2.708
2022-05-19,1,0.382,2.923
2022-05-19,1,0.534,2.931
2022-05-19,1,0.429,3.233
2022-05-19,1,0.459,3.836
2022-05-19,1,0.573,4.589
2022-05-19,1,0.213,4.887
2022-05-19,1,0.389,7.06
2022-05-19,1,0.554,7.076
2022-05-19,1,0.24,8.019
2022-05-19,1,0.65,10.006
2022-05-19,1,0.484,11.654
2022-05-19,1,0.309,14.662
2022-05-19,1,0.422,19.946
2022-05-19,1,0.384,25.189
2022-05-19,1,0.259,35.538
2022-05-19,1,0.259,37.104
2022-05-19,1,0.422,91.969
2022-05-19,1,0.435,116.33
2022-05-20,1,0.079,0.301
2022-05-20,1,0.363,0.299
2022-05-20,1,0.297,0.299
2022-05-20,1,0.185,0.452
2022-05-20,1,0.31,0.451
2022-05-20,1,0.28,0.451
2022-05-20,1,0.252,0.454
2022-05-20,1,0.059,0.451
2022-05-20,1,0.092,0.675
2022-05-20,1,0.222,0.678
2022-05-20,1,0.632,0.678
2022-05-20,1,0.048,0.75
2022-05-20,1,0.553,0.755
2022-05-20,1,0.354,0.899
2022-05-20,1,0.111,1.054
2022-05-20,1,0.571,1.122
2022-05-20,1,0.33,1.204
2022-05-20,1,0.232,1.204
2022-05-20,1,0.158,1.279
2022-05-20,1,0.247,1.425
2022-05-20,1,0.416,1.734
2022-05-20,1,0.205,1.879
2022-05-20,1,0.425,1.882
2022-05-20,1,0.507,2.328
2022-05-20,1,0.534,2.708
2022-05-20,1,0.382,2.923
2022-05-20,1,0.534,2.931
2022-05-20,1,0.429,3.233
2022-05-20,1,0.459,3.836
2022-05-20,1,0.573,4.589
2022-05-20,1,0.213,4.887
2022-05-20,1,0.389,7.06
2022-05-20,1,0.554,7.076
2022-05-20,1,0.24,8.019
2022-05-20,1,0.65,10.006
2022-05-20,1,0.484,11.654
2022-05-20,1,0.309,14.662
2022-05-20,1,0.422,19.946
2022-05-20,1,0.384,25.189
2022-05-20,1,0.259,35.538
2022-05-20,1,0.259,37.104
2022-05-20,1,0.422,91.969
2022-05-20,1,0.435,116.33
2022-05-21,1,0.009,0.301
2022-05-21,1,0.362,0.299
2022-05-21,1,0.455,0.299
2022-05-21,1,0.087,0.452
2022-05-21,1,0.184,0.451
2022-05-21,1,0.081,0.451
2022-05-21,1,0.432,0.454
2022-05-21,1,0.009,0.451
2022-05-21,1,0.007,0.675
2022-05-21,1,0.207,0.678
2022-05-21,1,0.651,0.678
2022-05-21,1,0.029,0.75
2022-05-21,1,0.517,0.755
2022-05-21,1,0.271,0.899
2022-05-21,1,0.066,1.054
2022-05-21,1,0.543,1.122
2022-05-21,1,0.276,1.204
2022-05-21,1,0.174,1.204
2022-05-21,1,0.115,1.279
2022-05-21,1,0.151,1.425
2022-05-21,1,0.416,1.734
2022-05-21,1,0.2,1.879
2022-05-21,1,0.285,1.882
2022-05-21,1,0.443,2.328
2022-05-21,1,0.585,2.708
2022-05-21,1,0.538,2.923
2022-05-21,1,0.748,2.931
2022-05-21,1,0.577,3.233
2022-05-21,1,0.686,3.836
2022-05-21,1,0.46,4.589
2022-05-21,1,0.177,4.887
2022-05-21,1,0.399,7.06
2022-05-21,1,0.562,7.076
2022-05-21,1,0.255,8.019
2022-05-21,1,0.737,10.006
2022-05-21,1,0.667,11.654
2022-05-21,1,0.391,14.662
2022-05-21,1,0.336,19.946
2022-05-21,1,0.481,25.189
2022-05-21,1,0.169,35.538
2022-05-21,1,0.261,37.104
2022-05-21,1,0.382,91.969
2022-05-21,1,0.523,116.33
2022-05-22,1,0.004,0.301
2022-05-22,1,0.279,0.299
2022-05-22,1,0.563,0.299
2022-05-22,1,0.049,0.452
2022-05-22,1,0.132,0.451
2022-05-22,1,0.122,0.451
2022-05-22,1,0.218,0.454
2022-05-22,1,0.025,0.451
2022-05-22,1,0.004,0.675
2022-05-22,1,0.142,0.678
2022-05-22,1,0.472,0.678
2022-05-22,1,0.022,0.75
2022-05-22,1,0.555,0.755
2022-05-22,1,0.219,0.899
2022-05-22,1,0.088,1.054
2022-05-22,1,0.469,1.122
2022-05-22,1,0.214,1.204
2022-05-22,1,0.087,1.204
2022-05-22,1,0.171,1.279
2022-05-22,1,0.076,1.425
2022-05-22,1,0.416,1.734
2022-05-22,1,0.111,1.879
2022-05-22,1,0.348,1.882
2022-05-22,1,0.458,2.328
2022-05-22,1,0.595,2.708
2022-05-22,1,0.511,2.923
2022-05-22,1,0.539,2.931
2022-05-22,1,0.518,3.233
2022-05-22,1,0.401,3.836
2022-05-22,1,0.529,4.589
2022-05-22,1,0.172,4.887
2022-05-22,1,0.267,7.06
2022-05-22,1,0.554,7.076
2022-05-22,1,0.224,8.019
2022-05-22,1,0.618,10.006
2022-05-22,1,0.433,11.654
2022-05-22,1,0.342,14.662
2022-05-22,1,0.351,19.946
2022-05-22,1,0.329,25.189
2022-05-22,1,0.122,35.538
2022-05-22,1,0.202,37.104
2022-05-22,1,0.326,91.969
2022-05-22,1,0.333,116.33
2022-05-23,1,0.004,0.301
2022-05-23,1,0.279,0.299
2022-05-23,1,0.563,0.299
2022-05-23,1,0.049,0.452
2022-05-23,1,0.132,0.451
2022-05-23,1,0.122,0.451
2022-05-23,1,0.218,0.454
2022-05-23,1,0.025,0.451
2022-05-23,1,0.004,0.675
2022-05-23,1,0.142,0.678
2022-05-23,1,0.472,0.678
2022-05-23,1,0.022,0.75
2022-05-23,1,0.555,0.755
2022-05-23,1,0.219,0.899
2022-05-23,1,0.088,1.054
2022-05-23,1,0.469,1.122
2022-05-23,1,0.214,1.204
2022-05-23,1,0.087,1.204
2022-05-23,1,0.171,1.279
2022-05-23,1,0.076,1.425
2022-05-23,1,0.416,1.734
2022-05-23,1,0.111,1.879
2022-05-23,1,0.348,1.882
2022-05-23,1,0.458,2.328
2022-05-23,1,0.595,2.708
2022-05-23,1,0.511,2.923
2022-05-23,1,0.539,2.931
2022-05-23,1,0.518,3.233
2022-05-23,1,0.401,3.836
2022-05-23,1,0.529,4.589
2022-05-23,1,0.172,4.887
2022-05-23,1,0.267,7.06
2022-05-23,1,0.554,7.076
2022-05-23,1,0.224,8.019
2022-05-23,1,0.618,10.006
2022-05-23,1,0.433,11.654
2022-05-23,1,0.342,14.662
2022-05-23,1,0.351,19.946
2022-05-23,1,0.329,25.189
2022-05-23,1,0.122,35.538
2022-05-23,1,0.202,37.104
2022-05-23,1,0.326,91.969
2022-05-23,1,0.333,116.33
2022-05-24,1,0.004,0.301
2022-05-24,1,0.279,0.299
2022-05-24,1,0.563,0.299
2022-05-24,1,0.049,0.452
2022-05-24,1,0.132,0.451
2022-05-24,1,0.122,0.451
2022-05-24,1,0.218,0.454
2022-05-24,1,0.025,0.451
2022-05-24,1,0.004,0.675
2022-05-24,1,0.142,0.678
2022-05-24,1,0.472,0.678
2022-05-24,1,0.022,0.75
2022-05-24,1,0.555,0.755
2022-05-24,1,0.219,0.899
2022-05-24,1,0.088,1.054
2022-05-24,1,0.469,1.122
2022-05-24,1,0.214,1.204
2022-05-24,1,0.087,1.204
2022-05-24,1,0.171,1.279
2022-05-24,1,0.076,1.425
2022-05-24,1,0.416,1.734
2022-05-24,1,0.111,1.879
2022-05-24,1,0.348,1.882
2022-05-24,1,0.458,2.328
2022-05-24,1,0.595,2.708
2022-05-24,1,0.511,2.923
2022-05-24,1,0.539,2.931
2022-05-24,1,0.518,3.233
2022-05-24,1,0.401,3.836
2022-05-24,1,0.529,4.589
2022-05-24,1,0.172,4.887
2022-05-24,1,0.267,7.06
2022-05-24,1,0.554,7.076
2022-05-24,1,0.224,8.019
2022-05-24,1,0.618,10.006
2022-05-24,1,0.433,11.654
2022-05-24,1,0.342,14.662
2022-05-24,1,0.351,19.946
2022-05-24,1,0.329,25.189
2022-05-24,1,0.122,35.538
2022-05-24,1,0.202,37.104
2022-05-24,1,0.326,91.969
2022-05-24,1,0.333,116.33
2022-05-25,1,0.004,0.301
2022-05-25,1,0.279,0.299
2022-05-25,1,0.563,0.299
2022-05-25,1,0.049,0.452
2022-05-25,1,0.132,0.451
2022-05-25,1,0.122,0.451
2022-05-25,1,0.218,0.454
2022-05-25,1,0.025,0.451
2022-05-25,1,0.004,0.675
2022-05-25,1,0.142,0.678
2022-05-25,1,0.472,0.678
2022-05-25,1,0.022,0.75
2022-05-25,1,0.555,0.755
2022-05-25,1,0.219,0.899
2022-05-25,1,0.088,1.054
2022-05-25,1,0.469,1.122
2022-05-25,1,0.214,1.204
2022-05-25,1,0.087,1.204
2022-05-25,1,0.171,1.279
2022-05-25,1,0.076,1.425
