time,label,etof,hectares
2022-05-15,1,0.13,0.301
2022-05-15,1,0.324,0.299
2022-05-15,1,0.382,0.299
2022-05-15,1,0.272,0.452
2022-05-15,1,0.35,0.451
2022-05-15,1,0.109,0.451
2022-05-15,1,0.39,0.454
2022-05-15,1,0.281,0.451
2022-05-15,1,0.156,0.675
2022-05-15,1,0.319,0.678
2022-05-15,1,0.719,0.678
2022-05-15,1,0.217,0.75
2022-05-15,1,0.635,0.755
2022-05-15,1,0.33,0.899
2022-05-15,1,0.286,1.054
2022-05-15,1,0.46,1.122
2022-05-15,1,0.448,1.204
2022-05-15,1,0.414,1.204
2022-05-15,1,0.189,1.279
2022-05-15,1,0.392,1.425
2022-05-15,1,0.4,1.734
2022-05-15,1,0.384,1.879
2022-05-15,1,0.186,1.882
2022-05-15,1,0.553,2.328
2022-05-15,1,0.318,2.708
2022-05-15,1,0.621,2.923
2022-05-15,1,0.48,2.931
2022-05-15,1,0.485,3.233
2022-05-15,1,0.41,3.836
2022-05-15,1,0.402,4.589
2022-05-15,1,0.235,4.887
2022-05-15,1,0.316,7.06
2022-05-15,1,0.346,7.076
2022-05-15,1,0.413,8.019
2022-05-15,1,0.428,10.006
2022-05-15,1,0.489,11.654
2022-05-15,1,0.45,14.662
2022-05-15,1,0.417,19.946
2022-05-15,1,0.438,25.189
2022-05-15,1,0.325,35.538
2022-05-15,1,0.394,37.104
2022-05-15,1,0.496,91.969
2022-05-15,1,0.384,116.33
2022-05-16,1,0.13,0.301
2022-05-16,1,0.324,0.299
2022-05-16,1,0.382,0.299
2022-05-16,1,0.272,0.452
2022-05-16,1,0.35,0.451
2022-05-16,1,0.109,0.451
2022-05-16,1,0.39,0.454
2022-05-16,1,0.281,0.451
2022-05-16,1,0.156,0.675
2022-05-16,1,0.319,0.678
2022-05-16,1,0.719,0.678
2022-05-16,1,0.217,0.75
2022-05-16,1,0.635,0.755
2022-05-16,1,0.33,0.899
2022-05-16,1,0.286,1.054
2022-05-16,1,0.46,1.122
2022-05-16,1,0.448,1.204
2022-05-16,1,0.414,1.204
2022-05-16,1,0.189,1.279
2022-05-16,1,0.392,1.425
2022-05-16,1,0.4,1.734
2022-05-16,1,0.384,1.879
2022-05-16,1,0.186,1.882
2022-05-16,1,0.553,2.328
2022-05-16,1,0.318,2.708
2022-05-16,1,0.621,2.923
2022-05-16,1,0.48,2.931
2022-05-16,1,0.485,3.233
2022-05-16,1,0.41,3.836
2022-05-16,1,0.402,4.589
2022-05-16,1,0.235,4.887
2022-05-16,1,0.316,7.06
2022-05-16,1,0.346,7.076
2022-05-16,1,0.413,8.019
2022-05-16,1,0.428,10.006
2022-05-16,1,0.489,11.654
2022-05-16,1,0.45,14.662
2022-05-16,1,0.417,19.946
2022-05-16,1,0.438,25.189
2022-05-16,1,0.325,35.538
2022-05-16,1,0.394,37.104
2022-05-16,1,0.496,91.969
2022-05-16,1,0.384,116.33
2022-05-17,1,0.13,0.301
2022-05-17,1,0.324,0.299
2022-05-17,1,0.382,0.299
2022-05-17,1,0.272,0.452
2022-05-17,1,0.35,0.451
2022-05-17,1,0.109,0.451
2022-05-17,1,0.39,0.454
2022-05-17,1,0.281,0.451
2022-05-17,1,0.156,0.675
2022-05-17,1,0.319,0.678
2022-05-17,1,0.719,0.678
2022-05-17,1,0.217,0.75
2022-05-17,1,0.635,0.755
2022-05-17,1,0.33,0.899
2022-05-17,1,0.286,1.054
2022-05-17,1,0.46,1.122
2022-05-17,1,0.448,1.204
2022-05-17,1,0.414,1.204
2022-05-17,1,0.189,1.279
2022-05-17,1,0.392,1.425
2022-05-17,1,0.4,1.734
2022-05-17,1,0.384,1.879
2022-05-17,1,0.186,1.882
2022-05-17,1,0.553,2.328
2022-05-17,1,0.318,2.708
2022-05-17,1,0.621,2.923
2022-05-17,1,0.48,2.931
2022-05-17,1,0.485,3.233
2022-05-17,1,0.41,3.836
2022-05-17,1,0.402,4.589
2022-05-17,1,0.235,4.887
2022-05-17,1,0.316,7.06
2022-05-17,1,0.346,7.076
2022-05-17,1,0.413,8.019
2022-05-17,1,0.428,10.006
2022-05-17,1,0.489,11.654
2022-05-17,1,0.45,14.662
2022-05-17,1,0.417,19.946
2022-05-17,1,0.438,25.189
2022-05-17,1,0.325,35.538
2022-05-17,1,0.394,37.104
2022-05-17,1,0.496,91.969
2022-05-17,1,0.384,116.33
2022-05-18,1,0.13,0.301
2022-05-18,1,0.324,0.299
2022-05-18,1,0.382,0.299
2022-05-18,1,0.272,0.452
2022-05-18,1,0.35,0.451
2022-05-18,1,0.109,0.451
2022-05-18,1,0.39,0.454
2022-05-18,1,0.281,0.451
2022-05-18,1,0.156,0.675
2022-05-18,1,0.319,0.678
2022-05-18,1,0.719,0.678
2022-05-18,1,0.217,0.75
2022-05-18,1,0.635,0.755
2022-05-18,1,0.33,0.899
2022-05-18,1,0.286,1.054
2022-05-18,1,0.46,1.122
2022-05-18,1,0.448,1.204
2022-05-18,1,0.414,1.204
2022-05-18,1,0.189,1.279
2022-05-18,1,0.392,1.425
2022-05-18,1,0.4,1.734
2022-05-18,1,0.384,1.879
2022-05-18,1,0.186,1.882
2022-05-18,1,0.553,2.328
2022-05-18,1,0.318,2.708
2022-05-18,1,0.621,2.923
2022-05-18,1,0.48,2.931
2022-05-18,1,0.485,3.233
2022-05-18,1,0.41,3.836
2022-05-18,1,0.402,4.589
2022-05-18,1,0.235,4.887
2022-05-18,1,0.316,7.06
2022-05-18,1,0.346,7.076
2022-05-18,1,0.413,8.019
