time,label,etof,hectares
2022-05-15,1,0.07,0.301
2022-05-15,1,0.211,0.299
2022-05-15,1,0.541,0.299
2022-05-15,1,0.458,0.452
2022-05-15,1,0.503,0.451
2022-05-15,1,0.03,0.451
2022-05-15,1,0.578,0.454
2022-05-15,1,0.417,0.451
2022-05-15,1,0.135,0.675
2022-05-15,1,0.462,0.678
2022-05-15,1,0.866,0.678
2022-05-15,1,0.309,0.75
2022-05-15,1,0.868,0.755
2022-05-15,1,0.504,0.899
2022-05-15,1,0.519,1.054
2022-05-15,1,0.71,1.122
2022-05-15,1,0.556,1.204
2022-05-15,1,0.64,1.204
2022-05-15,1,0.121,1.279
2022-05-15,1,0.547,1.425
2022-05-15,1,0.662,1.734
2022-05-15,1,0.579,1.879
2022-05-15,1,0.233,1.882
2022-05-15,1,0.738,2.328
2022-05-15,1,0.279,2.708
2022-05-15,1,0.505,2.923
2022-05-15,1,0.639,2.931
2022-05-15,1,0.663,3.233
2022-05-15,1,0.534,3.836
2022-05-15,1,0.496,4.589
2022-05-15,1,0.293,4.887
2022-05-15,1,0.31,7.06
2022-05-15,1,0.33,7.076
2022-05-15,1,0.532,8.019
2022-05-15,1,0.514,10.006
2022-05-15,1,0.626,11.654
2022-05-15,1,0.668,14.662
2022-05-15,1,0.558,19.946
2022-05-15,1,0.576,25.189
2022-05-15,1,0.445,35.538
2022-05-15,1,0.532,37.104
2022-05-15,1,0.699,91.969
2022-05-15,1,0.507,116.33
2022-05-16,1,0.07,0.301
2022-05-16,1,0.211,0.299
2022-05-16,1,0.541,0.299
2022-05-16,1,0.458,0.452
2022-05-16,1,0.503,0.451
2022-05-16,1,0.03,0.451
2022-05-16,1,0.578,0.454
2022-05-16,1,0.417,0.451
2022-05-16,1,0.135,0.675
2022-05-16,1,0.462,0.678
2022-05-16,1,0.866,0.678
2022-05-16,1,0.309,0.75
2022-05-16,1,0.868,0.755
2022-05-16,1,0.504,0.899
2022-05-16,1,0.519,1.054
2022-05-16,1,0.71,1.122
2022-05-16,1,0.556,1.204
2022-05-16,1,0.64,1.204
2022-05-16,1,0.121,1.279
2022-05-16,1,0.547,1.425
2022-05-16,1,0.662,1.734
2022-05-16,1,0.579,1.879
2022-05-16,1,0.233,1.882
2022-05-16,1,0.738,2.328
2022-05-16,1,0.279,2.708
2022-05-16,1,0.505,2.923
2022-05-16,1,0.639,2.931
2022-05-16,1,0.663,3.233
2022-05-16,1,0.534,3.836
2022-05-16,1,0.496,4.589
2022-05-16,1,0.293,4.887
2022-05-16,1,0.31,7.06
2022-05-16,1,0.33,7.076
2022-05-16,1,0.532,8.019
2022-05-16,1,0.514,10.006
2022-05-16,1,0.626,11.654
2022-05-16,1,0.668,14.662
2022-05-16,1,0.558,19.946
2022-05-16,1,0.576,25.189
2022-05-16,1,0.445,35.538
2022-05-16,1,0.532,37.104
2022-05-16,1,0.699,91.969
2022-05-16,1,0.507,116.33
2022-05-17,1,0.07,0.301
2022-05-17,1,0.211,0.299
2022-05-17,1,0.541,0.299
2022-05-17,1,0.458,0.452
2022-05-17,1,0.503,0.451
2022-05-17,1,0.03,0.451
2022-05-17,1,0.578,0.454
2022-05-17,1,0.417,0.451
2022-05-17,1,0.135,0.675
2022-05-17,1,0.462,0.678
2022-05-17,1,0.866,0.678
2022-05-17,1,0.309,0.75
2022-05-17,1,0.868,0.755
2022-05-17,1,0.504,0.899
2022-05-17,1,0.519,1.054
2022-05-17,1,0.71,1.122
2022-05-17,1,0.556,1.204
2022-05-17,1,0.64,1.204
2022-05-17,1,0.121,1.279
2022-05-17,1,0.547,1.425
2022-05-17,1,0.662,1.734
2022-05-17,1,0.579,1.879
2022-05-17,1,0.233,1.882
2022-05-17,1,0.738,2.328
2022-05-17,1,0.279,2.708
2022-05-17,1,0.505,2.923
2022-05-17,1,0.639,2.931
2022-05-17,1,0.663,3.233
2022-05-17,1,0.534,3.836
2022-05-17,1,0.496,4.589
2022-05-17,1,0.293,4.887
2022-05-17,1,0.31,7.06
2022-05-17,1,0.33,7.076
2022-05-17,1,0.532,8.019
2022-05-17,1,0.514,10.006
2022-05-17,1,0.626,11.654
