time,label,etof,hectares
2022-05-15,1,0.273,0.301
2022-05-15,1,0.397,0.299
2022-05-15,1,0.426,0.299
2022-05-15,1,0.289,0.452
2022-05-15,1,0.381,0.451
2022-05-15,1,0.264,0.451
2022-05-15,1,0.43,0.454
2022-05-15,1,0.26,0.451
2022-05-15,1,0.254,0.675
2022-05-15,1,0.401,0.678
2022-05-15,1,0.492,0.678
2022-05-15,1,0.316,0.75
2022-05-15,1,0.421,0.755
2022-05-15,1,0.236,0.899
2022-05-15,1,0.268,1.054
2022-05-15,1,0.396,1.122
2022-05-15,1,0.437,1.204
2022-05-15,1,0.387,1.204
2022-05-15,1,0.34,1.279
2022-05-15,1,0.425,1.425
2022-05-15,1,0.36,1.734
2022-05-15,1,0.391,1.879
2022-05-15,1,0.228,1.882
2022-05-15,1,0.428,2.328
2022-05-15,1,0.381,2.708
2022-05-15,1,0.537,2.923
2022-05-15,1,0.437,2.931
2022-05-15,1,0.422,3.233
2022-05-15,1,0.457,3.836
2022-05-15,1,0.4,4.589
2022-05-15,1,0.291,4.887
2022-05-15,1,0.392,7.06
2022-05-15,1,0.432,7.076
2022-05-15,1,0.384,8.019
2022-05-15,1,0.467,10.006
2022-05-15,1,0.434,11.654
2022-05-15,1,0.4,14.662
2022-05-15,1,0.404,19.946
2022-05-15,1,0.414,25.189
2022-05-15,1,0.338,35.538
2022-05-15,1,0.384,37.104
2022-05-15,1,0.439,91.969
2022-05-15,1,0.405,116.33
2022-05-16,1,0.273,0.301
2022-05-16,1,0.397,0.299
2022-05-16,1,0.426,0.299
2022-05-16,1,0.289,0.452
2022-05-16,1,0.381,0.451
2022-05-16,1,0.264,0.451
2022-05-16,1,0.43,0.454
2022-05-16,1,0.26,0.451
2022-05-16,1,0.254,0.675
2022-05-16,1,0.401,0.678
2022-05-16,1,0.492,0.678
2022-05-16,1,0.316,0.75
2022-05-16,1,0.421,0.755
2022-05-16,1,0.236,0.899
2022-05-16,1,0.268,1.054
2022-05-16,1,0.396,1.122
2022-05-16,1,0.437,1.204
2022-05-16,1,0.387,1.204
2022-05-16,1,0.34,1.279
2022-05-16,1,0.425,1.425
2022-05-16,1,0.36,1.734
2022-05-16,1,0.391,1.879
2022-05-16,1,0.228,1.882
2022-05-16,1,0.428,2.328
2022-05-16,1,0.381,2.708
2022-05-16,1,0.537,2.923
2022-05-16,1,0.437,2.931
2022-05-16,1,0.422,3.233
2022-05-16,1,0.457,3.836
2022-05-16,1,0.4,4.589
2022-05-16,1,0.291,4.887
2022-05-16,1,0.392,7.06
2022-05-16,1,0.432,7.076
2022-05-16,1,0.384,8.019
2022-05-16,1,0.467,10.006
2022-05-16,1,0.434,11.654
2022-05-16,1,0.4,14.662
2022-05-16,1,0.404,19.946
2022-05-16,1,0.414,25.189
2022-05-16,1,0.338,35.538
2022-05-16,1,0.384,37.104
2022-05-16,1,0.439,91.969
2022-05-16,1,0.405,116.33
2022-05-17,1,0.273,0.301
2022-05-17,1,0.397,0.299
2022-05-17,1,0.426,0.299
2022-05-17,1,0.289,0.452
2022-05-17,1,0.381,0.451
2022-05-17,1,0.264,0.451
2022-05-17,1,0.43,0.454
2022-05-17,1,0.26,0.451
2022-05-17,1,0.254,0.675
2022-05-17,1,0.401,0.678
2022-05-17,1,0.492,0.678
2022-05-17,1,0.316,0.75
2022-05-17,1,0.421,0.755
2022-05-17,1,0.236,0.899
2022-05-17,1,0.268,1.054
2022-05-17,1,0.396,1.122
2022-05-17,1,0.437,1.204
