time,label,etof,hectares
2022-05-15,1,0.23,0.301
2022-05-15,1,0.318,0.299
2022-05-15,1,0.5,0.299
2022-05-15,1,0.314,0.452
2022-05-15,1,0.368,0.451
2022-05-15,1,0.189,0.451
2022-05-15,1,0.525,0.454
2022-05-15,1,0.399,0.451
2022-05-15,1,0.293,0.675
2022-05-15,1,0.437,0.678
2022-05-15,1,0.739,0.678
2022-05-15,1,0.337,0.75
2022-05-15,1,0.69,0.755
2022-05-15,1,0.409,0.899
2022-05-15,1,0.476,1.054
2022-05-15,1,0.42,1.122
2022-05-15,1,0.525,1.204
2022-05-15,1,0.487,1.204
2022-05-15,1,0.234,1.279
2022-05-15,1,0.484,1.425
2022-05-15,1,0.385,1.734
2022-05-15,1,0.463,1.879
2022-05-15,1,0.225,1.882
2022-05-15,1,0.619,2.328
2022-05-15,1,0.337,2.708
2022-05-15,1,0.74,2.923
2022-05-15,1,0.516,2.931
2022-05-15,1,0.543,3.233
2022-05-15,1,0.448,3.836
2022-05-15,1,0.402,4.589
2022-05-15,1,0.366,4.887
2022-05-15,1,0.309,7.06
2022-05-15,1,0.388,7.076
2022-05-15,1,0.449,8.019
2022-05-15,1,0.479,10.006
2022-05-15,1,0.579,11.654
2022-05-15,1,0.568,14.662
2022-05-15,1,0.497,19.946
2022-05-15,1,0.485,25.189
2022-05-15,1,0.342,35.538
2022-05-15,1,0.503,37.104
2022-05-15,1,0.571,91.969
2022-05-15,1,0.421,116.33
2022-05-16,1,0.23,0.301
2022-05-16,1,0.318,0.299
2022-05-16,1,0.5,0.299
2022-05-16,1,0.314,0.452
2022-05-16,1,0.368,0.451
2022-05-16,1,0.189,0.451
2022-05-16,1,0.525,0.454
2022-05-16,1,0.399,0.451
2022-05-16,1,0.293,0.675
2022-05-16,1,0.437,0.678
2022-05-16,1,0.739,0.678
2022-05-16,1,0.337,0.75
2022-05-16,1,0.69,0.755
2022-05-16,1,0.409,0.899
2022-05-16,1,0.476,1.054
2022-05-16,1,0.42,1.122
2022-05-16,1,0.525,1.204
2022-05-16,1,0.487,1.204
2022-05-16,1,0.234,1.279
2022-05-16,1,0.484,1.425
2022-05-16,1,0.385,1.734
2022-05-16,1,0.463,1.879
2022-05-16,1,0.225,1.882
2022-05-16,1,0.619,2.328
2022-05-16,1,0.337,2.708
2022-05-16,1,0.74,2.923
2022-05-16,1,0.516,2.931
2022-05-16,1,0.543,3.233
2022-05-16,1,0.448,3.836
2022-05-16,1,0.402,4.589
2022-05-16,1,0.366,4.887
2022-05-16,1,0.309,7.06
2022-05-16,1,0.388,7.076
2022-05-16,1,0.449,8.019
2022-05-16,1,0.479,10.006
2022-05-16,1,0.579,11.654
2022-05-16,1,0.568,14.662
2022-05-16,1,0.497,19.946
2022-05-16,1,0.485,25.189
2022-05-16,1,0.342,35.538
2022-05-16,1,0.503,37.104
2022-05-16,1,0.571,91.969
2022-05-16,1,0.421,116.33
2022-05-17,1,0.23,0.301
2022-05-17,1,0.318,0.299
2022-05-17,1,0.5,0.299
2022-05-17,1,0.314,0.452
2022-05-17,1,0.368,0.451
2022-05-17,1,0.189,0.451
2022-05-17,1,0.525,0.454
2022-05-17,1,0.399,0.451
2022-05-17,1,0.293,0.675
2022-05-17,1,0.437,0.678
