time,label,etof,hectares
2020-06-06,1,0.39,16.602
2020-06-06,1,0.383,42.928
2020-06-06,1,0.339,13.088
2020-06-06,1,0.313,14.969
2020-06-06,1,0.808,66.233
2020-06-06,1,0.445,2.46
2020-06-06,1,1.02,3.656
2020-06-06,1,0.414,1.868
2020-06-06,1,0.643,1.348
2020-06-07,1,0.356,16.602
2020-06-07,1,0.349,42.928
2020-06-07,1,0.306,13.088
2020-06-07,1,0.296,14.969
2020-06-07,1,0.747,66.233
2020-06-07,1,0.423,2.46
2020-06-07,1,0.947,3.656
2020-06-07,1,0.36,1.868
2020-06-07,1,0.643,1.348
2020-06-08,1,0.356,16.602
2020-06-08,1,0.349,42.928
2020-06-08,1,0.306,13.088
2020-06-08,1,0.296,14.969
2020-06-08,1,0.747,66.233
2020-06-08,1,0.423,2.46
2020-06-08,1,0.947,3.656
2020-06-08,1,0.36,1.868
2020-06-08,1,0.643,1.348
2020-06-09,1,0.356,16.602
2020-06-09,1,0.349,42.928
2020-06-09,1,0.306,13.088
2020-06-09,1,0.296,14.969
2020-06-09,1,0.747,66.233
2020-06-09,1,0.423,2.46
2020-06-09,1,0.947,3.656
2020-06-09,1,0.36,1.868
2020-06-09,1,0.643,1.348
2020-06-10,1,0.356,16.602
2020-06-10,1,0.349,42.928
2020-06-10,1,0.306,13.088
2020-06-10,1,0.296,14.969
2020-06-10,1,0.747,66.233
2020-06-10,1,0.423,2.46
2020-06-10,1,0.947,3.656
2020-06-10,1,0.36,1.868
2020-06-10,1,0.643,1.348
2020-06-11,1,0.356,16.602
2020-06-11,1,0.349,42.928
2020-06-11,1,0.306,13.088
2020-06-11,1,0.296,14.969
2020-06-11,1,0.747,66.233
2020-06-11,1,0.423,2.46
2020-06-11,1,0.947,3.656
2020-06-11,1,0.36,1.868
2020-06-11,1,0.643,1.348
2020-06-12,1,0.356,16.602
2020-06-12,1,0.349,42.928
2020-06-12,1,0.306,13.088
2020-06-12,1,0.296,14.969
2020-06-12,1,0.747,66.233
2020-06-12,1,0.423,2.46
2020-06-12,1,0.947,3.656
2020-06-12,1,0.36,1.868
2020-06-12,1,0.643,1.348
