time,label,etof,hectares
2020-06-06,1,0.167,16.602
2020-06-06,1,0.199,42.928
2020-06-06,1,0.278,13.088
2020-06-06,1,0.254,14.969
2020-06-06,1,0.936,66.233
2020-06-06,1,0.648,2.46
2020-06-06,1,1.121,3.656
2020-06-06,1,0.155,1.868
2020-06-06,1,0.168,1.348
2020-06-07,1,0.133,16.602
2020-06-07,1,0.131,42.928
2020-06-07,1,0.22,13.088
2020-06-07,1,0.232,14.969
2020-06-07,1,0.85,66.233
2020-06-07,1,0.567,2.46
2020-06-07,1,0.96,3.656
2020-06-07,1,0.088,1.868
2020-06-07,1,0.168,1.348
2020-06-08,1,0.133,16.602
2020-06-08,1,0.131,42.928
2020-06-08,1,0.22,13.088
2020-06-08,1,0.232,14.969
2020-06-08,1,0.85,66.233
2020-06-08,1,0.567,2.46
2020-06-08,1,0.96,3.656
2020-06-08,1,0.088,1.868
2020-06-08,1,0.168,1.348
2020-06-09,1,0.133,16.602
2020-06-09,1,0.131,42.928
2020-06-09,1,0.22,13.088
2020-06-09,1,0.232,14.969
2020-06-09,1,0.85,66.233
2020-06-09,1,0.567,2.46
2020-06-09,1,0.96,3.656
2020-06-09,1,0.088,1.868
2020-06-09,1,0.168,1.348
2020-06-10,1,0.133,16.602
2020-06-10,1,0.131,42.928
2020-06-10,1,0.22,13.088
2020-06-10,1,0.232,14.969
2020-06-10,1,0.85,66.233
2020-06-10,1,0.567,2.46
2020-06-10,1,0.96,3.656
2020-06-10,1,0.088,1.868
2020-06-10,1,0.168,1.348
2020-06-11,1,0.133,16.602
2020-06-11,1,0.131,42.928
2020-06-11,1,0.22,13.088
2020-06-11,1,0.232,14.969
2020-06-11,1,0.85,66.233
2020-06-11,1,0.567,2.46
2020-06-11,1,0.96,3.656
2020-06-11,1,0.088,1.868
2020-06-11,1,0.168,1.348
2020-06-12,1,0.133,16.602
2020-06-12,1,0.131,42.928
2020-06-12,1,0.22,13.088
2020-06-12,1,0.232,14.969
2020-06-12,1,0.85,66.233
2020-06-12,1,0.567,2.46
2020-06-12,1,0.96,3.656
2020-06-12,1,0.088,1.868
2020-06-12,1,0.168,1.348
2020-06-13,1,0.133,16.602
2020-06-13,1,0.131,42.928
2020-06-13,1,0.22,13.088
2020-06-13,1,0.232,14.969
2020-06-13,1,0.85,66.233
2020-06-13,1,0.567,2.46
2020-06-13,1,0.96,3.656
2020-06-13,1,0.088,1.868
2020-06-13,1,0.168,1.348
2020-06-14,1,0.071,16.602
2020-06-14,1,0.04,42.928
2020-06-14,1,0.161,13.088
2020-06-14,1,0.181,14.969
2020-06-14,1,0.747,66.233
2020-06-14,1,0.485,2.46
2020-06-14,1,0.799,3.656
2020-06-14,1,0.021,1.868
2020-06-14,1,0.062,1.348
2020-06-15,1,0.05,16.602
2020-06-15,1,0.078,42.928
2020-06-15,1,0.161,13.088
2020-06-15,1,0.157,14.969
2020-06-15,1,0.498,66.233
2020-06-15,1,0.502,2.46
2020-06-15,1,0.661,3.656
2020-06-15,1,0.073,1.868
2020-06-15,1,0.083,1.348
2020-06-16,1,0.05,16.602
2020-06-16,1,0.078,42.928
2020-06-16,1,0.161,13.088
2020-06-16,1,0.157,14.969
2020-06-16,1,0.498,66.233
2020-06-16,1,0.502,2.46
2020-06-16,1,0.661,3.656
2020-06-16,1,0.073,1.868
2020-06-16,1,0.083,1.348
2020-06-17,1,0.05,16.602
2020-06-17,1,0.078,42.928
2020-06-17,1,0.161,13.088
2020-06-17,1,0.157,14.969
2020-06-17,1,0.498,66.233
2020-06-17,1,0.502,2.46
2020-06-17,1,0.661,3.656
2020-06-17,1,0.073,1.868
