time,label,etof,hectares
2020-06-06,1,0.203,16.602
2020-06-06,1,0.194,42.928
2020-06-06,1,0.184,13.088
2020-06-06,1,0.206,14.969
2020-06-06,1,0.74,66.233
2020-06-06,1,0.432,2.46
2020-06-06,1,0.783,3.656
2020-06-06,1,0.157,1.868
2020-06-06,1,0.431,1.348
2020-06-07,1,0.2,16.602
2020-06-07,1,0.18,42.928
2020-06-07,1,0.183,13.088
2020-06-07,1,0.207,14.969
2020-06-07,1,0.692,66.233
2020-06-07,1,0.418,2.46
2020-06-07,1,0.739,3.656
2020-06-07,1,0.157,1.868
2020-06-07,1,0.431,1.348
2020-06-08,1,0.2,16.602
2020-06-08,1,0.18,42.928
2020-06-08,1,0.183,13.088
2020-06-08,1,0.207,14.969
2020-06-08,1,0.692,66.233
2020-06-08,1,0.418,2.46
2020-06-08,1,0.739,3.656
2020-06-08,1,0.157,1.868
2020-06-08,1,0.431,1.348
2020-06-09,1,0.2,16.602
2020-06-09,1,0.18,42.928
2020-06-09,1,0.183,13.088
2020-06-09,1,0.207,14.969
2020-06-09,1,0.692,66.233
2020-06-09,1,0.418,2.46
2020-06-09,1,0.739,3.656
2020-06-09,1,0.157,1.868
2020-06-09,1,0.431,1.348
2020-06-10,1,0.2,16.602
2020-06-10,1,0.18,42.928
2020-06-10,1,0.183,13.088
2020-06-10,1,0.207,14.969
2020-06-10,1,0.692,66.233
2020-06-10,1,0.418,2.46
2020-06-10,1,0.739,3.656
2020-06-10,1,0.157,1.868
2020-06-10,1,0.431,1.348
2020-06-11,1,0.2,16.602
2020-06-11,1,0.18,42.928
2020-06-11,1,0.183,13.088
2020-06-11,1,0.207,14.969
2020-06-11,1,0.692,66.233
2020-06-11,1,0.418,2.46
2020-06-11,1,0.739,3.656
2020-06-11,1,0.157,1.868
2020-06-11,1,0.431,1.348
2020-06-12,1,0.2,16.602
2020-06-12,1,0.18,42.928
2020-06-12,1,0.183,13.088
2020-06-12,1,0.207,14.969
2020-06-12,1,0.692,66.233
2020-06-12,1,0.418,2.46
2020-06-12,1,0.739,3.656
2020-06-12,1,0.157,1.868
2020-06-12,1,0.431,1.348
2020-06-13,1,0.2,16.602
2020-06-13,1,0.18,42.928
2020-06-13,1,0.183,13.088
2020-06-13,1,0.207,14.969
2020-06-13,1,0.679,66.233
2020-06-13,1,0.418,2.46
2020-06-13,1,0.739,3.656
2020-06-13,1,0.157,1.868
2020-06-13,1,0.431,1.348
2020-06-14,1,0.175,16.602
2020-06-14,1,0.138,42.928
2020-06-14,1,0.182,13.088
2020-06-14,1,0.177,14.969
2020-06-14,1,0.628,66.233
2020-06-14,1,0.404,2.46
2020-06-14,1,0.695,3.656
2020-06-14,1,0.157,1.868
2020-06-14,1,0.354,1.348
2020-06-15,1,0.099,16.602
2020-06-15,1,0.088,42.928
2020-06-15,1,0.126,13.088
2020-06-15,1,0.12,14.969
2020-06-15,1,0.379,66.233
2020-06-15,1,0.289,2.46
2020-06-15,1,0.549,3.656
2020-06-15,1,0.115,1.868
2020-06-15,1,0.344,1.348
