time,label,etof,hectares
2020-06-06,1,0.213,16.602
2020-06-06,1,0.164,42.928
2020-06-06,1,0.032,13.088
2020-06-06,1,0.188,14.969
2020-06-06,1,0.676,66.233
2020-06-06,1,0.109,2.46
2020-06-06,1,0.711,3.656
2020-06-06,1,0.065,1.868
2020-06-06,1,0.66,1.348
2020-06-07,1,0.313,16.602
2020-06-07,1,0.235,42.928
2020-06-07,1,0.199,13.088
2020-06-07,1,0.275,14.969
2020-06-07,1,0.69,66.233
2020-06-07,1,0.266,2.46
2020-06-07,1,0.723,3.656
2020-06-07,1,0.188,1.868
2020-06-07,1,0.66,1.348
2020-06-08,1,0.313,16.602
2020-06-08,1,0.235,42.928
2020-06-08,1,0.199,13.088
2020-06-08,1,0.275,14.969
2020-06-08,1,0.69,66.233
2020-06-08,1,0.266,2.46
2020-06-08,1,0.723,3.656
2020-06-08,1,0.188,1.868
2020-06-08,1,0.66,1.348
2020-06-09,1,0.313,16.602
2020-06-09,1,0.235,42.928
2020-06-09,1,0.199,13.088
2020-06-09,1,0.275,14.969
2020-06-09,1,0.69,66.233
2020-06-09,1,0.266,2.46
2020-06-09,1,0.723,3.656
2020-06-09,1,0.188,1.868
2020-06-09,1,0.66,1.348
2020-06-10,1,0.313,16.602
2020-06-10,1,0.235,42.928
2020-06-10,1,0.199,13.088
2020-06-10,1,0.275,14.969
2020-06-10,1,0.69,66.233
2020-06-10,1,0.266,2.46
2020-06-10,1,0.723,3.656
2020-06-10,1,0.188,1.868
2020-06-10,1,0.66,1.348
2020-06-11,1,0.313,16.602
2020-06-11,1,0.235,42.928
2020-06-11,1,0.199,13.088
2020-06-11,1,0.275,14.969
2020-06-11,1,0.69,66.233
2020-06-11,1,0.266,2.46
2020-06-11,1,0.723,3.656
2020-06-11,1,0.188,1.868
2020-06-11,1,0.66,1.348
2020-06-12,1,0.313,16.602
2020-06-12,1,0.235,42.928
2020-06-12,1,0.199,13.088
2020-06-12,1,0.275,14.969
2020-06-12,1,0.69,66.233
2020-06-12,1,0.266,2.46
2020-06-12,1,0.723,3.656
2020-06-12,1,0.188,1.868
2020-06-12,1,0.66,1.348
2020-06-13,1,0.313,16.602
2020-06-13,1,0.235,42.928
2020-06-13,1,0.199,13.088
2020-06-13,1,0.275,14.969
2020-06-13,1,0.695,66.233
2020-06-13,1,0.266,2.46
2020-06-13,1,0.723,3.656
2020-06-13,1,0.188,1.868
2020-06-13,1,0.66,1.348
2020-06-14,1,0.379,16.602
2020-06-14,1,0.26,42.928
2020-06-14,1,0.366,13.088
2020-06-14,1,0.323,14.969
