time,label,etof,hectares
2020-06-06,1,0.253,16.602
2020-06-06,1,0.258,42.928
2020-06-06,1,0.24,13.088
2020-06-06,1,0.234,14.969
2020-06-06,1,0.563,66.233
2020-06-06,1,0.405,2.46
2020-06-06,1,0.634,3.656
2020-06-06,1,0.211,1.868
2020-06-06,1,0.306,1.348
2020-06-07,1,0.237,16.602
2020-06-07,1,0.242,42.928
2020-06-07,1,0.224,13.088
2020-06-07,1,0.226,14.969
2020-06-07,1,0.531,66.233
2020-06-07,1,0.373,2.46
2020-06-07,1,0.583,3.656
2020-06-07,1,0.194,1.868
2020-06-07,1,0.306,1.348
2020-06-08,1,0.237,16.602
2020-06-08,1,0.242,42.928
2020-06-08,1,0.224,13.088
2020-06-08,1,0.226,14.969
2020-06-08,1,0.531,66.233
2020-06-08,1,0.373,2.46
2020-06-08,1,0.583,3.656
2020-06-08,1,0.194,1.868
2020-06-08,1,0.306,1.348
2020-06-09,1,0.237,16.602
2020-06-09,1,0.242,42.928
2020-06-09,1,0.224,13.088
2020-06-09,1,0.226,14.969
2020-06-09,1,0.531,66.233
2020-06-09,1,0.373,2.46
2020-06-09,1,0.583,3.656
2020-06-09,1,0.194,1.868
2020-06-09,1,0.306,1.348
2020-06-10,1,0.237,16.602
2020-06-10,1,0.242,42.928
2020-06-10,1,0.224,13.088
2020-06-10,1,0.226,14.969
2020-06-10,1,0.531,66.233
2020-06-10,1,0.373,2.46
2020-06-10,1,0.583,3.656
2020-06-10,1,0.194,1.868
2020-06-10,1,0.306,1.348
2020-06-11,1,0.237,16.602
2020-06-11,1,0.242,42.928
2020-06-11,1,0.224,13.088
2020-06-11,1,0.226,14.969
2020-06-11,1,0.531,66.233
2020-06-11,1,0.373,2.46
2020-06-11,1,0.583,3.656
2020-06-11,1,0.194,1.868
2020-06-11,1,0.306,1.348
2020-06-12,1,0.237,16.602
2020-06-12,1,0.242,42.928
2020-06-12,1,0.224,13.088
2020-06-12,1,0.226,14.969
2020-06-12,1,0.531,66.233
2020-06-12,1,0.373,2.46
2020-06-12,1,0.583,3.656
2020-06-12,1,0.194,1.868
2020-06-12,1,0.306,1.348
2020-06-13,1,0.237,16.602
2020-06-13,1,0.242,42.928
2020-06-13,1,0.224,13.088
2020-06-13,1,0.226,14.969
2020-06-13,1,0.523,66.233
2020-06-13,1,0.373,2.46
2020-06-13,1,0.583,3.656
2020-06-13,1,0.194,1.868
2020-06-13,1,0.306,1.348
2020-06-14,1,0.208,16.602
2020-06-14,1,0.21,42.928
2020-06-14,1,0.207,13.088
2020-06-14,1,0.198,14.969
2020-06-14,1,0.481,66.233
2020-06-14,1,0.341,2.46
2020-06-14,1,0.532,3.656
2020-06-14,1,0.177,1.868
2020-06-14,1,0.252,1.348
2020-06-15,1,0.134,16.602
2020-06-15,1,0.138,42.928
2020-06-15,1,0.137,13.088
2020-06-15,1,0.137,14.969
2020-06-15,1,0.267,66.233
2020-06-15,1,0.228,2.46
2020-06-15,1,0.464,3.656
2020-06-15,1,0.127,1.868
2020-06-15,1,0.19,1.348
2020-06-16,1,0.134,16.602
2020-06-16,1,0.138,42.928
2020-06-16,1,0.137,13.088
2020-06-16,1,0.137,14.969
2020-06-16,1,0.267,66.233
2020-06-16,1,0.228,2.46
2020-06-16,1,0.464,3.656
2020-06-16,1,0.127,1.868
2020-06-16,1,0.19,1.348
2020-06-17,1,0.134,16.602
2020-06-17,1,0.138,42.928
2020-06-17,1,0.137,13.088
2020-06-17,1,0.137,14.969
2020-06-17,1,0.267,66.233
2020-06-17,1,0.228,2.46
2020-06-17,1,0.464,3.656
2020-06-17,1,0.127,1.868
2020-06-17,1,0.19,1.348
2020-06-18,1,0.134,16.602
2020-06-18,1,0.138,42.928
