time,label,etof,hectares
2020-06-06,1,0.162,16.602
2020-06-06,1,0.118,42.928
2020-06-06,1,0.043,13.088
2020-06-06,1,0.121,14.969
2020-06-06,1,0.746,66.233
2020-06-06,1,0.392,2.46
2020-06-06,1,0.7,3.656
2020-06-06,1,0.182,1.868
2020-06-06,1,0.492,1.348
2020-06-07,1,0.193,16.602
2020-06-07,1,0.136,42.928
2020-06-07,1,0.1,13.088
2020-06-07,1,0.144,14.969
2020-06-07,1,0.724,66.233
2020-06-07,1,0.417,2.46
2020-06-07,1,0.705,3.656
2020-06-07,1,0.212,1.868
2020-06-07,1,0.492,1.348
2020-06-08,1,0.193,16.602
2020-06-08,1,0.136,42.928
2020-06-08,1,0.1,13.088
2020-06-08,1,0.144,14.969
2020-06-08,1,0.724,66.233
2020-06-08,1,0.417,2.46
2020-06-08,1,0.705,3.656
2020-06-08,1,0.212,1.868
2020-06-08,1,0.492,1.348
2020-06-09,1,0.193,16.602
2020-06-09,1,0.136,42.928
2020-06-09,1,0.1,13.088
2020-06-09,1,0.144,14.969
2020-06-09,1,0.724,66.233
2020-06-09,1,0.417,2.46
2020-06-09,1,0.705,3.656
2020-06-09,1,0.212,1.868
2020-06-09,1,0.492,1.348
2020-06-10,1,0.193,16.602
2020-06-10,1,0.136,42.928
2020-06-10,1,0.1,13.088
2020-06-10,1,0.144,14.969
2020-06-10,1,0.724,66.233
2020-06-10,1,0.417,2.46
2020-06-10,1,0.705,3.656
2020-06-10,1,0.212,1.868
2020-06-10,1,0.492,1.348
2020-06-11,1,0.193,16.602
2020-06-11,1,0.136,42.928
2020-06-11,1,0.1,13.088
2020-06-11,1,0.144,14.969
2020-06-11,1,0.724,66.233
2020-06-11,1,0.417,2.46
2020-06-11,1,0.705,3.656
2020-06-11,1,0.212,1.868
2020-06-11,1,0.492,1.348
2020-06-12,1,0.193,16.602
2020-06-12,1,0.136,42.928
2020-06-12,1,0.1,13.088
2020-06-12,1,0.144,14.969
2020-06-12,1,0.724,66.233
2020-06-12,1,0.417,2.46
2020-06-12,1,0.705,3.656
2020-06-12,1,0.212,1.868
2020-06-12,1,0.492,1.348
2020-06-13,1,0.193,16.602
2020-06-13,1,0.136,42.928
2020-06-13,1,0.1,13.088
2020-06-13,1,0.144,14.969
2020-06-13,1,0.72,66.233
