time,label,etof,hectares
2022-04-18,1,0.41,0.292
2022-04-18,1,0.653,0.292
2022-04-18,1,0.466,0.292
2022-04-18,1,0.11,0.292
2022-04-18,1,0.809,0.292
2022-04-18,1,0.167,0.291
2022-04-18,1,0.288,0.291
2022-04-18,1,0.458,0.291
2022-04-18,1,0.694,0.291
2022-04-18,1,0.514,0.291
2022-04-18,1,0.483,0.292
2022-04-18,1,0.543,0.437
2022-04-18,1,0.171,0.436
2022-04-18,1,0.338,0.436
2022-04-18,1,0.224,0.432
2022-04-18,1,0.361,0.436
2022-04-18,1,0.518,0.436
2022-04-18,1,0.629,0.585
2022-04-18,1,0.1,0.582
2022-04-18,1,0.587,0.583
2022-04-18,1,0.573,0.583
2022-04-18,1,0.225,0.652
2022-04-18,1,0.733,0.654
2022-04-18,1,0.382,0.723
2022-04-18,1,0.081,0.73
2022-04-18,1,0.566,0.73
2022-04-18,1,0.622,0.727
2022-04-18,1,0.999,0.728
2022-04-18,1,0.244,1.019
2022-04-18,1,0.733,1.091
2022-04-18,1,0.951,1.088
2022-04-18,1,0.186,1.165
2022-04-18,1,0.465,1.454
2022-04-18,1,0.415,1.524
2022-04-18,1,0.742,1.602
2022-04-18,1,0.627,1.604
2022-04-18,1,0.251,1.677
2022-04-18,1,0.238,1.751
2022-04-18,1,0.66,1.832
2022-04-18,1,0.411,1.817
2022-04-18,1,0.505,1.894
2022-04-18,1,0.361,2.112
2022-04-18,1,0.96,2.261
2022-04-18,1,0.465,2.406
2022-04-18,1,0.959,2.84
2022-04-18,1,0.421,3.064
2022-04-18,1,0.645,3.283
2022-04-18,1,0.697,3.356
2022-04-18,1,0.676,3.428
2022-04-18,1,0.156,3.419
2022-04-18,1,0.302,3.868
2022-04-18,1,0.121,3.849
2022-04-18,1,0.646,4.004
2022-04-18,1,0.569,4.011
2022-04-18,1,0.761,4.14
2022-04-18,1,0.213,4.661
2022-04-18,1,0.178,5.45
2022-04-18,1,0.417,5.838
2022-04-18,1,0.418,6.538
2022-04-18,1,0.123,6.611
2022-04-18,1,0.081,6.834
2022-04-18,1,0.537,6.992
2022-04-18,1,0.675,8.005
2022-04-18,1,0.222,8.898
2022-04-18,1,0.232,9.809
2022-04-18,1,0.539,9.91
2022-04-18,1,0.127,9.877
2022-04-18,1,0.442,10.543
2022-04-18,1,0.387,10.86
2022-04-18,1,0.279,11.405
2022-04-18,1,0.705,12.759
2022-04-18,1,0.239,14.112
2022-04-18,1,0.447,14.714
2022-04-18,1,0.815,15.069
2022-04-18,1,0.267,16.031
2022-04-18,1,0.15,23.924
2022-04-18,1,0.585,24.641
2022-04-18,1,0.405,26.796
2022-04-18,1,0.458,26.832
2022-04-18,1,0.185,33.127
2022-04-18,1,0.356,62.73
2022-04-18,1,0.505,88.05
2022-04-18,1,0.135,156.417
2022-04-18,1,0.186,270.952
2022-04-18,1,0.515,784.013
2022-04-19,1,0.41,0.292
2022-04-19,1,0.653,0.292
2022-04-19,1,0.466,0.292
2022-04-19,1,0.11,0.292
2022-04-19,1,0.809,0.292
2022-04-19,1,0.167,0.291
2022-04-19,1,0.288,0.291
2022-04-19,1,0.458,0.291
2022-04-19,1,0.694,0.291
2022-04-19,1,0.514,0.291
2022-04-19,1,0.483,0.292
2022-04-19,1,0.543,0.437
2022-04-19,1,0.171,0.436
2022-04-19,1,0.338,0.436
2022-04-19,1,0.224,0.432
2022-04-19,1,0.361,0.436
2022-04-19,1,0.518,0.436
2022-04-19,1,0.629,0.585
2022-04-19,1,0.1,0.582
2022-04-19,1,0.587,0.583
2022-04-19,1,0.573,0.583
2022-04-19,1,0.225,0.652
2022-04-19,1,0.733,0.654
2022-04-19,1,0.382,0.723
2022-04-19,1,0.081,0.73
2022-04-19,1,0.566,0.73
2022-04-19,1,0.622,0.727
2022-04-19,1,0.999,0.728
2022-04-19,1,0.244,1.019
2022-04-19,1,0.733,1.091
2022-04-19,1,0.951,1.088
2022-04-19,1,0.186,1.165
2022-04-19,1,0.465,1.454
2022-04-19,1,0.415,1.524
2022-04-19,1,0.742,1.602
2022-04-19,1,0.627,1.604
2022-04-19,1,0.251,1.677
2022-04-19,1,0.238,1.751
2022-04-19,1,0.66,1.832
2022-04-19,1,0.411,1.817
2022-04-19,1,0.505,1.894
2022-04-19,1,0.361,2.112
2022-04-19,1,0.96,2.261
2022-04-19,1,0.465,2.406
2022-04-19,1,0.959,2.84
2022-04-19,1,0.421,3.064
2022-04-19,1,0.645,3.283
2022-04-19,1,0.697,3.356
2022-04-19,1,0.676,3.428
2022-04-19,1,0.156,3.419
2022-04-19,1,0.302,3.868
2022-04-19,1,0.121,3.849
2022-04-19,1,0.646,4.004
2022-04-19,1,0.569,4.011
2022-04-19,1,0.761,4.14
2022-04-19,1,0.213,4.661
2022-04-19,1,0.178,5.45
2022-04-19,1,0.417,5.838
2022-04-19,1,0.418,6.538
2022-04-19,1,0.123,6.611
2022-04-19,1,0.081,6.834
2022-04-19,1,0.537,6.992
2022-04-19,1,0.675,8.005
2022-04-19,1,0.222,8.898
2022-04-19,1,0.232,9.809
2022-04-19,1,0.539,9.91
2022-04-19,1,0.127,9.877
2022-04-19,1,0.442,10.543
2022-04-19,1,0.387,10.86
2022-04-19,1,0.279,11.405
2022-04-19,1,0.705,12.759
2022-04-19,1,0.239,14.112
2022-04-19,1,0.447,14.714
2022-04-19,1,0.815,15.069
2022-04-19,1,0.267,16.031
2022-04-19,1,0.15,23.924
2022-04-19,1,0.585,24.641
2022-04-19,1,0.405,26.796
2022-04-19,1,0.458,26.832
2022-04-19,1,0.185,33.127
2022-04-19,1,0.356,62.73
2022-04-19,1,0.505,88.05
2022-04-19,1,0.135,156.417
2022-04-19,1,0.186,270.952
2022-04-19,1,0.515,784.013
2022-04-20,1,0.377,0.292
2022-04-20,1,0.569,0.292
2022-04-20,1,0.345,0.292
2022-04-20,1,0.087,0.292
2022-04-20,1,0.509,0.292
2022-04-20,1,0.113,0.291
2022-04-20,1,0.188,0.291
2022-04-20,1,0.266,0.291
2022-04-20,1,0.469,0.291
2022-04-20,1,0.32,0.291
2022-04-20,1,0.397,0.292
2022-04-20,1,0.051,0.437
