time,label,etof,hectares
2022-04-18,1,0.298,0.292
2022-04-18,1,0.204,0.292
2022-04-18,1,0.135,0.292
2022-04-18,1,0.268,0.292
2022-04-18,1,0.452,0.292
2022-04-18,1,0.27,0.291
2022-04-18,1,0.4,0.291
2022-04-18,1,0.4,0.291
2022-04-18,1,0.348,0.291
2022-04-18,1,0.464,0.291
2022-04-18,1,0.149,0.292
2022-04-18,1,0.653,0.437
2022-04-18,1,0.422,0.436
2022-04-18,1,0.654,0.436
2022-04-18,1,0.354,0.432
2022-04-18,1,0.642,0.436
2022-04-18,1,0.509,0.436
2022-04-18,1,0.234,0.585
2022-04-18,1,0.507,0.582
2022-04-18,1,0.693,0.583
2022-04-18,1,0.258,0.583
2022-04-18,1,0.186,0.652
2022-04-18,1,0.285,0.654
2022-04-18,1,0.157,0.723
2022-04-18,1,0.615,0.73
2022-04-18,1,0.547,0.73
2022-04-18,1,0.765,0.727
2022-04-18,1,0.323,0.728
2022-04-18,1,0.4,1.019
2022-04-18,1,0.449,1.091
2022-04-18,1,0.379,1.088
2022-04-18,1,0.101,1.165
2022-04-18,1,0.284,1.454
2022-04-18,1,0.258,1.524
2022-04-18,1,0.38,1.602
2022-04-18,1,0.377,1.604
2022-04-18,1,0.232,1.677
2022-04-18,1,0.666,1.751
2022-04-18,1,0.573,1.832
2022-04-18,1,0.359,1.817
2022-04-18,1,0.295,1.894
2022-04-18,1,0.421,2.112
2022-04-18,1,0.528,2.261
2022-04-18,1,0.442,2.406
2022-04-18,1,0.495,2.84
2022-04-18,1,0.586,3.064
2022-04-18,1,0.487,3.283
2022-04-18,1,0.492,3.356
2022-04-18,1,0.527,3.428
2022-04-18,1,0.629,3.419
2022-04-18,1,0.283,3.868
2022-04-18,1,0.247,3.849
2022-04-18,1,0.613,4.004
2022-04-18,1,0.184,4.011
2022-04-18,1,0.374,4.14
2022-04-18,1,0.182,4.661
2022-04-18,1,0.416,5.45
2022-04-18,1,0.43,5.838
2022-04-18,1,0.458,6.538
2022-04-18,1,0.424,6.611
2022-04-18,1,0.268,6.834
2022-04-18,1,0.66,6.992
2022-04-18,1,0.57,8.005
2022-04-18,1,0.28,8.898
2022-04-18,1,0.471,9.809
2022-04-18,1,0.459,9.91
2022-04-18,1,0.588,9.877
2022-04-18,1,0.407,10.543
2022-04-18,1,0.465,10.86
2022-04-18,1,0.3,11.405
2022-04-18,1,0.479,12.759
2022-04-18,1,0.683,14.112
2022-04-18,1,0.383,14.714
2022-04-18,1,0.601,15.069
2022-04-18,1,0.203,16.031
2022-04-18,1,0.518,23.924
2022-04-18,1,0.307,24.641
2022-04-18,1,0.422,26.796
2022-04-18,1,0.779,26.832
2022-04-18,1,0.295,33.127
2022-04-18,1,0.227,62.73
2022-04-18,1,0.409,88.05
2022-04-18,1,0.081,156.417
2022-04-18,1,0.427,270.952
2022-04-18,1,0.302,784.013
2022-04-19,1,0.298,0.292
2022-04-19,1,0.204,0.292
2022-04-19,1,0.135,0.292
2022-04-19,1,0.268,0.292
2022-04-19,1,0.452,0.292
2022-04-19,1,0.27,0.291
2022-04-19,1,0.4,0.291
2022-04-19,1,0.4,0.291
2022-04-19,1,0.348,0.291
2022-04-19,1,0.464,0.291
2022-04-19,1,0.149,0.292
2022-04-19,1,0.653,0.437
2022-04-19,1,0.422,0.436
2022-04-19,1,0.654,0.436
2022-04-19,1,0.354,0.432
2022-04-19,1,0.642,0.436
2022-04-19,1,0.509,0.436
2022-04-19,1,0.234,0.585
2022-04-19,1,0.507,0.582
2022-04-19,1,0.693,0.583
2022-04-19,1,0.258,0.583
2022-04-19,1,0.186,0.652
2022-04-19,1,0.285,0.654
2022-04-19,1,0.157,0.723
2022-04-19,1,0.615,0.73
2022-04-19,1,0.547,0.73
2022-04-19,1,0.765,0.727
2022-04-19,1,0.323,0.728
2022-04-19,1,0.4,1.019
2022-04-19,1,0.449,1.091
2022-04-19,1,0.379,1.088
2022-04-19,1,0.101,1.165
2022-04-19,1,0.284,1.454
2022-04-19,1,0.258,1.524
2022-04-19,1,0.38,1.602
2022-04-19,1,0.377,1.604
2022-04-19,1,0.232,1.677
2022-04-19,1,0.666,1.751
2022-04-19,1,0.573,1.832
2022-04-19,1,0.359,1.817
2022-04-19,1,0.295,1.894
2022-04-19,1,0.421,2.112
2022-04-19,1,0.528,2.261
2022-04-19,1,0.442,2.406
2022-04-19,1,0.495,2.84
2022-04-19,1,0.586,3.064
2022-04-19,1,0.487,3.283
2022-04-19,1,0.492,3.356
2022-04-19,1,0.527,3.428
2022-04-19,1,0.629,3.419
2022-04-19,1,0.283,3.868
2022-04-19,1,0.247,3.849
2022-04-19,1,0.613,4.004
2022-04-19,1,0.184,4.011
2022-04-19,1,0.374,4.14
2022-04-19,1,0.182,4.661
2022-04-19,1,0.416,5.45
2022-04-19,1,0.43,5.838
2022-04-19,1,0.458,6.538
2022-04-19,1,0.424,6.611
2022-04-19,1,0.268,6.834
2022-04-19,1,0.66,6.992
2022-04-19,1,0.57,8.005
2022-04-19,1,0.28,8.898
2022-04-19,1,0.471,9.809
2022-04-19,1,0.459,9.91
2022-04-19,1,0.588,9.877
2022-04-19,1,0.407,10.543
2022-04-19,1,0.465,10.86
2022-04-19,1,0.3,11.405
2022-04-19,1,0.479,12.759
2022-04-19,1,0.683,14.112
2022-04-19,1,0.383,14.714
2022-04-19,1,0.601,15.069
2022-04-19,1,0.203,16.031
2022-04-19,1,0.518,23.924
2022-04-19,1,0.307,24.641
2022-04-19,1,0.422,26.796
2022-04-19,1,0.779,26.832
2022-04-19,1,0.295,33.127
2022-04-19,1,0.227,62.73
2022-04-19,1,0.409,88.05
2022-04-19,1,0.081,156.417
2022-04-19,1,0.427,270.952
2022-04-19,1,0.302,784.013
2022-04-20,1,0.532,0.292
2022-04-20,1,0.408,0.292
2022-04-20,1,0.255,0.292
2022-04-20,1,0.535,0.292
2022-04-20,1,0.905,0.292
2022-04-20,1,0.37,0.291
2022-04-20,1,0.371,0.291
2022-04-20,1,0.357,0.291
2022-04-20,1,0.69,0.291
2022-04-20,1,0.709,0.291
2022-04-20,1,0.299,0.292
2022-04-20,1,1.306,0.437
2022-04-20,1,0.767,0.436
2022-04-20,1,0.833,0.436
2022-04-20,1,0.398,0.432
2022-04-20,1,0.715,0.436
2022-04-20,1,0.772,0.436
2022-04-20,1,0.376,0.585
2022-04-20,1,0.647,0.582
2022-04-20,1,0.792,0.583
2022-04-20,1,0.384,0.583
2022-04-20,1,0.353,0.652
2022-04-20,1,0.542,0.654
2022-04-20,1,0.314,0.723
2022-04-20,1,0.731,0.73
2022-04-20,1,1.054,0.73
2022-04-20,1,0.849,0.727
2022-04-20,1,0.57,0.728
2022-04-20,1,0.8,1.019
2022-04-20,1,0.897,1.091
2022-04-20,1,0.692,1.088
2022-04-20,1,0.199,1.165
2022-04-20,1,0.502,1.454
2022-04-20,1,0.374,1.524
2022-04-20,1,0.728,1.602
2022-04-20,1,0.689,1.604
2022-04-20,1,0.438,1.677
2022-04-20,1,0.664,1.751
2022-04-20,1,1.146,1.832
2022-04-20,1,0.639,1.817
2022-04-20,1,0.57,1.894
2022-04-20,1,0.807,2.112
2022-04-20,1,1.022,2.261
2022-04-20,1,0.735,2.406
2022-04-20,1,0.989,2.84
2022-04-20,1,0.779,3.064
2022-04-20,1,0.973,3.283
2022-04-20,1,0.983,3.356
2022-04-20,1,1.054,3.428
2022-04-20,1,0.814,3.419
2022-04-20,1,0.5,3.868
2022-04-20,1,0.388,3.849
2022-04-20,1,0.724,4.004
2022-04-20,1,0.367,4.011
2022-04-20,1,0.683,4.14
2022-04-20,1,0.332,4.661
2022-04-20,1,0.49,5.45
2022-04-20,1,0.645,5.838
2022-04-20,1,0.69,6.538
2022-04-20,1,0.612,6.611
2022-04-20,1,0.389,6.834
2022-04-20,1,1.314,6.992
2022-04-20,1,0.699,8.005
2022-04-20,1,0.521,8.898
2022-04-20,1,0.607,9.809
2022-04-20,1,0.536,9.91
2022-04-20,1,0.703,9.877
2022-04-20,1,0.775,10.543
2022-04-20,1,0.921,10.86
2022-04-20,1,0.441,11.405
2022-04-20,1,0.953,12.759
2022-04-20,1,0.826,14.112
2022-04-20,1,0.767,14.714
2022-04-20,1,0.745,15.069
2022-04-20,1,0.3,16.031
2022-04-20,1,0.75,23.924
2022-04-20,1,0.551,24.641
2022-04-20,1,0.742,26.796
2022-04-20,1,1.12,26.832
2022-04-20,1,0.539,33.127
2022-04-20,1,0.331,62.73
2022-04-20,1,0.549,88.05
2022-04-20,1,0.141,156.417
2022-04-20,1,0.689,270.952
2022-04-20,1,0.511,784.013
2022-04-21,1,0.505,0.292
2022-04-21,1,0.424,0.292
2022-04-21,1,0.267,0.292
2022-04-21,1,0.401,0.292
2022-04-21,1,0.721,0.292
2022-04-21,1,0.372,0.291
2022-04-21,1,0.408,0.291
2022-04-21,1,0.416,0.291
2022-04-21,1,0.585,0.291
2022-04-21,1,0.664,0.291
2022-04-21,1,0.283,0.292
2022-04-21,1,1.198,0.437
2022-04-21,1,0.69,0.436
2022-04-21,1,0.766,0.436
2022-04-21,1,0.411,0.432
2022-04-21,1,0.787,0.436
2022-04-21,1,0.723,0.436
2022-04-21,1,0.375,0.585
2022-04-21,1,0.6,0.582
2022-04-21,1,0.728,0.583
2022-04-21,1,0.379,0.583
2022-04-21,1,0.322,0.652
