time,label,etof,hectares
2022-04-18,1,0.442,0.292
2022-04-18,1,0.623,0.292
2022-04-18,1,0.362,0.292
2022-04-18,1,0.615,0.292
2022-04-18,1,0.865,0.292
2022-04-18,1,0.361,0.291
2022-04-18,1,0.456,0.291
2022-04-18,1,0.506,0.291
2022-04-18,1,0.639,0.291
2022-04-18,1,0.623,0.291
2022-04-18,1,0.493,0.292
2022-04-18,1,0.356,0.437
2022-04-18,1,0.495,0.436
2022-04-18,1,0.563,0.436
2022-04-18,1,0.46,0.432
2022-04-18,1,0.586,0.436
2022-04-18,1,0.603,0.436
2022-04-18,1,0.548,0.585
2022-04-18,1,0.444,0.582
2022-04-18,1,0.718,0.583
2022-04-18,1,0.566,0.583
2022-04-18,1,0.401,0.652
2022-04-18,1,0.742,0.654
2022-04-18,1,0.4,0.723
2022-04-18,1,0.528,0.73
2022-04-18,1,0.73,0.73
2022-04-18,1,0.71,0.727
2022-04-18,1,0.747,0.728
2022-04-18,1,0.327,1.019
2022-04-18,1,0.769,1.091
2022-04-18,1,0.735,1.088
2022-04-18,1,0.143,1.165
2022-04-18,1,0.567,1.454
2022-04-18,1,0.524,1.524
2022-04-18,1,0.716,1.602
2022-04-18,1,0.641,1.604
2022-04-18,1,0.277,1.677
2022-04-18,1,0.293,1.751
2022-04-18,1,0.733,1.832
2022-04-18,1,0.556,1.817
2022-04-18,1,0.575,1.894
2022-04-18,1,0.562,2.112
2022-04-18,1,0.771,2.261
2022-04-18,1,0.473,2.406
2022-04-18,1,0.848,2.84
2022-04-18,1,0.422,3.064
2022-04-18,1,0.716,3.283
2022-04-18,1,0.65,3.356
2022-04-18,1,0.718,3.428
2022-04-18,1,0.311,3.419
2022-04-18,1,0.323,3.868
2022-04-18,1,0.309,3.849
2022-04-18,1,0.682,4.004
2022-04-18,1,0.535,4.011
2022-04-18,1,0.668,4.14
2022-04-18,1,0.239,4.661
2022-04-18,1,0.459,5.45
2022-04-18,1,0.491,5.838
2022-04-18,1,0.49,6.538
2022-04-18,1,0.293,6.611
2022-04-18,1,0.269,6.834
2022-04-18,1,0.457,6.992
2022-04-18,1,0.643,8.005
2022-04-18,1,0.37,8.898
2022-04-18,1,0.442,9.809
2022-04-18,1,0.627,9.91
2022-04-18,1,0.361,9.877
2022-04-18,1,0.543,10.543
2022-04-18,1,0.339,10.86
2022-04-18,1,0.446,11.405
2022-04-18,1,0.489,12.759
2022-04-18,1,0.528,14.112
2022-04-18,1,0.64,14.714
2022-04-18,1,0.742,15.069
2022-04-18,1,0.28,16.031
2022-04-18,1,0.414,23.924
2022-04-18,1,0.592,24.641
