time,label,etof,hectares
2022-04-18,1,0.189,0.292
2022-04-18,1,0.468,0.292
2022-04-18,1,0.122,0.292
2022-04-18,1,0.416,0.292
2022-04-18,1,0.371,0.292
2022-04-18,1,0.1,0.291
2022-04-18,1,0.362,0.291
2022-04-18,1,0.424,0.291
2022-04-18,1,0.483,0.291
2022-04-18,1,0.359,0.291
2022-04-18,1,0.238,0.292
2022-04-18,1,0.059,0.437
2022-04-18,1,0.383,0.436
2022-04-18,1,0.487,0.436
2022-04-18,1,0.239,0.432
2022-04-18,1,0.302,0.436
2022-04-18,1,0.38,0.436
2022-04-18,1,0.26,0.585
2022-04-18,1,0.14,0.582
2022-04-18,1,0.595,0.583
2022-04-18,1,0.464,0.583
2022-04-18,1,0.165,0.652
2022-04-18,1,0.461,0.654
2022-04-18,1,0.15,0.723
2022-04-18,1,0.188,0.73
2022-04-18,1,0.619,0.73
2022-04-18,1,0.576,0.727
2022-04-18,1,0.626,0.728
2022-04-18,1,0.277,1.019
2022-04-18,1,0.484,1.091
2022-04-18,1,0.655,1.088
2022-04-18,1,0.0,1.165
2022-04-18,1,0.308,1.454
2022-04-18,1,0.383,1.524
2022-04-18,1,0.434,1.602
2022-04-18,1,0.487,1.604
2022-04-18,1,0.048,1.677
2022-04-18,1,0.0,1.751
2022-04-18,1,0.517,1.832
2022-04-18,1,0.299,1.817
2022-04-18,1,0.236,1.894
2022-04-18,1,0.462,2.112
2022-04-18,1,0.635,2.261
2022-04-18,1,0.179,2.406
2022-04-18,1,0.441,2.84
2022-04-18,1,0.134,3.064
2022-04-18,1,0.63,3.283
2022-04-18,1,0.531,3.356
2022-04-18,1,0.617,3.428
2022-04-18,1,0.002,3.419
2022-04-18,1,0.083,3.868
2022-04-18,1,0.058,3.849
2022-04-18,1,0.524,4.004
2022-04-18,1,0.309,4.011
2022-04-18,1,0.484,4.14
2022-04-18,1,0.013,4.661
2022-04-18,1,0.173,5.45
2022-04-18,1,0.176,5.838
2022-04-18,1,0.214,6.538
2022-04-18,1,0.04,6.611
2022-04-18,1,0.122,6.834
2022-04-18,1,0.265,6.992
2022-04-18,1,0.371,8.005
2022-04-18,1,0.322,8.898
2022-04-18,1,0.15,9.809
2022-04-18,1,0.271,9.91
2022-04-18,1,0.052,9.877
2022-04-18,1,0.503,10.543
2022-04-18,1,0.208,10.86
2022-04-18,1,0.217,11.405
2022-04-18,1,0.322,12.759
2022-04-18,1,0.286,14.112
2022-04-18,1,0.536,14.714
2022-04-18,1,0.505,15.069
2022-04-18,1,0.053,16.031
2022-04-18,1,0.141,23.924
2022-04-18,1,0.461,24.641
2022-04-18,1,0.398,26.796
2022-04-18,1,0.218,26.832
2022-04-18,1,0.091,33.127
2022-04-18,1,0.114,62.73
2022-04-18,1,0.356,88.05
2022-04-18,1,0.02,156.417
