time,label,etof,hectares
2022-04-18,1,0.343,0.292
2022-04-18,1,0.449,0.292
2022-04-18,1,0.326,0.292
2022-04-18,1,0.36,0.292
2022-04-18,1,0.265,0.292
2022-04-18,1,0.353,0.291
2022-04-18,1,0.382,0.291
2022-04-18,1,0.409,0.291
2022-04-18,1,0.439,0.291
2022-04-18,1,0.408,0.291
2022-04-18,1,0.35,0.292
2022-04-18,1,0.235,0.437
2022-04-18,1,0.341,0.436
2022-04-18,1,0.427,0.436
2022-04-18,1,0.385,0.432
2022-04-18,1,0.441,0.436
2022-04-18,1,0.414,0.436
2022-04-18,1,0.365,0.585
2022-04-18,1,0.211,0.582
2022-04-18,1,0.419,0.583
2022-04-18,1,0.424,0.583
2022-04-18,1,0.374,0.652
2022-04-18,1,0.443,0.654
2022-04-18,1,0.289,0.723
2022-04-18,1,0.155,0.73
2022-04-18,1,0.435,0.73
2022-04-18,1,0.444,0.727
2022-04-18,1,0.507,0.728
2022-04-18,1,0.305,1.019
2022-04-18,1,0.35,1.091
2022-04-18,1,0.506,1.088
2022-04-18,1,0.224,1.165
2022-04-18,1,0.394,1.454
2022-04-18,1,0.377,1.524
2022-04-18,1,0.373,1.602
2022-04-18,1,0.45,1.604
2022-04-18,1,0.288,1.677
2022-04-18,1,0.213,1.751
2022-04-18,1,0.373,1.832
2022-04-18,1,0.402,1.817
2022-04-18,1,0.356,1.894
2022-04-18,1,0.337,2.112
2022-04-18,1,0.459,2.261
2022-04-18,1,0.338,2.406
2022-04-18,1,0.354,2.84
2022-04-18,1,0.322,3.064
2022-04-18,1,0.464,3.283
2022-04-18,1,0.311,3.356
2022-04-18,1,0.511,3.428
2022-04-18,1,0.321,3.419
2022-04-18,1,0.315,3.868
2022-04-18,1,0.347,3.849
2022-04-18,1,0.42,4.004
2022-04-18,1,0.366,4.011
2022-04-18,1,0.438,4.14
2022-04-18,1,0.311,4.661
2022-04-18,1,0.375,5.45
2022-04-18,1,0.352,5.838
2022-04-18,1,0.381,6.538
2022-04-18,1,0.287,6.611
2022-04-18,1,0.244,6.834
2022-04-18,1,0.28,6.992
2022-04-18,1,0.424,8.005
2022-04-18,1,0.311,8.898
2022-04-18,1,0.352,9.809
2022-04-18,1,0.257,9.91
2022-04-18,1,0.315,9.877
2022-04-18,1,0.374,10.543
2022-04-18,1,0.252,10.86
2022-04-18,1,0.377,11.405
2022-04-18,1,0.283,12.759
2022-04-18,1,0.397,14.112
2022-04-18,1,0.364,14.714
2022-04-18,1,0.474,15.069
2022-04-18,1,0.264,16.031
2022-04-18,1,0.215,23.924
2022-04-18,1,0.435,24.641
2022-04-18,1,0.314,26.796
2022-04-18,1,0.283,26.832
2022-04-18,1,0.299,33.127
2022-04-18,1,0.284,62.73
2022-04-18,1,0.406,88.05
2022-04-18,1,0.214,156.417
2022-04-18,1,0.292,270.952
2022-04-18,1,0.364,784.013
2022-04-19,1,0.343,0.292
2022-04-19,1,0.449,0.292
2022-04-19,1,0.326,0.292
2022-04-19,1,0.36,0.292
2022-04-19,1,0.265,0.292
2022-04-19,1,0.353,0.291
2022-04-19,1,0.382,0.291
2022-04-19,1,0.409,0.291
2022-04-19,1,0.439,0.291
2022-04-19,1,0.408,0.291
2022-04-19,1,0.35,0.292
2022-04-19,1,0.235,0.437
2022-04-19,1,0.341,0.436
2022-04-19,1,0.427,0.436
2022-04-19,1,0.385,0.432
2022-04-19,1,0.441,0.436
2022-04-19,1,0.414,0.436
2022-04-19,1,0.365,0.585
2022-04-19,1,0.211,0.582
2022-04-19,1,0.419,0.583
2022-04-19,1,0.424,0.583
2022-04-19,1,0.374,0.652
2022-04-19,1,0.443,0.654
2022-04-19,1,0.289,0.723
2022-04-19,1,0.155,0.73
2022-04-19,1,0.435,0.73
2022-04-19,1,0.444,0.727
2022-04-19,1,0.507,0.728
2022-04-19,1,0.305,1.019
2022-04-19,1,0.35,1.091
2022-04-19,1,0.506,1.088
2022-04-19,1,0.224,1.165
2022-04-19,1,0.394,1.454
2022-04-19,1,0.377,1.524
2022-04-19,1,0.373,1.602
2022-04-19,1,0.45,1.604
2022-04-19,1,0.288,1.677
2022-04-19,1,0.213,1.751
2022-04-19,1,0.373,1.832
2022-04-19,1,0.402,1.817
2022-04-19,1,0.356,1.894
2022-04-19,1,0.337,2.112
2022-04-19,1,0.459,2.261
2022-04-19,1,0.338,2.406
2022-04-19,1,0.354,2.84
2022-04-19,1,0.322,3.064
2022-04-19,1,0.464,3.283
2022-04-19,1,0.311,3.356
2022-04-19,1,0.511,3.428
2022-04-19,1,0.321,3.419
2022-04-19,1,0.315,3.868
2022-04-19,1,0.347,3.849
2022-04-19,1,0.42,4.004
2022-04-19,1,0.366,4.011
2022-04-19,1,0.438,4.14
2022-04-19,1,0.311,4.661
2022-04-19,1,0.375,5.45
2022-04-19,1,0.352,5.838
2022-04-19,1,0.381,6.538
2022-04-19,1,0.287,6.611
2022-04-19,1,0.244,6.834
2022-04-19,1,0.28,6.992
2022-04-19,1,0.424,8.005
2022-04-19,1,0.311,8.898
2022-04-19,1,0.352,9.809
2022-04-19,1,0.257,9.91
2022-04-19,1,0.315,9.877
2022-04-19,1,0.374,10.543
2022-04-19,1,0.252,10.86
2022-04-19,1,0.377,11.405
2022-04-19,1,0.283,12.759
2022-04-19,1,0.397,14.112
2022-04-19,1,0.364,14.714
2022-04-19,1,0.474,15.069
2022-04-19,1,0.264,16.031
2022-04-19,1,0.215,23.924
2022-04-19,1,0.435,24.641
2022-04-19,1,0.314,26.796
2022-04-19,1,0.283,26.832
2022-04-19,1,0.299,33.127
2022-04-19,1,0.284,62.73
2022-04-19,1,0.406,88.05
2022-04-19,1,0.214,156.417
2022-04-19,1,0.292,270.952
2022-04-19,1,0.364,784.013
2022-04-20,1,0.288,0.292
2022-04-20,1,0.312,0.292
2022-04-20,1,0.261,0.292
2022-04-20,1,0.253,0.292
2022-04-20,1,0.275,0.292
2022-04-20,1,0.271,0.291
2022-04-20,1,0.315,0.291
2022-04-20,1,0.341,0.291
2022-04-20,1,0.375,0.291
2022-04-20,1,0.315,0.291
2022-04-20,1,0.282,0.292
2022-04-20,1,0.347,0.437
2022-04-20,1,0.29,0.436
2022-04-20,1,0.325,0.436
2022-04-20,1,0.316,0.432
2022-04-20,1,0.317,0.436
2022-04-20,1,0.335,0.436
2022-04-20,1,0.307,0.585
2022-04-20,1,0.211,0.582
2022-04-20,1,0.317,0.583
2022-04-20,1,0.346,0.583
2022-04-20,1,0.283,0.652
2022-04-20,1,0.301,0.654
2022-04-20,1,0.218,0.723
2022-04-20,1,0.161,0.73
2022-04-20,1,0.355,0.73
2022-04-20,1,0.351,0.727
2022-04-20,1,0.383,0.728
2022-04-20,1,0.303,1.019
2022-04-20,1,0.284,1.091
2022-04-20,1,0.388,1.088
2022-04-20,1,0.135,1.165
2022-04-20,1,0.291,1.454
2022-04-20,1,0.266,1.524
2022-04-20,1,0.243,1.602
2022-04-20,1,0.308,1.604
2022-04-20,1,0.219,1.677
2022-04-20,1,0.146,1.751
2022-04-20,1,0.403,1.832
2022-04-20,1,0.314,1.817
2022-04-20,1,0.315,1.894
2022-04-20,1,0.27,2.112
2022-04-20,1,0.354,2.261
2022-04-20,1,0.282,2.406
2022-04-20,1,0.328,2.84
2022-04-20,1,0.238,3.064
2022-04-20,1,0.328,3.283
2022-04-20,1,0.276,3.356
2022-04-20,1,0.365,3.428
2022-04-20,1,0.228,3.419
2022-04-20,1,0.256,3.868
2022-04-20,1,0.266,3.849
2022-04-20,1,0.343,4.004
2022-04-20,1,0.278,4.011
2022-04-20,1,0.367,4.14
2022-04-20,1,0.231,4.661
2022-04-20,1,0.295,5.45
2022-04-20,1,0.299,5.838
2022-04-20,1,0.288,6.538
2022-04-20,1,0.201,6.611
2022-04-20,1,0.242,6.834
2022-04-20,1,0.346,6.992
2022-04-20,1,0.3,8.005
2022-04-20,1,0.202,8.898
2022-04-20,1,0.257,9.809
2022-04-20,1,0.221,9.91
2022-04-20,1,0.236,9.877
2022-04-20,1,0.317,10.543
2022-04-20,1,0.289,10.86
2022-04-20,1,0.293,11.405
2022-04-20,1,0.319,12.759
2022-04-20,1,0.302,14.112
2022-04-20,1,0.303,14.714
2022-04-20,1,0.348,15.069
2022-04-20,1,0.203,16.031
2022-04-20,1,0.218,23.924
2022-04-20,1,0.288,24.641
2022-04-20,1,0.233,26.796
2022-04-20,1,0.156,26.832
2022-04-20,1,0.25,33.127
2022-04-20,1,0.209,62.73
2022-04-20,1,0.326,88.05
2022-04-20,1,0.138,156.417
2022-04-20,1,0.255,270.952
2022-04-20,1,0.297,784.013
2022-04-21,1,0.327,0.292
2022-04-21,1,0.353,0.292
2022-04-21,1,0.3,0.292
2022-04-21,1,0.3,0.292
2022-04-21,1,0.314,0.292
2022-04-21,1,0.312,0.291
2022-04-21,1,0.371,0.291
2022-04-21,1,0.397,0.291
2022-04-21,1,0.429,0.291
2022-04-21,1,0.364,0.291
2022-04-21,1,0.316,0.292
2022-04-21,1,0.391,0.437
2022-04-21,1,0.335,0.436
2022-04-21,1,0.381,0.436
2022-04-21,1,0.368,0.432
2022-04-21,1,0.383,0.436
2022-04-21,1,0.396,0.436
2022-04-21,1,0.348,0.585
2022-04-21,1,0.243,0.582
2022-04-21,1,0.369,0.583
2022-04-21,1,0.403,0.583
2022-04-21,1,0.322,0.652
2022-04-21,1,0.351,0.654
2022-04-21,1,0.25,0.723
2022-04-21,1,0.185,0.73
2022-04-21,1,0.407,0.73
2022-04-21,1,0.409,0.727
2022-04-21,1,0.439,0.728
2022-04-21,1,0.353,1.019
2022-04-21,1,0.328,1.091
2022-04-21,1,0.443,1.088
2022-04-21,1,0.149,1.165
2022-04-21,1,0.333,1.454
2022-04-21,1,0.312,1.524
2022-04-21,1,0.277,1.602
2022-04-21,1,0.358,1.604
2022-04-21,1,0.25,1.677
2022-04-21,1,0.167,1.751
2022-04-21,1,0.462,1.832
2022-04-21,1,0.376,1.817
2022-04-21,1,0.364,1.894
2022-04-21,1,0.311,2.112
