time,label,etof,hectares
2022-04-18,1,0.664,0.292
2022-04-18,1,0.682,0.29
2022-04-18,1,0.396,0.292
2022-04-18,1,0.261,0.436
2022-04-18,1,0.139,0.437
2022-04-18,1,0.052,0.582
2022-04-18,1,0.215,0.732
2022-04-18,1,0.504,0.728
2022-04-18,1,0.516,0.722
2022-04-18,1,0.455,0.728
2022-04-18,1,0.229,0.729
2022-04-18,1,0.2,0.728
2022-04-18,1,0.282,1.164
2022-04-18,1,0.746,2.988
2022-04-18,1,0.206,2.988
2022-04-18,1,0.523,2.984
2022-04-18,1,0.144,3.14
2022-04-18,1,0.163,3.791
2022-04-18,1,0.572,4.959
2022-04-18,1,0.379,5.902
2022-04-18,1,0.383,13.433
2022-04-18,1,0.114,13.839
2022-04-18,1,0.245,14.366
2022-04-19,1,0.664,0.292
2022-04-19,1,0.512,0.29
2022-04-19,1,0.363,0.292
2022-04-19,1,0.195,0.436
2022-04-19,1,0.089,0.437
2022-04-19,1,0.051,0.582
2022-04-19,1,0.167,0.732
2022-04-19,1,0.304,0.728
2022-04-19,1,0.578,0.722
2022-04-19,1,0.451,0.728
2022-04-19,1,0.24,0.729
2022-04-19,1,0.167,0.728
2022-04-19,1,0.186,1.164
2022-04-19,1,0.604,2.988
2022-04-19,1,0.105,2.988
2022-04-19,1,0.486,2.984
2022-04-19,1,0.141,3.14
2022-04-19,1,0.019,3.791
2022-04-19,1,0.564,4.959
2022-04-19,1,0.329,5.902
2022-04-19,1,0.244,13.433
2022-04-19,1,0.019,13.839
2022-04-19,1,0.073,14.366
2022-04-20,1,0.664,0.292
2022-04-20,1,0.531,0.29
2022-04-20,1,0.353,0.292
2022-04-20,1,0.142,0.436
2022-04-20,1,0.258,0.437
2022-04-20,1,0.018,0.582
2022-04-20,1,0.126,0.732
2022-04-20,1,0.417,0.728
2022-04-20,1,0.354,0.722
2022-04-20,1,0.355,0.728
2022-04-20,1,0.122,0.729
2022-04-20,1,0.256,0.728
2022-04-20,1,0.162,1.164
2022-04-20,1,0.718,2.988
2022-04-20,1,0.139,2.988
2022-04-20,1,0.171,2.984
2022-04-20,1,0.056,3.14
2022-04-20,1,0.142,3.791
2022-04-20,1,0.44,4.959
2022-04-20,1,0.24,5.902
2022-04-20,1,0.267,13.433
2022-04-20,1,0.118,13.839
2022-04-20,1,0.239,14.366
2022-04-21,1,0.545,0.292
2022-04-21,1,0.477,0.29
2022-04-21,1,0.372,0.292
2022-04-21,1,0.079,0.436
2022-04-21,1,0.181,0.437
2022-04-21,1,0.013,0.582
2022-04-21,1,0.097,0.732
2022-04-21,1,0.382,0.728
2022-04-21,1,0.381,0.722
2022-04-21,1,0.379,0.728
2022-04-21,1,0.139,0.729
2022-04-21,1,0.179,0.728
2022-04-21,1,0.165,1.164
2022-04-21,1,0.721,2.988
2022-04-21,1,0.126,2.988
2022-04-21,1,0.104,2.984
2022-04-21,1,0.04,3.14
2022-04-21,1,0.079,3.791
2022-04-21,1,0.478,4.959
2022-04-21,1,0.203,5.902
2022-04-21,1,0.234,13.433
2022-04-21,1,0.068,13.839
2022-04-21,1,0.166,14.366
2022-04-22,1,0.545,0.292
2022-04-22,1,0.477,0.29
2022-04-22,1,0.372,0.292
2022-04-22,1,0.079,0.436
2022-04-22,1,0.181,0.437
2022-04-22,1,0.013,0.582
2022-04-22,1,0.097,0.732
2022-04-22,1,0.382,0.728
2022-04-22,1,0.381,0.722
2022-04-22,1,0.379,0.728
2022-04-22,1,0.139,0.729
2022-04-22,1,0.179,0.728
2022-04-22,1,0.165,1.164
2022-04-22,1,0.721,2.988
2022-04-22,1,0.126,2.988
2022-04-22,1,0.104,2.984
2022-04-22,1,0.04,3.14
2022-04-22,1,0.079,3.791
2022-04-22,1,0.478,4.959
2022-04-22,1,0.203,5.902
2022-04-22,1,0.234,13.433
2022-04-22,1,0.068,13.839
2022-04-22,1,0.166,14.366
2022-04-23,1,0.545,0.292
2022-04-23,1,0.477,0.29
2022-04-23,1,0.372,0.292
2022-04-23,1,0.079,0.436
2022-04-23,1,0.181,0.437
2022-04-23,1,0.013,0.582
2022-04-23,1,0.097,0.732
2022-04-23,1,0.382,0.728
2022-04-23,1,0.381,0.722
2022-04-23,1,0.379,0.728
2022-04-23,1,0.139,0.729
2022-04-23,1,0.179,0.728
2022-04-23,1,0.165,1.164
2022-04-23,1,0.721,2.988
2022-04-23,1,0.126,2.988
2022-04-23,1,0.104,2.984
2022-04-23,1,0.04,3.14
2022-04-23,1,0.079,3.791
2022-04-23,1,0.478,4.959
2022-04-23,1,0.203,5.902
2022-04-23,1,0.234,13.433
2022-04-23,1,0.068,13.839
2022-04-23,1,0.166,14.366
2022-04-24,1,0.545,0.292
2022-04-24,1,0.477,0.29
2022-04-24,1,0.372,0.292
2022-04-24,1,0.079,0.436
2022-04-24,1,0.181,0.437
2022-04-24,1,0.013,0.582
2022-04-24,1,0.097,0.732
2022-04-24,1,0.382,0.728
2022-04-24,1,0.381,0.722
2022-04-24,1,0.379,0.728
2022-04-24,1,0.139,0.729
2022-04-24,1,0.179,0.728
2022-04-24,1,0.165,1.164
2022-04-24,1,0.721,2.988
2022-04-24,1,0.126,2.988
2022-04-24,1,0.104,2.984
2022-04-24,1,0.04,3.14
2022-04-24,1,0.079,3.791
2022-04-24,1,0.478,4.959
2022-04-24,1,0.203,5.902
2022-04-24,1,0.234,13.433
2022-04-24,1,0.068,13.839
2022-04-24,1,0.166,14.366
2022-04-25,1,0.545,0.292
2022-04-25,1,0.477,0.29
2022-04-25,1,0.372,0.292
2022-04-25,1,0.079,0.436
2022-04-25,1,0.181,0.437
2022-04-25,1,0.013,0.582
2022-04-25,1,0.097,0.732
2022-04-25,1,0.382,0.728
2022-04-25,1,0.381,0.722
2022-04-25,1,0.379,0.728
2022-04-25,1,0.139,0.729
2022-04-25,1,0.179,0.728
2022-04-25,1,0.165,1.164
2022-04-25,1,0.721,2.988
2022-04-25,1,0.126,2.988
2022-04-25,1,0.104,2.984
2022-04-25,1,0.04,3.14
2022-04-25,1,0.079,3.791
2022-04-25,1,0.478,4.959
2022-04-25,1,0.203,5.902
2022-04-25,1,0.234,13.433
2022-04-25,1,0.068,13.839
2022-04-25,1,0.166,14.366
2022-04-26,1,0.545,0.292
2022-04-26,1,0.477,0.29
2022-04-26,1,0.372,0.292
2022-04-26,1,0.079,0.436
2022-04-26,1,0.181,0.437
2022-04-26,1,0.013,0.582
2022-04-26,1,0.097,0.732
2022-04-26,1,0.382,0.728
2022-04-26,1,0.381,0.722
2022-04-26,1,0.379,0.728
2022-04-26,1,0.139,0.729
2022-04-26,1,0.179,0.728
2022-04-26,1,0.165,1.164
2022-04-26,1,0.721,2.988
2022-04-26,1,0.126,2.988
2022-04-26,1,0.104,2.984
2022-04-26,1,0.04,3.14
2022-04-26,1,0.079,3.791
2022-04-26,1,0.478,4.959
2022-04-26,1,0.203,5.902
2022-04-26,1,0.234,13.433
2022-04-26,1,0.068,13.839
2022-04-26,1,0.166,14.366
2022-04-27,1,0.427,0.292
2022-04-27,1,0.424,0.29
2022-04-27,1,0.39,0.292
2022-04-27,1,0.016,0.436
2022-04-27,1,0.103,0.437
2022-04-27,1,0.008,0.582
2022-04-27,1,0.067,0.732
2022-04-27,1,0.346,0.728
2022-04-27,1,0.407,0.722
2022-04-27,1,0.403,0.728
2022-04-27,1,0.156,0.729
2022-04-27,1,0.102,0.728
2022-04-27,1,0.168,1.164
2022-04-27,1,0.725,2.988
2022-04-27,1,0.113,2.988
2022-04-27,1,0.036,2.984
2022-04-27,1,0.025,3.14
2022-04-27,1,0.015,3.791
2022-04-27,1,0.517,4.959
2022-04-27,1,0.166,5.902
2022-04-27,1,0.201,13.433
2022-04-27,1,0.018,13.839
2022-04-27,1,0.093,14.366
2022-04-28,1,0.579,0.292
2022-04-28,1,0.51,0.29
2022-04-28,1,0.385,0.292
2022-04-28,1,0.126,0.436
2022-04-28,1,0.218,0.437
2022-04-28,1,0.018,0.582
2022-04-28,1,0.104,0.732
2022-04-28,1,0.396,0.728
2022-04-28,1,0.413,0.722
2022-04-28,1,0.392,0.728
2022-04-28,1,0.098,0.729
