time,label,etof,hectares
2022-04-18,1,0.813,0.292
2022-04-18,1,0.403,0.29
2022-04-18,1,0.855,0.292
2022-04-18,1,0.581,0.436
2022-04-18,1,0.218,0.437
2022-04-18,1,0.367,0.582
2022-04-18,1,0.391,0.732
2022-04-18,1,0.385,0.728
2022-04-18,1,0.623,0.722
2022-04-18,1,0.864,0.728
2022-04-18,1,0.849,0.729
2022-04-18,1,0.32,0.728
2022-04-18,1,0.626,1.164
2022-04-18,1,0.371,2.988
2022-04-18,1,0.326,2.988
2022-04-18,1,0.347,2.984
2022-04-18,1,0.353,3.14
2022-04-18,1,0.289,3.791
2022-04-18,1,0.62,4.959
2022-04-18,1,0.441,5.902
2022-04-18,1,0.291,13.433
2022-04-18,1,0.143,13.839
2022-04-18,1,0.091,14.366
2022-04-19,1,0.813,0.292
2022-04-19,1,0.663,0.29
2022-04-19,1,0.712,0.292
2022-04-19,1,0.804,0.436
2022-04-19,1,0.293,0.437
2022-04-19,1,0.731,0.582
2022-04-19,1,0.761,0.732
2022-04-19,1,0.758,0.728
2022-04-19,1,0.623,0.722
2022-04-19,1,0.812,0.728
2022-04-19,1,0.869,0.729
2022-04-19,1,0.392,0.728
2022-04-19,1,0.958,1.164
2022-04-19,1,0.738,2.988
2022-04-19,1,0.636,2.988
2022-04-19,1,0.347,2.984
2022-04-19,1,0.632,3.14
2022-04-19,1,0.425,3.791
2022-04-19,1,0.62,4.959
2022-04-19,1,0.596,5.902
2022-04-19,1,0.573,13.433
2022-04-19,1,0.018,13.839
2022-04-19,1,0.169,14.366
2022-04-20,1,0.652,0.292
2022-04-20,1,0.465,0.29
2022-04-20,1,0.343,0.292
2022-04-20,1,0.53,0.436
2022-04-20,1,0.178,0.437
2022-04-20,1,0.278,0.582
2022-04-20,1,0.458,0.732
2022-04-20,1,0.565,0.728
2022-04-20,1,0.435,0.722
2022-04-20,1,0.285,0.728
2022-04-20,1,0.335,0.729
2022-04-20,1,0.255,0.728
2022-04-20,1,0.659,1.164
2022-04-20,1,0.96,2.988
2022-04-20,1,0.351,2.988
2022-04-20,1,0.229,2.984
2022-04-20,1,0.204,3.14
2022-04-20,1,0.352,3.791
2022-04-20,1,0.634,4.959
2022-04-20,1,0.43,5.902
2022-04-20,1,0.32,13.433
2022-04-20,1,0.065,13.839
2022-04-20,1,0.19,14.366
2022-04-21,1,0.536,0.292
2022-04-21,1,0.263,0.29
2022-04-21,1,0.235,0.292
2022-04-21,1,0.31,0.436
2022-04-21,1,0.091,0.437
2022-04-21,1,0.139,0.582
2022-04-21,1,0.231,0.732
2022-04-21,1,0.372,0.728
2022-04-21,1,0.389,0.722
2022-04-21,1,0.201,0.728
2022-04-21,1,0.219,0.729
2022-04-21,1,0.136,0.728
2022-04-21,1,0.501,1.164
2022-04-21,1,0.643,2.988
2022-04-21,1,0.209,2.988
2022-04-21,1,0.121,2.984
2022-04-21,1,0.118,3.14
2022-04-21,1,0.176,3.791
2022-04-21,1,0.528,4.959
2022-04-21,1,0.308,5.902
2022-04-21,1,0.217,13.433
2022-04-21,1,0.045,13.839
2022-04-21,1,0.101,14.366
2022-04-22,1,0.536,0.292
2022-04-22,1,0.263,0.29
2022-04-22,1,0.235,0.292
2022-04-22,1,0.31,0.436
2022-04-22,1,0.091,0.437
2022-04-22,1,0.139,0.582
2022-04-22,1,0.231,0.732
2022-04-22,1,0.372,0.728
2022-04-22,1,0.389,0.722
2022-04-22,1,0.201,0.728
2022-04-22,1,0.219,0.729
2022-04-22,1,0.136,0.728
2022-04-22,1,0.501,1.164
2022-04-22,1,0.643,2.988
2022-04-22,1,0.209,2.988
2022-04-22,1,0.121,2.984
2022-04-22,1,0.118,3.14
2022-04-22,1,0.176,3.791
2022-04-22,1,0.528,4.959
2022-04-22,1,0.308,5.902
2022-04-22,1,0.217,13.433
2022-04-22,1,0.045,13.839
2022-04-22,1,0.101,14.366
2022-04-23,1,0.536,0.292
2022-04-23,1,0.263,0.29
2022-04-23,1,0.235,0.292
2022-04-23,1,0.31,0.436
2022-04-23,1,0.091,0.437
2022-04-23,1,0.139,0.582
2022-04-23,1,0.231,0.732
2022-04-23,1,0.372,0.728
2022-04-23,1,0.389,0.722
2022-04-23,1,0.201,0.728
2022-04-23,1,0.219,0.729
2022-04-23,1,0.136,0.728
2022-04-23,1,0.501,1.164
2022-04-23,1,0.643,2.988
2022-04-23,1,0.209,2.988
2022-04-23,1,0.121,2.984
2022-04-23,1,0.118,3.14
2022-04-23,1,0.176,3.791
2022-04-23,1,0.528,4.959
2022-04-23,1,0.308,5.902
2022-04-23,1,0.217,13.433
2022-04-23,1,0.045,13.839
2022-04-23,1,0.101,14.366
2022-04-24,1,0.536,0.292
2022-04-24,1,0.263,0.29
2022-04-24,1,0.235,0.292
2022-04-24,1,0.31,0.436
2022-04-24,1,0.091,0.437
2022-04-24,1,0.139,0.582
2022-04-24,1,0.231,0.732
2022-04-24,1,0.372,0.728
2022-04-24,1,0.389,0.722
2022-04-24,1,0.201,0.728
2022-04-24,1,0.219,0.729
2022-04-24,1,0.136,0.728
2022-04-24,1,0.501,1.164
2022-04-24,1,0.643,2.988
2022-04-24,1,0.209,2.988
2022-04-24,1,0.121,2.984
2022-04-24,1,0.118,3.14
2022-04-24,1,0.176,3.791
2022-04-24,1,0.528,4.959
2022-04-24,1,0.308,5.902
2022-04-24,1,0.217,13.433
2022-04-24,1,0.045,13.839
2022-04-24,1,0.101,14.366
2022-04-25,1,0.536,0.292
2022-04-25,1,0.263,0.29
2022-04-25,1,0.235,0.292
2022-04-25,1,0.31,0.436
2022-04-25,1,0.091,0.437
2022-04-25,1,0.139,0.582
2022-04-25,1,0.231,0.732
2022-04-25,1,0.372,0.728
2022-04-25,1,0.389,0.722
2022-04-25,1,0.201,0.728
2022-04-25,1,0.219,0.729
2022-04-25,1,0.136,0.728
2022-04-25,1,0.501,1.164
2022-04-25,1,0.643,2.988
2022-04-25,1,0.209,2.988
2022-04-25,1,0.121,2.984
2022-04-25,1,0.118,3.14
2022-04-25,1,0.176,3.791
2022-04-25,1,0.528,4.959
2022-04-25,1,0.308,5.902
2022-04-25,1,0.217,13.433
2022-04-25,1,0.045,13.839
2022-04-25,1,0.101,14.366
2022-04-26,1,0.536,0.292
2022-04-26,1,0.263,0.29
2022-04-26,1,0.235,0.292
2022-04-26,1,0.31,0.436
2022-04-26,1,0.091,0.437
2022-04-26,1,0.139,0.582
2022-04-26,1,0.231,0.732
2022-04-26,1,0.372,0.728
2022-04-26,1,0.389,0.722
2022-04-26,1,0.201,0.728
2022-04-26,1,0.219,0.729
2022-04-26,1,0.136,0.728
2022-04-26,1,0.501,1.164
2022-04-26,1,0.643,2.988
2022-04-26,1,0.209,2.988
2022-04-26,1,0.121,2.984
2022-04-26,1,0.118,3.14
2022-04-26,1,0.176,3.791
2022-04-26,1,0.528,4.959
2022-04-26,1,0.308,5.902
2022-04-26,1,0.217,13.433
2022-04-26,1,0.045,13.839
2022-04-26,1,0.101,14.366
2022-04-27,1,0.42,0.292
2022-04-27,1,0.061,0.29
2022-04-27,1,0.127,0.292
2022-04-27,1,0.09,0.436
2022-04-27,1,0.003,0.437
2022-04-27,1,0.0,0.582
2022-04-27,1,0.003,0.732
2022-04-27,1,0.18,0.728
2022-04-27,1,0.343,0.722
2022-04-27,1,0.117,0.728
2022-04-27,1,0.104,0.729
2022-04-27,1,0.018,0.728
2022-04-27,1,0.344,1.164
2022-04-27,1,0.326,2.988
2022-04-27,1,0.068,2.988
2022-04-27,1,0.013,2.984
2022-04-27,1,0.033,3.14
2022-04-27,1,0.0,3.791
2022-04-27,1,0.422,4.959
2022-04-27,1,0.187,5.902
2022-04-27,1,0.114,13.433
2022-04-27,1,0.024,13.839
2022-04-27,1,0.011,14.366
2022-04-28,1,0.19,0.292
2022-04-28,1,0.112,0.29
2022-04-28,1,0.053,0.292
2022-04-28,1,0.291,0.436
2022-04-28,1,0.018,0.437
2022-04-28,1,0.11,0.582
2022-04-28,1,0.168,0.732
2022-04-28,1,0.162,0.728
2022-04-28,1,0.241,0.722
2022-04-28,1,0.027,0.728
2022-04-28,1,0.15,0.729
2022-04-28,1,0.107,0.728
2022-04-28,1,0.496,1.164
2022-04-28,1,0.622,2.988
2022-04-28,1,0.15,2.988
2022-04-28,1,0.043,2.984
2022-04-28,1,0.065,3.14
2022-04-28,1,0.112,3.791
2022-04-28,1,0.384,4.959
2022-04-28,1,0.246,5.902
2022-04-28,1,0.179,13.433
2022-04-28,1,0.059,13.839
2022-04-28,1,0.052,14.366
2022-04-29,1,0.095,0.292
2022-04-29,1,0.057,0.29
2022-04-29,1,0.092,0.292
2022-04-29,1,0.271,0.436
2022-04-29,1,0.01,0.437
2022-04-29,1,0.176,0.582
2022-04-29,1,0.284,0.732
2022-04-29,1,0.09,0.728
2022-04-29,1,0.12,0.722
2022-04-29,1,0.081,0.728
2022-04-29,1,0.253,0.729
2022-04-29,1,0.126,0.728
2022-04-29,1,0.468,1.164
2022-04-29,1,0.315,2.988
2022-04-29,1,0.143,2.988
2022-04-29,1,0.07,2.984
2022-04-29,1,0.133,3.14
2022-04-29,1,0.217,3.791
2022-04-29,1,0.205,4.959
2022-04-29,1,0.173,5.902
2022-04-29,1,0.27,13.433
2022-04-29,1,0.035,13.839
2022-04-29,1,0.121,14.366
2022-04-30,1,0.095,0.292
2022-04-30,1,0.057,0.29
2022-04-30,1,0.092,0.292
2022-04-30,1,0.271,0.436
2022-04-30,1,0.01,0.437
2022-04-30,1,0.176,0.582
2022-04-30,1,0.284,0.732
2022-04-30,1,0.09,0.728
2022-04-30,1,0.12,0.722
2022-04-30,1,0.081,0.728
2022-04-30,1,0.253,0.729
2022-04-30,1,0.126,0.728
2022-04-30,1,0.468,1.164
2022-04-30,1,0.315,2.988
2022-04-30,1,0.143,2.988
2022-04-30,1,0.07,2.984
2022-04-30,1,0.133,3.14
2022-04-30,1,0.217,3.791
2022-04-30,1,0.205,4.959
2022-04-30,1,0.173,5.902
2022-04-30,1,0.27,13.433
2022-04-30,1,0.035,13.839
2022-04-30,1,0.121,14.366
2022-05-01,1,0.095,0.292
2022-05-01,1,0.057,0.29
2022-05-01,1,0.092,0.292
2022-05-01,1,0.271,0.436
2022-05-01,1,0.01,0.437
2022-05-01,1,0.176,0.582
2022-05-01,1,0.284,0.732
2022-05-01,1,0.09,0.728
2022-05-01,1,0.12,0.722
2022-05-01,1,0.081,0.728
2022-05-01,1,0.253,0.729
2022-05-01,1,0.126,0.728
2022-05-01,1,0.468,1.164
2022-05-01,1,0.315,2.988
2022-05-01,1,0.143,2.988
2022-05-01,1,0.07,2.984
2022-05-01,1,0.133,3.14
2022-05-01,1,0.217,3.791
2022-05-01,1,0.205,4.959
2022-05-01,1,0.173,5.902
2022-05-01,1,0.27,13.433
2022-05-01,1,0.035,13.839
2022-05-01,1,0.121,14.366
2022-05-02,1,0.095,0.292
2022-05-02,1,0.057,0.29
2022-05-02,1,0.092,0.292
2022-05-02,1,0.271,0.436
2022-05-02,1,0.01,0.437
2022-05-02,1,0.176,0.582
2022-05-02,1,0.284,0.732
2022-05-02,1,0.09,0.728
2022-05-02,1,0.12,0.722
2022-05-02,1,0.081,0.728
2022-05-02,1,0.253,0.729
2022-05-02,1,0.126,0.728
2022-05-02,1,0.468,1.164
2022-05-02,1,0.315,2.988
2022-05-02,1,0.143,2.988
2022-05-02,1,0.07,2.984
2022-05-02,1,0.133,3.14
2022-05-02,1,0.217,3.791
2022-05-02,1,0.205,4.959
2022-05-02,1,0.173,5.902
2022-05-02,1,0.27,13.433
2022-05-02,1,0.035,13.839
2022-05-02,1,0.121,14.366
2022-05-03,1,0.095,0.292
