time,label,etof,hectares
2022-04-18,1,0.836,0.292
2022-04-18,1,0.577,0.29
2022-04-18,1,0.329,0.292
2022-04-18,1,0.201,0.436
2022-04-18,1,0.164,0.437
2022-04-18,1,0.095,0.582
2022-04-18,1,0.182,0.732
2022-04-18,1,0.552,0.728
2022-04-18,1,0.472,0.722
2022-04-18,1,0.357,0.728
2022-04-18,1,0.334,0.729
2022-04-18,1,0.19,0.728
2022-04-18,1,0.371,1.164
2022-04-18,1,0.716,2.988
2022-04-18,1,0.342,2.988
2022-04-18,1,0.483,2.984
2022-04-18,1,0.138,3.14
2022-04-18,1,0.115,3.791
2022-04-18,1,0.537,4.959
2022-04-18,1,0.329,5.902
2022-04-18,1,0.338,13.433
2022-04-18,1,0.146,13.839
2022-04-18,1,0.227,14.366
2022-04-19,1,0.836,0.292
2022-04-19,1,0.432,0.29
2022-04-19,1,0.333,0.292
2022-04-19,1,0.125,0.436
2022-04-19,1,0.14,0.437
2022-04-19,1,0.166,0.582
2022-04-19,1,0.243,0.732
2022-04-19,1,0.385,0.728
2022-04-19,1,0.577,0.722
2022-04-19,1,0.387,0.728
2022-04-19,1,0.377,0.729
2022-04-19,1,0.188,0.728
2022-04-19,1,0.317,1.164
2022-04-19,1,0.617,2.988
2022-04-19,1,0.304,2.988
2022-04-19,1,0.46,2.984
2022-04-19,1,0.22,3.14
2022-04-19,1,0.136,3.791
2022-04-19,1,0.564,4.959
2022-04-19,1,0.293,5.902
2022-04-19,1,0.286,13.433
2022-04-19,1,0.099,13.839
2022-04-19,1,0.175,14.366
2022-04-20,1,0.651,0.292
2022-04-20,1,0.484,0.29
2022-04-20,1,0.321,0.292
2022-04-20,1,0.09,0.436
2022-04-20,1,0.199,0.437
2022-04-20,1,0.057,0.582
2022-04-20,1,0.117,0.732
2022-04-20,1,0.469,0.728
2022-04-20,1,0.327,0.722
2022-04-20,1,0.259,0.728
2022-04-20,1,0.208,0.729
2022-04-20,1,0.215,0.728
2022-04-20,1,0.233,1.164
2022-04-20,1,0.796,2.988
2022-04-20,1,0.307,2.988
2022-04-20,1,0.135,2.984
2022-04-20,1,0.045,3.14
2022-04-20,1,0.115,3.791
2022-04-20,1,0.475,4.959
2022-04-20,1,0.202,5.902
2022-04-20,1,0.269,13.433
2022-04-20,1,0.108,13.839
2022-04-20,1,0.208,14.366
2022-04-21,1,0.538,0.292
2022-04-21,1,0.463,0.29
2022-04-21,1,0.357,0.292
2022-04-21,1,0.072,0.436
2022-04-21,1,0.16,0.437
2022-04-21,1,0.055,0.582
2022-04-21,1,0.111,0.732
2022-04-21,1,0.452,0.728
2022-04-21,1,0.36,0.722
2022-04-21,1,0.315,0.728
2022-04-21,1,0.198,0.729
2022-04-21,1,0.166,0.728
2022-04-21,1,0.264,1.164
2022-04-21,1,0.739,2.988
2022-04-21,1,0.306,2.988
2022-04-21,1,0.099,2.984
2022-04-21,1,0.062,3.14
2022-04-21,1,0.077,3.791
2022-04-21,1,0.48,4.959
2022-04-21,1,0.2,5.902
2022-04-21,1,0.266,13.433
2022-04-21,1,0.083,13.839
2022-04-21,1,0.184,14.366
2022-04-22,1,0.538,0.292
2022-04-22,1,0.463,0.29
2022-04-22,1,0.357,0.292
2022-04-22,1,0.072,0.436
2022-04-22,1,0.16,0.437
2022-04-22,1,0.055,0.582
2022-04-22,1,0.111,0.732
2022-04-22,1,0.452,0.728
2022-04-22,1,0.36,0.722
2022-04-22,1,0.315,0.728
2022-04-22,1,0.198,0.729
2022-04-22,1,0.166,0.728
2022-04-22,1,0.264,1.164
2022-04-22,1,0.739,2.988
2022-04-22,1,0.306,2.988
2022-04-22,1,0.099,2.984
2022-04-22,1,0.062,3.14
2022-04-22,1,0.077,3.791
2022-04-22,1,0.48,4.959
2022-04-22,1,0.2,5.902
2022-04-22,1,0.266,13.433
2022-04-22,1,0.083,13.839
2022-04-22,1,0.184,14.366
2022-04-23,1,0.538,0.292
2022-04-23,1,0.463,0.29
2022-04-23,1,0.357,0.292
2022-04-23,1,0.072,0.436
2022-04-23,1,0.16,0.437
2022-04-23,1,0.055,0.582
2022-04-23,1,0.111,0.732
2022-04-23,1,0.452,0.728
2022-04-23,1,0.36,0.722
2022-04-23,1,0.315,0.728
2022-04-23,1,0.198,0.729
2022-04-23,1,0.166,0.728
2022-04-23,1,0.264,1.164
2022-04-23,1,0.739,2.988
2022-04-23,1,0.306,2.988
2022-04-23,1,0.099,2.984
2022-04-23,1,0.062,3.14
2022-04-23,1,0.077,3.791
2022-04-23,1,0.48,4.959
2022-04-23,1,0.2,5.902
2022-04-23,1,0.266,13.433
2022-04-23,1,0.083,13.839
2022-04-23,1,0.184,14.366
2022-04-24,1,0.538,0.292
2022-04-24,1,0.463,0.29
2022-04-24,1,0.357,0.292
2022-04-24,1,0.072,0.436
2022-04-24,1,0.16,0.437
2022-04-24,1,0.055,0.582
2022-04-24,1,0.111,0.732
2022-04-24,1,0.452,0.728
2022-04-24,1,0.36,0.722
2022-04-24,1,0.315,0.728
2022-04-24,1,0.198,0.729
2022-04-24,1,0.166,0.728
2022-04-24,1,0.264,1.164
2022-04-24,1,0.739,2.988
2022-04-24,1,0.306,2.988
2022-04-24,1,0.099,2.984
2022-04-24,1,0.062,3.14
2022-04-24,1,0.077,3.791
2022-04-24,1,0.48,4.959
2022-04-24,1,0.2,5.902
2022-04-24,1,0.266,13.433
2022-04-24,1,0.083,13.839
2022-04-24,1,0.184,14.366
2022-04-25,1,0.538,0.292
2022-04-25,1,0.463,0.29
2022-04-25,1,0.357,0.292
2022-04-25,1,0.072,0.436
2022-04-25,1,0.16,0.437
2022-04-25,1,0.055,0.582
2022-04-25,1,0.111,0.732
2022-04-25,1,0.452,0.728
2022-04-25,1,0.36,0.722
2022-04-25,1,0.315,0.728
2022-04-25,1,0.198,0.729
2022-04-25,1,0.166,0.728
2022-04-25,1,0.264,1.164
