time,label,etof,hectares
2022-04-18,1,0.399,0.292
2022-04-18,1,0.655,0.29
2022-04-18,1,0.403,0.292
2022-04-18,1,0.429,0.436
2022-04-18,1,0.152,0.437
2022-04-18,1,0.302,0.582
2022-04-18,1,0.331,0.732
2022-04-18,1,0.694,0.728
2022-04-18,1,0.244,0.722
2022-04-18,1,0.453,0.728
2022-04-18,1,0.402,0.729
2022-04-18,1,0.163,0.728
2022-04-18,1,0.596,1.164
2022-04-18,1,0.829,2.988
2022-04-18,1,0.577,2.988
2022-04-18,1,0.337,2.984
2022-04-18,1,0.265,3.14
2022-04-18,1,0.203,3.791
2022-04-18,1,0.51,4.959
2022-04-18,1,0.49,5.902
2022-04-18,1,0.504,13.433
2022-04-18,1,0.055,13.839
2022-04-18,1,0.352,14.366
2022-04-19,1,0.399,0.292
2022-04-19,1,0.598,0.29
2022-04-19,1,0.521,0.292
2022-04-19,1,0.328,0.436
2022-04-19,1,0.303,0.437
2022-04-19,1,0.402,0.582
2022-04-19,1,0.384,0.732
2022-04-19,1,0.605,0.728
2022-04-19,1,0.247,0.722
2022-04-19,1,0.61,0.728
2022-04-19,1,0.627,0.729
2022-04-19,1,0.324,0.728
2022-04-19,1,0.538,1.164
2022-04-19,1,0.718,2.988
2022-04-19,1,0.521,2.988
2022-04-19,1,0.413,2.984
2022-04-19,1,0.368,3.14
2022-04-19,1,0.144,3.791
2022-04-19,1,0.553,4.959
2022-04-19,1,0.492,5.902
2022-04-19,1,0.462,13.433
2022-04-19,1,0.011,13.839
2022-04-19,1,0.245,14.366
2022-04-20,1,0.399,0.292
2022-04-20,1,0.224,0.29
2022-04-20,1,0.004,0.292
2022-04-20,1,0.0,0.436
2022-04-20,1,0.0,0.437
2022-04-20,1,0.0,0.582
2022-04-20,1,0.006,0.732
2022-04-20,1,0.241,0.728
2022-04-20,1,0.105,0.722
2022-04-20,1,0.022,0.728
2022-04-20,1,0.001,0.729
2022-04-20,1,0.0,0.728
2022-04-20,1,0.032,1.164
2022-04-20,1,0.491,2.988
2022-04-20,1,0.13,2.988
2022-04-20,1,0.0,2.984
2022-04-20,1,0.0,3.14
2022-04-20,1,0.006,3.791
2022-04-20,1,0.26,4.959
2022-04-20,1,0.002,5.902
2022-04-20,1,0.074,13.433
2022-04-20,1,0.0,13.839
2022-04-20,1,0.037,14.366
2022-04-21,1,0.387,0.292
2022-04-21,1,0.283,0.29
2022-04-21,1,0.149,0.292
2022-04-21,1,0.005,0.436
2022-04-21,1,0.054,0.437
2022-04-21,1,0.003,0.582
2022-04-21,1,0.039,0.732
2022-04-21,1,0.317,0.728
2022-04-21,1,0.249,0.722
2022-04-21,1,0.155,0.728
2022-04-21,1,0.096,0.729
2022-04-21,1,0.054,0.728
2022-04-21,1,0.154,1.164
2022-04-21,1,0.541,2.988
2022-04-21,1,0.229,2.988
2022-04-21,1,0.006,2.984
2022-04-21,1,0.017,3.14
2022-04-21,1,0.019,3.791
2022-04-21,1,0.367,4.959
2022-04-21,1,0.086,5.902
2022-04-21,1,0.147,13.433
2022-04-21,1,0.0,13.839
2022-04-21,1,0.084,14.366
2022-04-22,1,0.387,0.292
2022-04-22,1,0.283,0.29
2022-04-22,1,0.149,0.292
2022-04-22,1,0.005,0.436
2022-04-22,1,0.054,0.437
2022-04-22,1,0.003,0.582
2022-04-22,1,0.039,0.732
2022-04-22,1,0.317,0.728
2022-04-22,1,0.249,0.722
2022-04-22,1,0.155,0.728
2022-04-22,1,0.096,0.729
2022-04-22,1,0.054,0.728
2022-04-22,1,0.154,1.164
2022-04-22,1,0.541,2.988
2022-04-22,1,0.229,2.988
2022-04-22,1,0.006,2.984
2022-04-22,1,0.017,3.14
2022-04-22,1,0.019,3.791
2022-04-22,1,0.367,4.959
2022-04-22,1,0.086,5.902
2022-04-22,1,0.147,13.433
2022-04-22,1,0.0,13.839
2022-04-22,1,0.084,14.366
2022-04-23,1,0.387,0.292
2022-04-23,1,0.283,0.29
2022-04-23,1,0.149,0.292
2022-04-23,1,0.005,0.436
2022-04-23,1,0.054,0.437
2022-04-23,1,0.003,0.582
2022-04-23,1,0.039,0.732
2022-04-23,1,0.317,0.728
2022-04-23,1,0.249,0.722
2022-04-23,1,0.155,0.728
2022-04-23,1,0.096,0.729
2022-04-23,1,0.054,0.728
2022-04-23,1,0.154,1.164
2022-04-23,1,0.541,2.988
2022-04-23,1,0.229,2.988
2022-04-23,1,0.006,2.984
2022-04-23,1,0.017,3.14
2022-04-23,1,0.019,3.791
2022-04-23,1,0.367,4.959
2022-04-23,1,0.086,5.902
2022-04-23,1,0.147,13.433
2022-04-23,1,0.0,13.839
2022-04-23,1,0.084,14.366
2022-04-24,1,0.387,0.292
2022-04-24,1,0.283,0.29
2022-04-24,1,0.149,0.292
2022-04-24,1,0.005,0.436
2022-04-24,1,0.054,0.437
2022-04-24,1,0.003,0.582
2022-04-24,1,0.039,0.732
2022-04-24,1,0.317,0.728
2022-04-24,1,0.249,0.722
2022-04-24,1,0.155,0.728
2022-04-24,1,0.096,0.729
2022-04-24,1,0.054,0.728
2022-04-24,1,0.154,1.164
2022-04-24,1,0.541,2.988
2022-04-24,1,0.229,2.988
2022-04-24,1,0.006,2.984
2022-04-24,1,0.017,3.14
2022-04-24,1,0.019,3.791
2022-04-24,1,0.367,4.959
2022-04-24,1,0.086,5.902
2022-04-24,1,0.147,13.433
2022-04-24,1,0.0,13.839
2022-04-24,1,0.084,14.366
2022-04-25,1,0.387,0.292
2022-04-25,1,0.283,0.29
2022-04-25,1,0.149,0.292
2022-04-25,1,0.005,0.436
2022-04-25,1,0.054,0.437
2022-04-25,1,0.003,0.582
2022-04-25,1,0.039,0.732
2022-04-25,1,0.317,0.728
2022-04-25,1,0.249,0.722
2022-04-25,1,0.155,0.728
2022-04-25,1,0.096,0.729
2022-04-25,1,0.054,0.728
2022-04-25,1,0.154,1.164
2022-04-25,1,0.541,2.988
2022-04-25,1,0.229,2.988
2022-04-25,1,0.006,2.984
2022-04-25,1,0.017,3.14
2022-04-25,1,0.019,3.791
2022-04-25,1,0.367,4.959
2022-04-25,1,0.086,5.902
2022-04-25,1,0.147,13.433
2022-04-25,1,0.0,13.839
2022-04-25,1,0.084,14.366
2022-04-26,1,0.387,0.292
2022-04-26,1,0.283,0.29
2022-04-26,1,0.149,0.292
2022-04-26,1,0.005,0.436
2022-04-26,1,0.054,0.437
2022-04-26,1,0.003,0.582
2022-04-26,1,0.039,0.732
2022-04-26,1,0.317,0.728
2022-04-26,1,0.249,0.722
2022-04-26,1,0.155,0.728
2022-04-26,1,0.096,0.729
2022-04-26,1,0.054,0.728
2022-04-26,1,0.154,1.164
2022-04-26,1,0.541,2.988
2022-04-26,1,0.229,2.988
2022-04-26,1,0.006,2.984
2022-04-26,1,0.017,3.14
2022-04-26,1,0.019,3.791
2022-04-26,1,0.367,4.959
2022-04-26,1,0.086,5.902
2022-04-26,1,0.147,13.433
2022-04-26,1,0.0,13.839
2022-04-26,1,0.084,14.366
2022-04-27,1,0.382,0.292
2022-04-27,1,0.343,0.29
2022-04-27,1,0.293,0.292
2022-04-27,1,0.01,0.436
2022-04-27,1,0.108,0.437
2022-04-27,1,0.006,0.582
2022-04-27,1,0.073,0.732
2022-04-27,1,0.392,0.728
2022-04-27,1,0.392,0.722
2022-04-27,1,0.288,0.728
2022-04-27,1,0.191,0.729
2022-04-27,1,0.108,0.728
2022-04-27,1,0.277,1.164
2022-04-27,1,0.59,2.988
