time,label,etof,hectares
2022-04-18,1,0.143,0.292
2022-04-18,1,0.389,0.29
2022-04-18,1,0.255,0.292
2022-04-18,1,0.307,0.436
2022-04-18,1,0.251,0.437
2022-04-18,1,0.26,0.582
2022-04-18,1,0.255,0.732
2022-04-18,1,0.402,0.728
2022-04-18,1,0.243,0.722
2022-04-18,1,0.275,0.728
2022-04-18,1,0.261,0.729
2022-04-18,1,0.255,0.728
2022-04-18,1,0.404,1.164
2022-04-18,1,0.523,2.988
2022-04-18,1,0.317,2.988
2022-04-18,1,0.224,2.984
2022-04-18,1,0.267,3.14
2022-04-18,1,0.275,3.791
2022-04-18,1,0.338,4.959
2022-04-18,1,0.33,5.902
2022-04-18,1,0.329,13.433
2022-04-18,1,0.194,13.839
2022-04-18,1,0.311,14.366
2022-04-19,1,0.143,0.292
2022-04-19,1,0.241,0.29
2022-04-19,1,0.189,0.292
2022-04-19,1,0.17,0.436
2022-04-19,1,0.197,0.437
2022-04-19,1,0.149,0.582
2022-04-19,1,0.147,0.732
2022-04-19,1,0.255,0.728
2022-04-19,1,0.243,0.722
2022-04-19,1,0.216,0.728
2022-04-19,1,0.202,0.729
2022-04-19,1,0.205,0.728
2022-04-19,1,0.277,1.164
2022-04-19,1,0.385,2.988
2022-04-19,1,0.188,2.988
2022-04-19,1,0.238,2.984
2022-04-19,1,0.158,3.14
2022-04-19,1,0.163,3.791
2022-04-19,1,0.299,4.959
2022-04-19,1,0.211,5.902
2022-04-19,1,0.209,13.433
2022-04-19,1,0.138,13.839
2022-04-19,1,0.202,14.366
2022-04-20,1,0.143,0.292
2022-04-20,1,0.229,0.29
2022-04-20,1,0.164,0.292
2022-04-20,1,0.139,0.436
2022-04-20,1,0.17,0.437
2022-04-20,1,0.115,0.582
2022-04-20,1,0.112,0.732
2022-04-20,1,0.244,0.728
2022-04-20,1,0.165,0.722
2022-04-20,1,0.176,0.728
2022-04-20,1,0.155,0.729
2022-04-20,1,0.174,0.728
2022-04-20,1,0.246,1.164
2022-04-20,1,0.369,2.988
2022-04-20,1,0.158,2.988
2022-04-20,1,0.157,2.984
2022-04-20,1,0.123,3.14
2022-04-20,1,0.125,3.791
2022-04-20,1,0.262,4.959
2022-04-20,1,0.173,5.902
2022-04-20,1,0.172,13.433
2022-04-20,1,0.107,13.839
2022-04-20,1,0.161,14.366
2022-04-21,1,0.263,0.292
2022-04-21,1,0.331,0.29
2022-04-21,1,0.285,0.292
2022-04-21,1,0.237,0.436
2022-04-21,1,0.274,0.437
2022-04-21,1,0.204,0.582
2022-04-21,1,0.202,0.732
2022-04-21,1,0.348,0.728
2022-04-21,1,0.288,0.722
2022-04-21,1,0.295,0.728
2022-04-21,1,0.271,0.729
2022-04-21,1,0.278,0.728
2022-04-21,1,0.354,1.164
2022-04-21,1,0.484,2.988
2022-04-21,1,0.253,2.988
2022-04-21,1,0.25,2.984
2022-04-21,1,0.215,3.14
2022-04-21,1,0.213,3.791
2022-04-21,1,0.378,4.959
2022-04-21,1,0.275,5.902
2022-04-21,1,0.272,13.433
2022-04-21,1,0.203,13.839
2022-04-21,1,0.257,14.366
2022-04-22,1,0.263,0.292
2022-04-22,1,0.331,0.29
2022-04-22,1,0.285,0.292
2022-04-22,1,0.237,0.436
2022-04-22,1,0.274,0.437
2022-04-22,1,0.204,0.582
2022-04-22,1,0.202,0.732
2022-04-22,1,0.348,0.728
2022-04-22,1,0.288,0.722
2022-04-22,1,0.295,0.728
2022-04-22,1,0.271,0.729
2022-04-22,1,0.278,0.728
2022-04-22,1,0.354,1.164
2022-04-22,1,0.484,2.988
2022-04-22,1,0.253,2.988
2022-04-22,1,0.25,2.984
2022-04-22,1,0.215,3.14
2022-04-22,1,0.213,3.791
2022-04-22,1,0.378,4.959
2022-04-22,1,0.275,5.902
2022-04-22,1,0.272,13.433
2022-04-22,1,0.203,13.839
2022-04-22,1,0.257,14.366
2022-04-23,1,0.263,0.292
2022-04-23,1,0.331,0.29
2022-04-23,1,0.285,0.292
2022-04-23,1,0.237,0.436
2022-04-23,1,0.274,0.437
2022-04-23,1,0.204,0.582
2022-04-23,1,0.202,0.732
2022-04-23,1,0.348,0.728
2022-04-23,1,0.288,0.722
2022-04-23,1,0.295,0.728
2022-04-23,1,0.271,0.729
2022-04-23,1,0.278,0.728
2022-04-23,1,0.354,1.164
2022-04-23,1,0.484,2.988
2022-04-23,1,0.253,2.988
2022-04-23,1,0.25,2.984
2022-04-23,1,0.215,3.14
2022-04-23,1,0.213,3.791
2022-04-23,1,0.378,4.959
2022-04-23,1,0.275,5.902
2022-04-23,1,0.272,13.433
2022-04-23,1,0.203,13.839
2022-04-23,1,0.257,14.366
2022-04-24,1,0.263,0.292
2022-04-24,1,0.331,0.29
2022-04-24,1,0.285,0.292
2022-04-24,1,0.237,0.436
2022-04-24,1,0.274,0.437
2022-04-24,1,0.204,0.582
2022-04-24,1,0.202,0.732
2022-04-24,1,0.348,0.728
2022-04-24,1,0.288,0.722
2022-04-24,1,0.295,0.728
2022-04-24,1,0.271,0.729
2022-04-24,1,0.278,0.728
2022-04-24,1,0.354,1.164
2022-04-24,1,0.484,2.988
2022-04-24,1,0.253,2.988
2022-04-24,1,0.25,2.984
2022-04-24,1,0.215,3.14
2022-04-24,1,0.213,3.791
2022-04-24,1,0.378,4.959
2022-04-24,1,0.275,5.902
2022-04-24,1,0.272,13.433
2022-04-24,1,0.203,13.839
2022-04-24,1,0.257,14.366
2022-04-25,1,0.263,0.292
2022-04-25,1,0.331,0.29
2022-04-25,1,0.285,0.292
2022-04-25,1,0.237,0.436
2022-04-25,1,0.274,0.437
2022-04-25,1,0.204,0.582
2022-04-25,1,0.202,0.732
2022-04-25,1,0.348,0.728
2022-04-25,1,0.288,0.722
2022-04-25,1,0.295,0.728
2022-04-25,1,0.271,0.729
2022-04-25,1,0.278,0.728
2022-04-25,1,0.354,1.164
2022-04-25,1,0.484,2.988
2022-04-25,1,0.253,2.988
2022-04-25,1,0.25,2.984
2022-04-25,1,0.215,3.14
2022-04-25,1,0.213,3.791
2022-04-25,1,0.378,4.959
2022-04-25,1,0.275,5.902
2022-04-25,1,0.272,13.433
2022-04-25,1,0.203,13.839
2022-04-25,1,0.257,14.366
2022-04-26,1,0.263,0.292
2022-04-26,1,0.331,0.29
2022-04-26,1,0.285,0.292
2022-04-26,1,0.237,0.436
2022-04-26,1,0.274,0.437
2022-04-26,1,0.204,0.582
2022-04-26,1,0.202,0.732
2022-04-26,1,0.348,0.728
2022-04-26,1,0.288,0.722
2022-04-26,1,0.295,0.728
2022-04-26,1,0.271,0.729
2022-04-26,1,0.278,0.728
2022-04-26,1,0.354,1.164
2022-04-26,1,0.484,2.988
2022-04-26,1,0.253,2.988
2022-04-26,1,0.25,2.984
2022-04-26,1,0.215,3.14
2022-04-26,1,0.213,3.791
