time,label,etof,hectares
2022-04-18,1,0.678,0.292
2022-04-18,1,0.517,0.29
2022-04-18,1,0.37,0.292
2022-04-18,1,0.179,0.436
2022-04-18,1,0.096,0.437
2022-04-18,1,0.092,0.582
2022-04-18,1,0.103,0.732
2022-04-18,1,0.496,0.728
2022-04-18,1,0.304,0.722
2022-04-18,1,0.344,0.728
2022-04-18,1,0.299,0.729
2022-04-18,1,0.099,0.728
2022-04-18,1,0.339,1.164
2022-04-18,1,0.764,2.988
2022-04-18,1,0.332,2.988
2022-04-18,1,0.417,2.984
2022-04-18,1,0.063,3.14
2022-04-18,1,0.023,3.791
2022-04-18,1,0.493,4.959
2022-04-18,1,0.279,5.902
2022-04-18,1,0.264,13.433
2022-04-18,1,0.081,13.839
2022-04-18,1,0.122,14.366
2022-04-19,1,0.678,0.292
2022-04-19,1,0.379,0.29
2022-04-19,1,0.378,0.292
2022-04-19,1,0.011,0.436
2022-04-19,1,0.099,0.437
2022-04-19,1,0.158,0.582
2022-04-19,1,0.134,0.732
2022-04-19,1,0.364,0.728
2022-04-19,1,0.307,0.722
2022-04-19,1,0.389,0.728
2022-04-19,1,0.404,0.729
2022-04-19,1,0.112,0.728
2022-04-19,1,0.258,1.164
2022-04-19,1,0.77,2.988
2022-04-19,1,0.334,2.988
2022-04-19,1,0.363,2.984
2022-04-19,1,0.123,3.14
2022-04-19,1,0.013,3.791
2022-04-19,1,0.538,4.959
2022-04-19,1,0.191,5.902
2022-04-19,1,0.235,13.433
2022-04-19,1,0.022,13.839
2022-04-19,1,0.053,14.366
2022-04-20,1,0.678,0.292
2022-04-20,1,0.481,0.29
2022-04-20,1,0.358,0.292
2022-04-20,1,0.023,0.436
2022-04-20,1,0.206,0.437
2022-04-20,1,0.02,0.582
2022-04-20,1,0.137,0.732
2022-04-20,1,0.487,0.728
2022-04-20,1,0.302,0.722
2022-04-20,1,0.254,0.728
2022-04-20,1,0.179,0.729
2022-04-20,1,0.199,0.728
2022-04-20,1,0.213,1.164
2022-04-20,1,0.849,2.988
2022-04-20,1,0.371,2.988
2022-04-20,1,0.09,2.984
2022-04-20,1,0.005,3.14
2022-04-20,1,0.059,3.791
2022-04-20,1,0.465,4.959
2022-04-20,1,0.113,5.902
2022-04-20,1,0.283,13.433
2022-04-20,1,0.159,13.839
2022-04-20,1,0.218,14.366
2022-04-21,1,0.559,0.292
