time,label,etof,hectares
2021-05-17,1,0.853,0.301
2021-05-17,1,0.725,0.299
2021-05-17,1,0.131,0.299
2021-05-17,1,0.196,0.301
2021-05-17,1,0.215,0.301
2021-05-17,1,0.179,0.453
2021-05-17,1,0.633,0.597
2021-05-17,1,0.385,0.602
2021-05-17,1,0.262,0.602
2021-05-17,1,0.386,0.681
2021-05-17,1,0.301,0.752
2021-05-17,1,0.657,0.751
2021-05-17,1,0.559,0.754
2021-05-17,1,0.603,0.906
2021-05-17,1,0.541,1.055
2021-05-17,1,0.479,1.131
2021-05-17,1,0.479,1.135
2021-05-17,1,0.163,1.202
2021-05-17,1,0.685,1.28
2021-05-17,1,0.52,1.502
2021-05-17,1,0.598,1.653
2021-05-17,1,0.492,1.654
2021-05-17,1,0.749,1.804
2021-05-17,1,0.418,2.401
2021-05-17,1,0.07,3.081
2021-05-17,1,0.341,3.528
2021-05-17,1,0.66,4.051
2021-05-17,1,0.271,4.355
2021-05-17,1,0.652,4.426
2021-05-17,1,0.788,4.582
2021-05-17,1,0.439,5.182
2021-05-17,1,0.262,5.786
2021-05-17,1,0.31,6.391
2021-05-17,1,0.609,7.52
2021-05-17,1,0.268,8.497
2021-05-17,1,0.398,9.168
2021-05-17,1,0.535,9.16
2021-05-17,1,0.644,10.142
2021-05-17,1,0.503,14.277
2021-05-17,1,0.264,15.101
2021-05-17,1,0.317,15.77
2021-05-17,1,0.523,21.276
2021-05-17,1,0.253,22.027
2021-05-17,1,0.855,23.902
2021-05-17,1,0.655,24.428
2021-05-17,1,0.258,27.553
2021-05-17,1,0.609,39.241
2021-05-17,1,0.556,58.17
2021-05-18,1,0.853,0.301
2021-05-18,1,0.725,0.299
2021-05-18,1,0.131,0.299
2021-05-18,1,0.196,0.301
2021-05-18,1,0.215,0.301
2021-05-18,1,0.179,0.453
2021-05-18,1,0.633,0.597
2021-05-18,1,0.385,0.602
2021-05-18,1,0.262,0.602
2021-05-18,1,0.386,0.681
2021-05-18,1,0.452,0.752
2021-05-18,1,0.657,0.751
2021-05-18,1,0.559,0.754
2021-05-18,1,0.603,0.906
2021-05-18,1,0.541,1.055
2021-05-18,1,0.422,1.131
2021-05-18,1,0.479,1.135
2021-05-18,1,0.163,1.202
2021-05-18,1,0.685,1.28
2021-05-18,1,0.52,1.502
2021-05-18,1,0.598,1.653
2021-05-18,1,0.492,1.654
2021-05-18,1,0.749,1.804
2021-05-18,1,0.418,2.401
2021-05-18,1,0.102,3.081
2021-05-18,1,0.341,3.528
2021-05-18,1,0.652,4.051
2021-05-18,1,0.271,4.355
2021-05-18,1,0.652,4.426
2021-05-18,1,0.76,4.582
2021-05-18,1,0.473,5.182
2021-05-18,1,0.262,5.786
2021-05-18,1,0.31,6.391
2021-05-18,1,0.609,7.52
2021-05-18,1,0.268,8.497
2021-05-18,1,0.398,9.168
2021-05-18,1,0.535,9.16
2021-05-18,1,0.644,10.142
2021-05-18,1,0.561,14.277
2021-05-18,1,0.282,15.101
2021-05-18,1,0.317,15.77
2021-05-18,1,0.523,21.276
2021-05-18,1,0.253,22.027
2021-05-18,1,0.857,23.902
2021-05-18,1,0.672,24.428
2021-05-18,1,0.284,27.553
2021-05-18,1,0.609,39.241
2021-05-18,1,0.573,58.17
2021-05-19,1,0.853,0.301
2021-05-19,1,0.725,0.299
2021-05-19,1,0.131,0.299
2021-05-19,1,0.196,0.301
2021-05-19,1,0.215,0.301
2021-05-19,1,0.179,0.453
2021-05-19,1,0.633,0.597
2021-05-19,1,0.385,0.602
2021-05-19,1,0.262,0.602
2021-05-19,1,0.386,0.681
2021-05-19,1,0.389,0.752
2021-05-19,1,0.657,0.751
2021-05-19,1,0.559,0.754
2021-05-19,1,0.603,0.906
2021-05-19,1,0.541,1.055
2021-05-19,1,0.506,1.131
2021-05-19,1,0.479,1.135
2021-05-19,1,0.163,1.202
2021-05-19,1,0.685,1.28
2021-05-19,1,0.52,1.502
2021-05-19,1,0.598,1.653
2021-05-19,1,0.492,1.654
2021-05-19,1,0.749,1.804
2021-05-19,1,0.418,2.401
2021-05-19,1,0.102,3.081
2021-05-19,1,0.341,3.528
2021-05-19,1,0.645,4.051
2021-05-19,1,0.271,4.355
2021-05-19,1,0.652,4.426
2021-05-19,1,0.76,4.582
2021-05-19,1,0.473,5.182
2021-05-19,1,0.262,5.786
2021-05-19,1,0.31,6.391
2021-05-19,1,0.609,7.52
2021-05-19,1,0.268,8.497
