time,label,etof,hectares
2021-05-17,1,1.071,0.301
2021-05-17,1,0.754,0.299
2021-05-17,1,0.286,0.299
2021-05-17,1,0.332,0.301
2021-05-17,1,0.281,0.301
2021-05-17,1,0.376,0.453
2021-05-17,1,0.791,0.597
2021-05-17,1,0.76,0.602
2021-05-17,1,0.357,0.602
2021-05-17,1,0.514,0.681
2021-05-17,1,0.569,0.752
2021-05-17,1,0.851,0.751
2021-05-17,1,0.594,0.754
2021-05-17,1,0.449,0.906
2021-05-17,1,0.633,1.055
2021-05-17,1,0.417,1.131
2021-05-17,1,0.57,1.135
2021-05-17,1,0.361,1.202
2021-05-17,1,0.803,1.28
2021-05-17,1,0.83,1.502
2021-05-17,1,0.375,1.653
2021-05-17,1,0.426,1.654
2021-05-17,1,0.859,1.804
2021-05-17,1,0.67,2.401
2021-05-17,1,0.548,3.081
2021-05-17,1,0.385,3.528
2021-05-17,1,0.782,4.051
2021-05-17,1,0.396,4.355
2021-05-17,1,0.606,4.426
2021-05-17,1,0.8,4.582
2021-05-17,1,0.54,5.182
2021-05-17,1,0.337,5.786
2021-05-17,1,0.528,6.391
2021-05-17,1,0.748,7.52
2021-05-17,1,0.337,8.497
2021-05-17,1,0.494,9.168
2021-05-17,1,0.7,9.16
2021-05-17,1,0.86,10.142
2021-05-17,1,0.811,14.277
2021-05-17,1,0.63,15.101
2021-05-17,1,0.305,15.77
2021-05-17,1,0.556,21.276
2021-05-17,1,0.439,22.027
2021-05-17,1,0.739,23.902
2021-05-17,1,0.657,24.428
2021-05-17,1,0.557,27.553
2021-05-17,1,0.797,39.241
2021-05-17,1,0.647,58.17
2021-05-18,1,1.071,0.301
2021-05-18,1,0.754,0.299
2021-05-18,1,0.286,0.299
2021-05-18,1,0.332,0.301
2021-05-18,1,0.281,0.301
2021-05-18,1,0.376,0.453
2021-05-18,1,0.791,0.597
2021-05-18,1,0.76,0.602
2021-05-18,1,0.357,0.602
2021-05-18,1,0.514,0.681
2021-05-18,1,0.619,0.752
2021-05-18,1,0.851,0.751
2021-05-18,1,0.594,0.754
2021-05-18,1,0.449,0.906
2021-05-18,1,0.633,1.055
2021-05-18,1,0.417,1.131
2021-05-18,1,0.57,1.135
2021-05-18,1,0.361,1.202
2021-05-18,1,0.803,1.28
2021-05-18,1,0.83,1.502
2021-05-18,1,0.375,1.653
2021-05-18,1,0.426,1.654
2021-05-18,1,0.859,1.804
2021-05-18,1,0.67,2.401
2021-05-18,1,0.611,3.081
2021-05-18,1,0.385,3.528
2021-05-18,1,0.814,4.051
2021-05-18,1,0.396,4.355
2021-05-18,1,0.606,4.426
2021-05-18,1,0.86,4.582
2021-05-18,1,0.643,5.182
2021-05-18,1,0.337,5.786
2021-05-18,1,0.528,6.391
2021-05-18,1,0.751,7.52
2021-05-18,1,0.337,8.497
2021-05-18,1,0.494,9.168
2021-05-18,1,0.7,9.16
2021-05-18,1,0.86,10.142
2021-05-18,1,0.878,14.277
2021-05-18,1,0.682,15.101
2021-05-18,1,0.305,15.77
2021-05-18,1,0.556,21.276
2021-05-18,1,0.439,22.027
2021-05-18,1,0.86,23.902
2021-05-18,1,0.669,24.428
2021-05-18,1,0.611,27.553
2021-05-18,1,0.797,39.241
2021-05-18,1,0.65,58.17
2021-05-19,1,1.071,0.301
2021-05-19,1,0.754,0.299
2021-05-19,1,0.286,0.299
2021-05-19,1,0.332,0.301
2021-05-19,1,0.281,0.301
2021-05-19,1,0.376,0.453
2021-05-19,1,0.791,0.597
2021-05-19,1,0.76,0.602
2021-05-19,1,0.357,0.602
2021-05-19,1,0.514,0.681
2021-05-19,1,0.619,0.752
2021-05-19,1,0.851,0.751
2021-05-19,1,0.594,0.754
2021-05-19,1,0.449,0.906
2021-05-19,1,0.633,1.055
2021-05-19,1,0.417,1.131
2021-05-19,1,0.57,1.135
2021-05-19,1,0.361,1.202
2021-05-19,1,0.803,1.28
2021-05-19,1,0.83,1.502
2021-05-19,1,0.375,1.653
2021-05-19,1,0.426,1.654
2021-05-19,1,0.859,1.804
2021-05-19,1,0.67,2.401
2021-05-19,1,0.611,3.081
2021-05-19,1,0.385,3.528
2021-05-19,1,0.814,4.051
2021-05-19,1,0.396,4.355
2021-05-19,1,0.606,4.426
2021-05-19,1,0.86,4.582
2021-05-19,1,0.643,5.182
2021-05-19,1,0.337,5.786
2021-05-19,1,0.528,6.391
2021-05-19,1,0.751,7.52
2021-05-19,1,0.337,8.497
2021-05-19,1,0.494,9.168
2021-05-19,1,0.7,9.16
2021-05-19,1,0.86,10.142
2021-05-19,1,0.878,14.277
2021-05-19,1,0.682,15.101
2021-05-19,1,0.305,15.77
2021-05-19,1,0.556,21.276
2021-05-19,1,0.439,22.027
2021-05-19,1,0.857,23.902
2021-05-19,1,0.669,24.428
2021-05-19,1,0.612,27.553
2021-05-19,1,0.797,39.241
2021-05-19,1,0.65,58.17
2021-05-20,1,1.071,0.301
2021-05-20,1,0.754,0.299
2021-05-20,1,0.286,0.299
2021-05-20,1,0.332,0.301
2021-05-20,1,0.281,0.301
2021-05-20,1,0.376,0.453
2021-05-20,1,0.791,0.597
2021-05-20,1,0.76,0.602
2021-05-20,1,0.357,0.602
2021-05-20,1,0.514,0.681
2021-05-20,1,0.619,0.752
2021-05-20,1,0.851,0.751
2021-05-20,1,0.594,0.754
