time,label,etof,hectares
2021-05-17,1,0.854,0.301
2021-05-17,1,0.741,0.299
2021-05-17,1,0.228,0.299
2021-05-17,1,0.251,0.301
2021-05-17,1,0.241,0.301
2021-05-17,1,0.286,0.453
2021-05-17,1,0.601,0.597
2021-05-17,1,0.42,0.602
2021-05-17,1,0.268,0.602
2021-05-17,1,0.481,0.681
2021-05-17,1,0.41,0.752
2021-05-17,1,0.735,0.751
2021-05-17,1,0.559,0.754
2021-05-17,1,0.625,0.906
2021-05-17,1,0.63,1.055
2021-05-17,1,0.483,1.131
2021-05-17,1,0.557,1.135
2021-05-17,1,0.249,1.202
2021-05-17,1,0.682,1.28
2021-05-17,1,0.557,1.502
2021-05-17,1,0.554,1.653
2021-05-17,1,0.458,1.654
2021-05-17,1,0.762,1.804
2021-05-17,1,0.438,2.401
2021-05-17,1,0.343,3.081
2021-05-17,1,0.338,3.528
2021-05-17,1,0.706,4.051
2021-05-17,1,0.37,4.355
2021-05-17,1,0.703,4.426
2021-05-17,1,0.731,4.582
2021-05-17,1,0.496,5.182
2021-05-17,1,0.271,5.786
2021-05-17,1,0.396,6.391
2021-05-17,1,0.652,7.52
2021-05-17,1,0.364,8.497
2021-05-17,1,0.505,9.168
2021-05-17,1,0.566,9.16
2021-05-17,1,0.645,10.142
2021-05-17,1,0.6,14.277
2021-05-17,1,0.415,15.101
2021-05-17,1,0.296,15.77
2021-05-17,1,0.569,21.276
2021-05-17,1,0.362,22.027
2021-05-17,1,0.757,23.902
2021-05-17,1,0.639,24.428
2021-05-17,1,0.423,27.553
2021-05-17,1,0.605,39.241
2021-05-17,1,0.574,58.17
2021-05-18,1,0.854,0.301
2021-05-18,1,0.741,0.299
2021-05-18,1,0.228,0.299
2021-05-18,1,0.251,0.301
2021-05-18,1,0.241,0.301
2021-05-18,1,0.286,0.453
2021-05-18,1,0.601,0.597
2021-05-18,1,0.42,0.602
2021-05-18,1,0.268,0.602
2021-05-18,1,0.481,0.681
2021-05-18,1,0.521,0.752
2021-05-18,1,0.735,0.751
2021-05-18,1,0.559,0.754
2021-05-18,1,0.625,0.906
2021-05-18,1,0.63,1.055
2021-05-18,1,0.534,1.131
2021-05-18,1,0.557,1.135
2021-05-18,1,0.249,1.202
2021-05-18,1,0.682,1.28
2021-05-18,1,0.557,1.502
2021-05-18,1,0.554,1.653
2021-05-18,1,0.458,1.654
2021-05-18,1,0.762,1.804
2021-05-18,1,0.438,2.401
2021-05-18,1,0.346,3.081
2021-05-18,1,0.338,3.528
2021-05-18,1,0.724,4.051
2021-05-18,1,0.37,4.355
2021-05-18,1,0.703,4.426
2021-05-18,1,0.74,4.582
2021-05-18,1,0.55,5.182
2021-05-18,1,0.271,5.786
2021-05-18,1,0.396,6.391
2021-05-18,1,0.653,7.52
2021-05-18,1,0.364,8.497
2021-05-18,1,0.505,9.168
2021-05-18,1,0.566,9.16
2021-05-18,1,0.645,10.142
2021-05-18,1,0.618,14.277
2021-05-18,1,0.434,15.101
2021-05-18,1,0.296,15.77
2021-05-18,1,0.569,21.276
2021-05-18,1,0.362,22.027
2021-05-18,1,0.814,23.902
2021-05-18,1,0.682,24.428
2021-05-18,1,0.441,27.553
