time,label,etof,hectares
2021-05-17,1,0.456,0.301
2021-05-17,1,0.427,0.299
2021-05-17,1,0.14,0.299
2021-05-17,1,0.235,0.301
2021-05-17,1,0.341,0.301
2021-05-17,1,0.243,0.453
2021-05-17,1,0.378,0.597
2021-05-17,1,0.337,0.602
2021-05-17,1,0.211,0.602
2021-05-17,1,0.345,0.681
2021-05-17,1,0.405,0.752
2021-05-17,1,0.47,0.751
2021-05-17,1,0.257,0.754
2021-05-17,1,0.491,0.906
2021-05-17,1,0.507,1.055
2021-05-17,1,0.45,1.131
2021-05-17,1,0.403,1.135
2021-05-17,1,0.198,1.202
2021-05-17,1,0.456,1.28
2021-05-17,1,0.362,1.502
2021-05-17,1,0.31,1.653
2021-05-17,1,0.29,1.654
2021-05-17,1,0.386,1.804
2021-05-17,1,0.312,2.401
2021-05-17,1,0.314,3.081
2021-05-17,1,0.16,3.528
2021-05-17,1,0.512,4.051
2021-05-17,1,0.364,4.355
2021-05-17,1,0.426,4.426
2021-05-17,1,0.609,4.582
2021-05-17,1,0.436,5.182
2021-05-17,1,0.204,5.786
2021-05-17,1,0.316,6.391
2021-05-17,1,0.473,7.52
2021-05-17,1,0.331,8.497
2021-05-17,1,0.37,9.168
2021-05-17,1,0.43,9.16
2021-05-17,1,0.448,10.142
2021-05-17,1,0.521,14.277
2021-05-17,1,0.372,15.101
2021-05-17,1,0.175,15.77
2021-05-17,1,0.377,21.276
2021-05-17,1,0.346,22.027
2021-05-17,1,0.614,23.902
2021-05-17,1,0.455,24.428
2021-05-17,1,0.374,27.553
2021-05-17,1,0.447,39.241
2021-05-17,1,0.437,58.17
2021-05-18,1,0.456,0.301
2021-05-18,1,0.427,0.299
2021-05-18,1,0.14,0.299
2021-05-18,1,0.235,0.301
2021-05-18,1,0.341,0.301
2021-05-18,1,0.243,0.453
2021-05-18,1,0.378,0.597
2021-05-18,1,0.337,0.602
2021-05-18,1,0.211,0.602
2021-05-18,1,0.345,0.681
2021-05-18,1,0.456,0.752
2021-05-18,1,0.47,0.751
2021-05-18,1,0.257,0.754
2021-05-18,1,0.491,0.906
2021-05-18,1,0.507,1.055
2021-05-18,1,0.52,1.131
2021-05-18,1,0.403,1.135
2021-05-18,1,0.198,1.202
2021-05-18,1,0.456,1.28
