time,label,etof,hectares
2021-06-07,1,0.134,0.664
2021-06-07,1,0.491,0.66
2021-06-07,1,0.168,0.737
2021-06-07,1,0.676,1.472
2021-06-07,1,0.113,1.548
2021-06-07,1,0.266,1.767
2021-06-07,1,0.383,2.796
2021-06-07,1,0.457,3.531
2021-06-07,1,0.542,5.664
2021-06-07,1,0.347,6.109
2021-06-07,1,0.664,14.412
2021-06-07,1,0.473,16.334
2021-06-07,1,0.647,16.91
2021-06-07,1,0.642,29.284
2021-06-07,1,0.478,34.666
2021-06-07,1,0.57,38.171
2021-06-07,1,0.763,73.544
2021-06-08,1,0.146,0.664
2021-06-08,1,0.547,0.66
2021-06-08,1,0.218,0.737
2021-06-08,1,0.724,1.472
2021-06-08,1,0.103,1.548
2021-06-08,1,0.287,1.767
2021-06-08,1,0.459,2.796
2021-06-08,1,0.488,3.531
2021-06-08,1,0.592,5.664
2021-06-08,1,0.383,6.109
2021-06-08,1,0.695,14.412
2021-06-08,1,0.51,16.334
2021-06-08,1,0.694,16.91
2021-06-08,1,0.685,29.284
2021-06-08,1,0.506,34.666
2021-06-08,1,0.602,38.171
2021-06-08,1,0.82,73.544
2021-06-09,1,0.084,0.664
2021-06-09,1,0.515,0.66
2021-06-09,1,0.184,0.737
2021-06-09,1,0.698,1.472
2021-06-09,1,0.085,1.548
2021-06-09,1,0.269,1.767
2021-06-09,1,0.357,2.796
2021-06-09,1,0.481,3.531
2021-06-09,1,0.51,5.664
2021-06-09,1,0.282,6.109
2021-06-09,1,0.617,14.412
2021-06-09,1,0.4,16.334
2021-06-09,1,0.634,16.91
2021-06-09,1,0.617,29.284
2021-06-09,1,0.451,34.666
2021-06-09,1,0.55,38.171
2021-06-09,1,0.764,73.544
2021-06-10,1,0.084,0.664
2021-06-10,1,0.515,0.66
2021-06-10,1,0.184,0.737
2021-06-10,1,0.698,1.472
2021-06-10,1,0.085,1.548
2021-06-10,1,0.269,1.767
2021-06-10,1,0.357,2.796
2021-06-10,1,0.481,3.531
2021-06-10,1,0.51,5.664
2021-06-10,1,0.282,6.109
2021-06-10,1,0.617,14.412
2021-06-10,1,0.4,16.334
2021-06-10,1,0.634,16.91
2021-06-10,1,0.617,29.284
2021-06-10,1,0.451,34.666
2021-06-10,1,0.55,38.171
2021-06-10,1,0.764,73.544
2021-06-11,1,0.084,0.664
2021-06-11,1,0.515,0.66
2021-06-11,1,0.184,0.737
2021-06-11,1,0.698,1.472
2021-06-11,1,0.085,1.548
2021-06-11,1,0.269,1.767
2021-06-11,1,0.357,2.796
2021-06-11,1,0.481,3.531
2021-06-11,1,0.51,5.664
2021-06-11,1,0.282,6.109
2021-06-11,1,0.617,14.412
2021-06-11,1,0.4,16.334
2021-06-11,1,0.634,16.91
2021-06-11,1,0.617,29.284
2021-06-11,1,0.451,34.666
2021-06-11,1,0.55,38.171
2021-06-11,1,0.764,73.544
2021-06-12,1,0.084,0.664
2021-06-12,1,0.515,0.66
2021-06-12,1,0.184,0.737
2021-06-12,1,0.698,1.472
2021-06-12,1,0.085,1.548
2021-06-12,1,0.269,1.767
2021-06-12,1,0.357,2.796
2021-06-12,1,0.481,3.531
2021-06-12,1,0.51,5.664
2021-06-12,1,0.282,6.109
2021-06-12,1,0.617,14.412
2021-06-12,1,0.4,16.334
2021-06-12,1,0.634,16.91
2021-06-12,1,0.617,29.284
2021-06-12,1,0.451,34.666
2021-06-12,1,0.55,38.171
2021-06-12,1,0.764,73.544
2021-06-13,1,0.084,0.664
2021-06-13,1,0.515,0.66
2021-06-13,1,0.184,0.737
2021-06-13,1,0.698,1.472
2021-06-13,1,0.085,1.548
2021-06-13,1,0.269,1.767
2021-06-13,1,0.357,2.796
2021-06-13,1,0.481,3.531
2021-06-13,1,0.51,5.664
2021-06-13,1,0.282,6.109
2021-06-13,1,0.617,14.412
2021-06-13,1,0.4,16.334
2021-06-13,1,0.634,16.91
2021-06-13,1,0.617,29.284
2021-06-13,1,0.451,34.666
2021-06-13,1,0.55,38.171
2021-06-13,1,0.764,73.544
2021-06-14,1,0.084,0.664
2021-06-14,1,0.515,0.66
2021-06-14,1,0.184,0.737
2021-06-14,1,0.698,1.472
2021-06-14,1,0.085,1.548
2021-06-14,1,0.269,1.767
2021-06-14,1,0.357,2.796
2021-06-14,1,0.481,3.531
2021-06-14,1,0.51,5.664
2021-06-14,1,0.282,6.109
2021-06-14,1,0.617,14.412
2021-06-14,1,0.4,16.334
2021-06-14,1,0.634,16.91
2021-06-14,1,0.617,29.284
2021-06-14,1,0.451,34.666
2021-06-14,1,0.55,38.171
2021-06-14,1,0.764,73.544
2021-06-15,1,0.084,0.664
2021-06-15,1,0.515,0.66
2021-06-15,1,0.184,0.737
2021-06-15,1,0.698,1.472
2021-06-15,1,0.085,1.548
2021-06-15,1,0.269,1.767
2021-06-15,1,0.357,2.796
2021-06-15,1,0.481,3.531
2021-06-15,1,0.51,5.664
2021-06-15,1,0.282,6.109
2021-06-15,1,0.617,14.412
2021-06-15,1,0.4,16.334
2021-06-15,1,0.634,16.91
2021-06-15,1,0.617,29.284
2021-06-15,1,0.451,34.666
2021-06-15,1,0.55,38.171
2021-06-15,1,0.764,73.544
2021-06-16,1,0.021,0.664
2021-06-16,1,0.482,0.66
2021-06-16,1,0.149,0.737
2021-06-16,1,0.661,1.472
2021-06-16,1,0.054,1.548
2021-06-16,1,0.252,1.767
2021-06-16,1,0.255,2.796
2021-06-16,1,0.474,3.531
2021-06-16,1,0.429,5.664
2021-06-16,1,0.181,6.109
2021-06-16,1,0.56,14.412
2021-06-16,1,0.301,16.334
2021-06-16,1,0.574,16.91
2021-06-16,1,0.549,29.284
2021-06-16,1,0.396,34.666
2021-06-16,1,0.499,38.171
2021-06-16,1,0.708,73.544
2021-06-17,1,0.202,0.664
2021-06-17,1,0.325,0.66
2021-06-17,1,0.245,0.737
2021-06-17,1,0.714,1.472
2021-06-17,1,0.228,1.548
2021-06-17,1,0.324,1.767
2021-06-17,1,0.244,2.796
2021-06-17,1,0.396,3.531
2021-06-17,1,0.518,5.664
2021-06-17,1,0.36,6.109
2021-06-17,1,0.557,14.412
2021-06-17,1,0.364,16.334
2021-06-17,1,0.479,16.91
2021-06-17,1,0.613,29.284
2021-06-17,1,0.467,34.666
2021-06-17,1,0.479,38.171
2021-06-17,1,0.624,73.544
2021-06-18,1,0.202,0.664
2021-06-18,1,0.325,0.66
2021-06-18,1,0.245,0.737
2021-06-18,1,0.714,1.472
2021-06-18,1,0.228,1.548
2021-06-18,1,0.324,1.767
2021-06-18,1,0.244,2.796
2021-06-18,1,0.396,3.531
2021-06-18,1,0.518,5.664
2021-06-18,1,0.36,6.109
2021-06-18,1,0.557,14.412
2021-06-18,1,0.364,16.334
2021-06-18,1,0.479,16.91
2021-06-18,1,0.613,29.284
2021-06-18,1,0.467,34.666
2021-06-18,1,0.479,38.171
2021-06-18,1,0.624,73.544
2021-06-19,1,0.202,0.664
2021-06-19,1,0.325,0.66
2021-06-19,1,0.245,0.737
2021-06-19,1,0.714,1.472
2021-06-19,1,0.228,1.548
2021-06-19,1,0.324,1.767
2021-06-19,1,0.244,2.796
2021-06-19,1,0.396,3.531
2021-06-19,1,0.518,5.664
2021-06-19,1,0.36,6.109
2021-06-19,1,0.557,14.412
2021-06-19,1,0.364,16.334
2021-06-19,1,0.479,16.91
2021-06-19,1,0.613,29.284
2021-06-19,1,0.467,34.666
2021-06-19,1,0.479,38.171
2021-06-19,1,0.624,73.544
2021-06-20,1,0.202,0.664
2021-06-20,1,0.325,0.66
2021-06-20,1,0.245,0.737
2021-06-20,1,0.714,1.472
2021-06-20,1,0.228,1.548
2021-06-20,1,0.324,1.767
2021-06-20,1,0.244,2.796
2021-06-20,1,0.396,3.531
2021-06-20,1,0.518,5.664
2021-06-20,1,0.36,6.109
2021-06-20,1,0.557,14.412
2021-06-20,1,0.364,16.334
2021-06-20,1,0.479,16.91
2021-06-20,1,0.613,29.284
2021-06-20,1,0.467,34.666
2021-06-20,1,0.479,38.171
2021-06-20,1,0.624,73.544
2021-06-21,1,0.202,0.664
2021-06-21,1,0.325,0.66
2021-06-21,1,0.245,0.737
2021-06-21,1,0.714,1.472
2021-06-21,1,0.228,1.548
2021-06-21,1,0.324,1.767
2021-06-21,1,0.244,2.796
2021-06-21,1,0.396,3.531
2021-06-21,1,0.518,5.664
2021-06-21,1,0.36,6.109
2021-06-21,1,0.557,14.412
2021-06-21,1,0.364,16.334
2021-06-21,1,0.479,16.91
2021-06-21,1,0.613,29.284
2021-06-21,1,0.467,34.666
2021-06-21,1,0.479,38.171
2021-06-21,1,0.624,73.544
2021-06-22,1,0.202,0.664
2021-06-22,1,0.325,0.66
2021-06-22,1,0.245,0.737
2021-06-22,1,0.714,1.472
2021-06-22,1,0.228,1.548
2021-06-22,1,0.324,1.767
2021-06-22,1,0.244,2.796
2021-06-22,1,0.396,3.531
2021-06-22,1,0.518,5.664
2021-06-22,1,0.36,6.109
2021-06-22,1,0.557,14.412
2021-06-22,1,0.364,16.334
2021-06-22,1,0.479,16.91
2021-06-22,1,0.613,29.284
2021-06-22,1,0.467,34.666
2021-06-22,1,0.479,38.171
2021-06-22,1,0.624,73.544
2021-06-23,1,0.202,0.664
2021-06-23,1,0.325,0.66
2021-06-23,1,0.245,0.737
2021-06-23,1,0.714,1.472
2021-06-23,1,0.228,1.548
2021-06-23,1,0.324,1.767
2021-06-23,1,0.244,2.796
2021-06-23,1,0.396,3.531
2021-06-23,1,0.518,5.664
2021-06-23,1,0.36,6.109
2021-06-23,1,0.557,14.412
2021-06-23,1,0.364,16.334
2021-06-23,1,0.479,16.91
2021-06-23,1,0.613,29.284
2021-06-23,1,0.467,34.666
2021-06-23,1,0.479,38.171
2021-06-23,1,0.624,73.544
2021-06-24,1,0.383,0.664
2021-06-24,1,0.167,0.66
2021-06-24,1,0.342,0.737
2021-06-24,1,0.781,1.472
2021-06-24,1,0.414,1.548
2021-06-24,1,0.395,1.767
2021-06-24,1,0.233,2.796
2021-06-24,1,0.319,3.531
2021-06-24,1,0.607,5.664
2021-06-24,1,0.539,6.109
2021-06-24,1,0.532,14.412
2021-06-24,1,0.418,16.334
2021-06-24,1,0.385,16.91
2021-06-24,1,0.677,29.284
2021-06-24,1,0.538,34.666
2021-06-24,1,0.459,38.171
2021-06-24,1,0.54,73.544
2021-06-25,1,0.236,0.664
2021-06-25,1,0.199,0.66
2021-06-25,1,0.337,0.737
2021-06-25,1,0.633,1.472
2021-06-25,1,0.257,1.548
2021-06-25,1,0.408,1.767
2021-06-25,1,0.218,2.796
2021-06-25,1,0.329,3.531
2021-06-25,1,0.586,5.664
2021-06-25,1,0.457,6.109
2021-06-25,1,0.565,14.412
2021-06-25,1,0.352,16.334
2021-06-25,1,0.376,16.91
2021-06-25,1,0.572,29.284
2021-06-25,1,0.454,34.666
2021-06-25,1,0.406,38.171
2021-06-25,1,0.508,73.544
2021-06-26,1,0.236,0.664
2021-06-26,1,0.199,0.66
2021-06-26,1,0.337,0.737
2021-06-26,1,0.633,1.472
2021-06-26,1,0.257,1.548
2021-06-26,1,0.408,1.767
2021-06-26,1,0.218,2.796
2021-06-26,1,0.329,3.531
2021-06-26,1,0.586,5.664
2021-06-26,1,0.457,6.109
2021-06-26,1,0.565,14.412
2021-06-26,1,0.352,16.334
2021-06-26,1,0.376,16.91
2021-06-26,1,0.572,29.284
