time,label,etof,hectares
2021-06-07,1,0.284,0.664
2021-06-07,1,0.752,0.66
2021-06-07,1,0.267,0.737
2021-06-07,1,0.603,1.472
2021-06-07,1,0.217,1.548
2021-06-07,1,0.155,1.767
2021-06-07,1,0.634,2.796
2021-06-07,1,0.529,3.531
2021-06-07,1,0.765,5.664
2021-06-07,1,0.584,6.109
2021-06-07,1,0.678,14.412
2021-06-07,1,0.666,16.334
2021-06-07,1,0.747,16.91
2021-06-07,1,0.65,29.284
2021-06-07,1,0.347,34.666
2021-06-07,1,0.653,38.171
2021-06-07,1,0.809,73.544
2021-06-08,1,0.109,0.664
2021-06-08,1,0.614,0.66
2021-06-08,1,0.004,0.737
2021-06-08,1,0.556,1.472
2021-06-08,1,0.032,1.548
2021-06-08,1,0.036,1.767
2021-06-08,1,0.464,2.796
2021-06-08,1,0.356,3.531
2021-06-08,1,0.824,5.664
2021-06-08,1,0.398,6.109
2021-06-08,1,0.704,14.412
2021-06-08,1,0.543,16.334
2021-06-08,1,0.737,16.91
2021-06-08,1,0.665,29.284
2021-06-08,1,0.177,34.666
2021-06-08,1,0.572,38.171
2021-06-08,1,0.781,73.544
2021-06-09,1,0.145,0.664
2021-06-09,1,0.554,0.66
2021-06-09,1,0.092,0.737
2021-06-09,1,0.547,1.472
2021-06-09,1,0.102,1.548
2021-06-09,1,0.076,1.767
2021-06-09,1,0.469,2.796
2021-06-09,1,0.348,3.531
2021-06-09,1,0.739,5.664
2021-06-09,1,0.422,6.109
2021-06-09,1,0.576,14.412
2021-06-09,1,0.512,16.334
2021-06-09,1,0.63,16.91
2021-06-09,1,0.576,29.284
2021-06-09,1,0.212,34.666
2021-06-09,1,0.509,38.171
2021-06-09,1,0.653,73.544
2021-06-10,1,0.145,0.664
2021-06-10,1,0.554,0.66
2021-06-10,1,0.092,0.737
2021-06-10,1,0.547,1.472
2021-06-10,1,0.102,1.548
2021-06-10,1,0.076,1.767
2021-06-10,1,0.469,2.796
2021-06-10,1,0.348,3.531
2021-06-10,1,0.739,5.664
2021-06-10,1,0.422,6.109
2021-06-10,1,0.576,14.412
2021-06-10,1,0.512,16.334
2021-06-10,1,0.63,16.91
2021-06-10,1,0.576,29.284
2021-06-10,1,0.212,34.666
2021-06-10,1,0.509,38.171
2021-06-10,1,0.653,73.544
2021-06-11,1,0.145,0.664
2021-06-11,1,0.554,0.66
2021-06-11,1,0.092,0.737
2021-06-11,1,0.547,1.472
2021-06-11,1,0.102,1.548
2021-06-11,1,0.076,1.767
2021-06-11,1,0.469,2.796
2021-06-11,1,0.348,3.531
2021-06-11,1,0.739,5.664
2021-06-11,1,0.422,6.109
2021-06-11,1,0.576,14.412
2021-06-11,1,0.512,16.334
2021-06-11,1,0.63,16.91
2021-06-11,1,0.576,29.284
2021-06-11,1,0.212,34.666
2021-06-11,1,0.509,38.171
2021-06-11,1,0.653,73.544
2021-06-12,1,0.145,0.664
2021-06-12,1,0.554,0.66
2021-06-12,1,0.092,0.737
2021-06-12,1,0.547,1.472
2021-06-12,1,0.102,1.548
2021-06-12,1,0.076,1.767
2021-06-12,1,0.469,2.796
2021-06-12,1,0.348,3.531
2021-06-12,1,0.739,5.664
2021-06-12,1,0.422,6.109
2021-06-12,1,0.576,14.412
2021-06-12,1,0.512,16.334
2021-06-12,1,0.63,16.91
2021-06-12,1,0.576,29.284
2021-06-12,1,0.212,34.666
2021-06-12,1,0.509,38.171
2021-06-12,1,0.653,73.544
2021-06-13,1,0.145,0.664
2021-06-13,1,0.554,0.66
2021-06-13,1,0.092,0.737
2021-06-13,1,0.547,1.472
2021-06-13,1,0.102,1.548
2021-06-13,1,0.076,1.767
2021-06-13,1,0.469,2.796
2021-06-13,1,0.348,3.531
2021-06-13,1,0.739,5.664
2021-06-13,1,0.422,6.109
2021-06-13,1,0.576,14.412
2021-06-13,1,0.512,16.334
