time,label,etof,hectares
2021-06-07,1,0.149,0.664
2021-06-07,1,0.532,0.66
2021-06-07,1,0.101,0.737
2021-06-07,1,0.674,1.472
2021-06-07,1,0.134,1.548
2021-06-07,1,0.241,1.767
2021-06-07,1,0.355,2.796
2021-06-07,1,0.497,3.531
2021-06-07,1,0.617,5.664
2021-06-07,1,0.337,6.109
2021-06-07,1,0.703,14.412
2021-06-07,1,0.481,16.334
2021-06-07,1,0.676,16.91
2021-06-07,1,0.612,29.284
2021-06-07,1,0.388,34.666
2021-06-07,1,0.599,38.171
2021-06-07,1,0.778,73.544
2021-06-08,1,0.158,0.664
2021-06-08,1,0.559,0.66
2021-06-08,1,0.109,0.737
2021-06-08,1,0.663,1.472
2021-06-08,1,0.099,1.548
2021-06-08,1,0.229,1.767
2021-06-08,1,0.409,2.796
2021-06-08,1,0.477,3.531
2021-06-08,1,0.632,5.664
2021-06-08,1,0.36,6.109
2021-06-08,1,0.704,14.412
2021-06-08,1,0.493,16.334
2021-06-08,1,0.682,16.91
2021-06-08,1,0.619,29.284
2021-06-08,1,0.355,34.666
2021-06-08,1,0.584,38.171
2021-06-08,1,0.784,73.544
2021-06-09,1,0.111,0.664
2021-06-09,1,0.507,0.66
2021-06-09,1,0.092,0.737
2021-06-09,1,0.635,1.472
2021-06-09,1,0.093,1.548
2021-06-09,1,0.203,1.767
2021-06-09,1,0.344,2.796
2021-06-09,1,0.442,3.531
2021-06-09,1,0.571,5.664
2021-06-09,1,0.308,6.109
2021-06-09,1,0.609,14.412
2021-06-09,1,0.41,16.334
2021-06-09,1,0.605,16.91
2021-06-09,1,0.554,29.284
2021-06-09,1,0.319,34.666
2021-06-09,1,0.529,38.171
2021-06-09,1,0.711,73.544
2021-06-10,1,0.111,0.664
2021-06-10,1,0.507,0.66
2021-06-10,1,0.092,0.737
2021-06-10,1,0.635,1.472
2021-06-10,1,0.093,1.548
2021-06-10,1,0.203,1.767
2021-06-10,1,0.344,2.796
2021-06-10,1,0.442,3.531
2021-06-10,1,0.571,5.664
2021-06-10,1,0.308,6.109
2021-06-10,1,0.609,14.412
2021-06-10,1,0.41,16.334
2021-06-10,1,0.605,16.91
2021-06-10,1,0.554,29.284
2021-06-10,1,0.319,34.666
2021-06-10,1,0.529,38.171
2021-06-10,1,0.711,73.544
2021-06-11,1,0.111,0.664
2021-06-11,1,0.507,0.66
2021-06-11,1,0.092,0.737
2021-06-11,1,0.635,1.472
2021-06-11,1,0.093,1.548
2021-06-11,1,0.203,1.767
2021-06-11,1,0.344,2.796
2021-06-11,1,0.442,3.531
2021-06-11,1,0.571,5.664
2021-06-11,1,0.308,6.109
2021-06-11,1,0.609,14.412
2021-06-11,1,0.41,16.334
2021-06-11,1,0.605,16.91
2021-06-11,1,0.554,29.284
2021-06-11,1,0.319,34.666
2021-06-11,1,0.529,38.171
2021-06-11,1,0.711,73.544
2021-06-12,1,0.111,0.664
2021-06-12,1,0.507,0.66
2021-06-12,1,0.092,0.737
2021-06-12,1,0.635,1.472
2021-06-12,1,0.093,1.548
2021-06-12,1,0.203,1.767
2021-06-12,1,0.344,2.796
2021-06-12,1,0.442,3.531
2021-06-12,1,0.571,5.664
2021-06-12,1,0.308,6.109
2021-06-12,1,0.609,14.412
2021-06-12,1,0.41,16.334
2021-06-12,1,0.605,16.91
2021-06-12,1,0.554,29.284
2021-06-12,1,0.319,34.666
2021-06-12,1,0.529,38.171
2021-06-12,1,0.711,73.544
2021-06-13,1,0.111,0.664
