time,label,etof,hectares
2021-06-07,1,0.302,0.664
2021-06-07,1,0.668,0.66
2021-06-07,1,0.253,0.737
2021-06-07,1,0.762,1.472
2021-06-07,1,0.288,1.548
2021-06-07,1,0.357,1.767
2021-06-07,1,0.494,2.796
2021-06-07,1,0.625,3.531
2021-06-07,1,0.669,5.664
2021-06-07,1,0.525,6.109
2021-06-07,1,0.757,14.412
2021-06-07,1,0.611,16.334
2021-06-07,1,0.757,16.91
2021-06-07,1,0.695,29.284
2021-06-07,1,0.548,34.666
2021-06-07,1,0.708,38.171
2021-06-07,1,0.835,73.544
2021-06-08,1,0.231,0.664
2021-06-08,1,0.631,0.66
2021-06-08,1,0.081,0.737
2021-06-08,1,0.718,1.472
2021-06-08,1,0.182,1.548
2021-06-08,1,0.251,1.767
2021-06-08,1,0.474,2.796
2021-06-08,1,0.555,3.531
2021-06-08,1,0.646,5.664
2021-06-08,1,0.491,6.109
2021-06-08,1,0.704,14.412
2021-06-08,1,0.563,16.334
2021-06-08,1,0.704,16.91
2021-06-08,1,0.662,29.284
2021-06-08,1,0.469,34.666
2021-06-08,1,0.646,38.171
2021-06-08,1,0.801,73.544
2021-06-09,1,0.282,0.664
2021-06-09,1,0.584,0.66
2021-06-09,1,0.123,0.737
2021-06-09,1,0.733,1.472
2021-06-09,1,0.287,1.548
2021-06-09,1,0.252,1.767
2021-06-09,1,0.391,2.796
2021-06-09,1,0.551,3.531
2021-06-09,1,0.634,5.664
2021-06-09,1,0.507,6.109
2021-06-09,1,0.667,14.412
2021-06-09,1,0.506,16.334
2021-06-09,1,0.7,16.91
2021-06-09,1,0.665,29.284
2021-06-09,1,0.452,34.666
2021-06-09,1,0.65,38.171
2021-06-09,1,0.818,73.544
2021-06-10,1,0.282,0.664
2021-06-10,1,0.584,0.66
2021-06-10,1,0.123,0.737
2021-06-10,1,0.733,1.472
2021-06-10,1,0.287,1.548
2021-06-10,1,0.252,1.767
2021-06-10,1,0.391,2.796
2021-06-10,1,0.551,3.531
2021-06-10,1,0.634,5.664
2021-06-10,1,0.507,6.109
2021-06-10,1,0.667,14.412
2021-06-10,1,0.506,16.334
2021-06-10,1,0.7,16.91
2021-06-10,1,0.665,29.284
2021-06-10,1,0.452,34.666
2021-06-10,1,0.65,38.171
2021-06-10,1,0.818,73.544
2021-06-11,1,0.282,0.664
2021-06-11,1,0.584,0.66
2021-06-11,1,0.123,0.737
2021-06-11,1,0.733,1.472
2021-06-11,1,0.287,1.548
2021-06-11,1,0.252,1.767
2021-06-11,1,0.391,2.796
2021-06-11,1,0.551,3.531
2021-06-11,1,0.634,5.664
2021-06-11,1,0.507,6.109
2021-06-11,1,0.667,14.412
2021-06-11,1,0.506,16.334
2021-06-11,1,0.7,16.91
2021-06-11,1,0.665,29.284
2021-06-11,1,0.452,34.666
2021-06-11,1,0.65,38.171
2021-06-11,1,0.818,73.544
2021-06-12,1,0.282,0.664
2021-06-12,1,0.584,0.66
2021-06-12,1,0.123,0.737
2021-06-12,1,0.733,1.472
2021-06-12,1,0.287,1.548
2021-06-12,1,0.252,1.767
2021-06-12,1,0.391,2.796
2021-06-12,1,0.551,3.531
2021-06-12,1,0.634,5.664
2021-06-12,1,0.507,6.109
2021-06-12,1,0.667,14.412
2021-06-12,1,0.506,16.334
2021-06-12,1,0.7,16.91
2021-06-12,1,0.665,29.284
2021-06-12,1,0.452,34.666
2021-06-12,1,0.65,38.171
2021-06-12,1,0.818,73.544
2021-06-13,1,0.282,0.664
2021-06-13,1,0.584,0.66
2021-06-13,1,0.123,0.737
2021-06-13,1,0.733,1.472
2021-06-13,1,0.287,1.548
2021-06-13,1,0.252,1.767
2021-06-13,1,0.391,2.796
2021-06-13,1,0.551,3.531
2021-06-13,1,0.634,5.664
2021-06-13,1,0.507,6.109
2021-06-13,1,0.667,14.412
2021-06-13,1,0.506,16.334
2021-06-13,1,0.7,16.91
2021-06-13,1,0.665,29.284
2021-06-13,1,0.452,34.666
2021-06-13,1,0.65,38.171
2021-06-13,1,0.818,73.544
2021-06-14,1,0.282,0.664
2021-06-14,1,0.584,0.66
2021-06-14,1,0.123,0.737
2021-06-14,1,0.733,1.472
2021-06-14,1,0.287,1.548
2021-06-14,1,0.252,1.767
2021-06-14,1,0.391,2.796
2021-06-14,1,0.551,3.531
2021-06-14,1,0.634,5.664
2021-06-14,1,0.507,6.109
2021-06-14,1,0.667,14.412
2021-06-14,1,0.506,16.334
2021-06-14,1,0.7,16.91
2021-06-14,1,0.665,29.284
2021-06-14,1,0.452,34.666
2021-06-14,1,0.65,38.171
2021-06-14,1,0.818,73.544
2021-06-15,1,0.282,0.664
2021-06-15,1,0.584,0.66
2021-06-15,1,0.123,0.737
2021-06-15,1,0.733,1.472
2021-06-15,1,0.287,1.548
2021-06-15,1,0.252,1.767
2021-06-15,1,0.391,2.796
2021-06-15,1,0.551,3.531
2021-06-15,1,0.634,5.664
2021-06-15,1,0.507,6.109
2021-06-15,1,0.667,14.412
2021-06-15,1,0.506,16.334
2021-06-15,1,0.7,16.91
2021-06-15,1,0.665,29.284
2021-06-15,1,0.452,34.666
2021-06-15,1,0.65,38.171
2021-06-15,1,0.818,73.544
2021-06-16,1,0.332,0.664
2021-06-16,1,0.536,0.66
2021-06-16,1,0.164,0.737
2021-06-16,1,0.731,1.472
2021-06-16,1,0.38,1.548
2021-06-16,1,0.253,1.767
2021-06-16,1,0.308,2.796
2021-06-16,1,0.547,3.531
2021-06-16,1,0.623,5.664
2021-06-16,1,0.524,6.109
2021-06-16,1,0.659,14.412
2021-06-16,1,0.44,16.334
2021-06-16,1,0.697,16.91
2021-06-16,1,0.667,29.284
2021-06-16,1,0.435,34.666
2021-06-16,1,0.655,38.171
2021-06-16,1,0.835,73.544
2021-06-17,1,0.401,0.664
2021-06-17,1,0.442,0.66
2021-06-17,1,0.114,0.737
2021-06-17,1,0.75,1.472
2021-06-17,1,0.432,1.548
2021-06-17,1,0.349,1.767
2021-06-17,1,0.201,2.796
2021-06-17,1,0.495,3.531
2021-06-17,1,0.611,5.664
2021-06-17,1,0.573,6.109
2021-06-17,1,0.613,14.412
2021-06-17,1,0.507,16.334
2021-06-17,1,0.594,16.91
2021-06-17,1,0.683,29.284
2021-06-17,1,0.48,34.666
2021-06-17,1,0.608,38.171
2021-06-17,1,0.69,73.544
2021-06-18,1,0.401,0.664
2021-06-18,1,0.442,0.66
2021-06-18,1,0.114,0.737
2021-06-18,1,0.75,1.472
2021-06-18,1,0.432,1.548
2021-06-18,1,0.349,1.767
2021-06-18,1,0.201,2.796
2021-06-18,1,0.495,3.531
2021-06-18,1,0.611,5.664
2021-06-18,1,0.573,6.109
2021-06-18,1,0.613,14.412
2021-06-18,1,0.507,16.334
2021-06-18,1,0.594,16.91
2021-06-18,1,0.683,29.284
2021-06-18,1,0.48,34.666
2021-06-18,1,0.608,38.171
2021-06-18,1,0.69,73.544
2021-06-19,1,0.401,0.664
2021-06-19,1,0.442,0.66
2021-06-19,1,0.114,0.737
2021-06-19,1,0.75,1.472
2021-06-19,1,0.432,1.548
2021-06-19,1,0.349,1.767
2021-06-19,1,0.201,2.796
2021-06-19,1,0.495,3.531
2021-06-19,1,0.611,5.664
2021-06-19,1,0.573,6.109
2021-06-19,1,0.613,14.412
2021-06-19,1,0.507,16.334
2021-06-19,1,0.594,16.91
2021-06-19,1,0.683,29.284
2021-06-19,1,0.48,34.666
2021-06-19,1,0.608,38.171
2021-06-19,1,0.69,73.544
2021-06-20,1,0.401,0.664
2021-06-20,1,0.442,0.66
2021-06-20,1,0.114,0.737
2021-06-20,1,0.75,1.472
2021-06-20,1,0.432,1.548
2021-06-20,1,0.349,1.767
2021-06-20,1,0.201,2.796
2021-06-20,1,0.495,3.531
2021-06-20,1,0.611,5.664
2021-06-20,1,0.573,6.109
2021-06-20,1,0.613,14.412
2021-06-20,1,0.507,16.334
2021-06-20,1,0.594,16.91
2021-06-20,1,0.683,29.284
2021-06-20,1,0.48,34.666
2021-06-20,1,0.608,38.171
2021-06-20,1,0.69,73.544
2021-06-21,1,0.401,0.664
2021-06-21,1,0.442,0.66
2021-06-21,1,0.114,0.737
2021-06-21,1,0.75,1.472
2021-06-21,1,0.432,1.548
2021-06-21,1,0.349,1.767
2021-06-21,1,0.201,2.796
2021-06-21,1,0.495,3.531
2021-06-21,1,0.611,5.664
2021-06-21,1,0.573,6.109
2021-06-21,1,0.613,14.412
2021-06-21,1,0.507,16.334
2021-06-21,1,0.594,16.91
2021-06-21,1,0.683,29.284
2021-06-21,1,0.48,34.666
2021-06-21,1,0.608,38.171
2021-06-21,1,0.69,73.544
2021-06-22,1,0.401,0.664
2021-06-22,1,0.442,0.66
2021-06-22,1,0.114,0.737
2021-06-22,1,0.75,1.472
2021-06-22,1,0.432,1.548
2021-06-22,1,0.349,1.767
2021-06-22,1,0.201,2.796
2021-06-22,1,0.495,3.531
2021-06-22,1,0.611,5.664
2021-06-22,1,0.573,6.109
2021-06-22,1,0.613,14.412
2021-06-22,1,0.507,16.334
2021-06-22,1,0.594,16.91
2021-06-22,1,0.683,29.284
2021-06-22,1,0.48,34.666
2021-06-22,1,0.608,38.171
2021-06-22,1,0.69,73.544
2021-06-23,1,0.401,0.664
2021-06-23,1,0.442,0.66
2021-06-23,1,0.114,0.737
2021-06-23,1,0.75,1.472
2021-06-23,1,0.432,1.548
2021-06-23,1,0.349,1.767
2021-06-23,1,0.201,2.796
2021-06-23,1,0.495,3.531
2021-06-23,1,0.611,5.664
2021-06-23,1,0.573,6.109
2021-06-23,1,0.613,14.412
2021-06-23,1,0.507,16.334
2021-06-23,1,0.594,16.91
2021-06-23,1,0.683,29.284
2021-06-23,1,0.48,34.666
2021-06-23,1,0.608,38.171
2021-06-23,1,0.69,73.544
2021-06-24,1,0.47,0.664
2021-06-24,1,0.347,0.66
2021-06-24,1,0.063,0.737
2021-06-24,1,0.794,1.472
2021-06-24,1,0.496,1.548
2021-06-24,1,0.446,1.767
2021-06-24,1,0.093,2.796
2021-06-24,1,0.443,3.531
2021-06-24,1,0.599,5.664
2021-06-24,1,0.599,6.109
2021-06-24,1,0.538,14.412
2021-06-24,1,0.529,16.334
2021-06-24,1,0.491,16.91
2021-06-24,1,0.699,29.284
2021-06-24,1,0.524,34.666
2021-06-24,1,0.561,38.171
2021-06-24,1,0.545,73.544
2021-06-25,1,0.658,0.664
2021-06-25,1,0.381,0.66
2021-06-25,1,0.25,0.737
2021-06-25,1,0.722,1.472
2021-06-25,1,0.706,1.548
2021-06-25,1,0.606,1.767
2021-06-25,1,0.205,2.796
2021-06-25,1,0.466,3.531
2021-06-25,1,0.72,5.664
2021-06-25,1,0.838,6.109
2021-06-25,1,0.827,14.412
2021-06-25,1,0.649,16.334
2021-06-25,1,0.511,16.91
2021-06-25,1,0.646,29.284
2021-06-25,1,0.498,34.666
2021-06-25,1,0.543,38.171
2021-06-25,1,0.59,73.544
2021-06-26,1,0.658,0.664
2021-06-26,1,0.381,0.66
2021-06-26,1,0.25,0.737
2021-06-26,1,0.722,1.472
2021-06-26,1,0.706,1.548
2021-06-26,1,0.606,1.767
2021-06-26,1,0.205,2.796
2021-06-26,1,0.466,3.531
2021-06-26,1,0.72,5.664
2021-06-26,1,0.838,6.109
2021-06-26,1,0.827,14.412
2021-06-26,1,0.649,16.334
2021-06-26,1,0.511,16.91
2021-06-26,1,0.646,29.284
2021-06-26,1,0.498,34.666
2021-06-26,1,0.543,38.171
2021-06-26,1,0.59,73.544
2021-06-27,1,0.658,0.664
2021-06-27,1,0.381,0.66
2021-06-27,1,0.25,0.737
2021-06-27,1,0.722,1.472
2021-06-27,1,0.706,1.548
2021-06-27,1,0.606,1.767
2021-06-27,1,0.205,2.796
2021-06-27,1,0.466,3.531
2021-06-27,1,0.72,5.664
2021-06-27,1,0.838,6.109
2021-06-27,1,0.827,14.412
2021-06-27,1,0.649,16.334
2021-06-27,1,0.511,16.91
2021-06-27,1,0.646,29.284
2021-06-27,1,0.498,34.666
2021-06-27,1,0.543,38.171
2021-06-27,1,0.59,73.544
2021-06-28,1,0.658,0.664
2021-06-28,1,0.381,0.66
2021-06-28,1,0.25,0.737
2021-06-28,1,0.722,1.472
2021-06-28,1,0.706,1.548
2021-06-28,1,0.606,1.767
2021-06-28,1,0.205,2.796
2021-06-28,1,0.466,3.531
2021-06-28,1,0.72,5.664
2021-06-28,1,0.838,6.109
2021-06-28,1,0.827,14.412
2021-06-28,1,0.649,16.334
2021-06-28,1,0.511,16.91
2021-06-28,1,0.646,29.284
2021-06-28,1,0.498,34.666
