time,label,etof,hectares
2021-06-07,1,0.24,0.664
2021-06-07,1,0.545,0.66
2021-06-07,1,0.187,0.737
2021-06-07,1,0.594,1.472
2021-06-07,1,0.264,1.548
2021-06-07,1,0.396,1.767
2021-06-07,1,0.385,2.796
2021-06-07,1,0.546,3.531
2021-06-07,1,0.532,5.664
2021-06-07,1,0.297,6.109
2021-06-07,1,0.6,14.412
2021-06-07,1,0.455,16.334
2021-06-07,1,0.59,16.91
2021-06-07,1,0.5,29.284
2021-06-07,1,0.327,34.666
2021-06-07,1,0.538,38.171
2021-06-07,1,0.643,73.544
2021-06-08,1,0.236,0.664
2021-06-08,1,0.511,0.66
2021-06-08,1,0.182,0.737
2021-06-08,1,0.555,1.472
2021-06-08,1,0.258,1.548
2021-06-08,1,0.368,1.767
2021-06-08,1,0.381,2.796
2021-06-08,1,0.506,3.531
2021-06-08,1,0.5,5.664
2021-06-08,1,0.288,6.109
2021-06-08,1,0.554,14.412
2021-06-08,1,0.429,16.334
2021-06-08,1,0.541,16.91
2021-06-08,1,0.47,29.284
2021-06-08,1,0.307,34.666
2021-06-08,1,0.498,38.171
2021-06-08,1,0.598,73.544
2021-06-09,1,0.237,0.664
2021-06-09,1,0.561,0.66
2021-06-09,1,0.177,0.737
2021-06-09,1,0.595,1.472
2021-06-09,1,0.259,1.548
2021-06-09,1,0.394,1.767
2021-06-09,1,0.39,2.796
2021-06-09,1,0.558,3.531
2021-06-09,1,0.541,5.664
2021-06-09,1,0.294,6.109
2021-06-09,1,0.581,14.412
2021-06-09,1,0.43,16.334
2021-06-09,1,0.599,16.91
2021-06-09,1,0.503,29.284
2021-06-09,1,0.323,34.666
2021-06-09,1,0.547,38.171
2021-06-09,1,0.669,73.544
2021-06-10,1,0.237,0.664
2021-06-10,1,0.561,0.66
2021-06-10,1,0.177,0.737
2021-06-10,1,0.595,1.472
2021-06-10,1,0.259,1.548
2021-06-10,1,0.394,1.767
2021-06-10,1,0.39,2.796
2021-06-10,1,0.558,3.531
2021-06-10,1,0.541,5.664
2021-06-10,1,0.294,6.109
2021-06-10,1,0.581,14.412
2021-06-10,1,0.43,16.334
2021-06-10,1,0.599,16.91
2021-06-10,1,0.503,29.284
2021-06-10,1,0.323,34.666
2021-06-10,1,0.547,38.171
2021-06-10,1,0.669,73.544
2021-06-11,1,0.237,0.664
2021-06-11,1,0.561,0.66
2021-06-11,1,0.177,0.737
2021-06-11,1,0.595,1.472
2021-06-11,1,0.259,1.548
2021-06-11,1,0.394,1.767
2021-06-11,1,0.39,2.796
2021-06-11,1,0.558,3.531
2021-06-11,1,0.541,5.664
2021-06-11,1,0.294,6.109
2021-06-11,1,0.581,14.412
2021-06-11,1,0.43,16.334
2021-06-11,1,0.599,16.91
2021-06-11,1,0.503,29.284
2021-06-11,1,0.323,34.666
2021-06-11,1,0.547,38.171
2021-06-11,1,0.669,73.544
2021-06-12,1,0.237,0.664
2021-06-12,1,0.561,0.66
