time,label,etof,hectares
2021-06-07,1,0.171,0.664
2021-06-07,1,0.559,0.66
2021-06-07,1,0.092,0.737
2021-06-07,1,0.691,1.472
2021-06-07,1,0.132,1.548
2021-06-07,1,0.257,1.767
2021-06-07,1,0.392,2.796
2021-06-07,1,0.536,3.531
2021-06-07,1,0.685,5.664
2021-06-07,1,0.449,6.109
2021-06-07,1,0.745,14.412
2021-06-07,1,0.503,16.334
2021-06-07,1,0.689,16.91
2021-06-07,1,0.656,29.284
2021-06-07,1,0.453,34.666
2021-06-07,1,0.629,38.171
2021-06-07,1,0.796,73.544
2021-06-08,1,0.212,0.664
2021-06-08,1,0.649,0.66
2021-06-08,1,0.155,0.737
2021-06-08,1,0.713,1.472
2021-06-08,1,0.141,1.548
2021-06-08,1,0.308,1.767
2021-06-08,1,0.48,2.796
2021-06-08,1,0.594,3.531
2021-06-08,1,0.713,5.664
2021-06-08,1,0.502,6.109
2021-06-08,1,0.766,14.412
2021-06-08,1,0.557,16.334
2021-06-08,1,0.73,16.91
2021-06-08,1,0.696,29.284
2021-06-08,1,0.502,34.666
2021-06-08,1,0.667,38.171
2021-06-08,1,0.827,73.544
2021-06-09,1,0.153,0.664
2021-06-09,1,0.524,0.66
2021-06-09,1,0.083,0.737
2021-06-09,1,0.641,1.472
2021-06-09,1,0.134,1.548
2021-06-09,1,0.256,1.767
2021-06-09,1,0.381,2.796
2021-06-09,1,0.501,3.531
2021-06-09,1,0.626,5.664
2021-06-09,1,0.412,6.109
2021-06-09,1,0.635,14.412
2021-06-09,1,0.438,16.334
2021-06-09,1,0.624,16.91
2021-06-09,1,0.609,29.284
2021-06-09,1,0.426,34.666
2021-06-09,1,0.578,38.171
2021-06-09,1,0.737,73.544
2021-06-10,1,0.153,0.664
2021-06-10,1,0.524,0.66
2021-06-10,1,0.083,0.737
2021-06-10,1,0.641,1.472
2021-06-10,1,0.134,1.548
2021-06-10,1,0.256,1.767
2021-06-10,1,0.381,2.796
2021-06-10,1,0.501,3.531
2021-06-10,1,0.626,5.664
2021-06-10,1,0.412,6.109
2021-06-10,1,0.635,14.412
2021-06-10,1,0.438,16.334
2021-06-10,1,0.624,16.91
2021-06-10,1,0.609,29.284
2021-06-10,1,0.426,34.666
2021-06-10,1,0.578,38.171
2021-06-10,1,0.737,73.544
2021-06-11,1,0.153,0.664
2021-06-11,1,0.524,0.66
2021-06-11,1,0.083,0.737
2021-06-11,1,0.641,1.472
2021-06-11,1,0.134,1.548
2021-06-11,1,0.256,1.767
2021-06-11,1,0.381,2.796
2021-06-11,1,0.501,3.531
2021-06-11,1,0.626,5.664
2021-06-11,1,0.412,6.109
2021-06-11,1,0.635,14.412
2021-06-11,1,0.438,16.334
2021-06-11,1,0.624,16.91
2021-06-11,1,0.609,29.284
2021-06-11,1,0.426,34.666
2021-06-11,1,0.578,38.171
2021-06-11,1,0.737,73.544
2021-06-12,1,0.153,0.664
2021-06-12,1,0.524,0.66
2021-06-12,1,0.083,0.737
2021-06-12,1,0.641,1.472
2021-06-12,1,0.134,1.548
2021-06-12,1,0.256,1.767
2021-06-12,1,0.381,2.796
2021-06-12,1,0.501,3.531
2021-06-12,1,0.626,5.664
2021-06-12,1,0.412,6.109
2021-06-12,1,0.635,14.412
2021-06-12,1,0.438,16.334
2021-06-12,1,0.624,16.91
2021-06-12,1,0.609,29.284
2021-06-12,1,0.426,34.666
2021-06-12,1,0.578,38.171
2021-06-12,1,0.737,73.544
2021-06-13,1,0.153,0.664
2021-06-13,1,0.524,0.66
2021-06-13,1,0.083,0.737
2021-06-13,1,0.641,1.472
2021-06-13,1,0.134,1.548
2021-06-13,1,0.256,1.767
2021-06-13,1,0.381,2.796
2021-06-13,1,0.501,3.531
2021-06-13,1,0.626,5.664
2021-06-13,1,0.412,6.109
2021-06-13,1,0.635,14.412
2021-06-13,1,0.438,16.334
2021-06-13,1,0.624,16.91
2021-06-13,1,0.609,29.284
2021-06-13,1,0.426,34.666
2021-06-13,1,0.578,38.171
2021-06-13,1,0.737,73.544
2021-06-14,1,0.153,0.664
2021-06-14,1,0.524,0.66
2021-06-14,1,0.083,0.737
2021-06-14,1,0.641,1.472
2021-06-14,1,0.134,1.548
2021-06-14,1,0.256,1.767
2021-06-14,1,0.381,2.796
2021-06-14,1,0.501,3.531
2021-06-14,1,0.626,5.664
2021-06-14,1,0.412,6.109
2021-06-14,1,0.635,14.412
2021-06-14,1,0.438,16.334
2021-06-14,1,0.624,16.91
2021-06-14,1,0.609,29.284
2021-06-14,1,0.426,34.666
2021-06-14,1,0.578,38.171
2021-06-14,1,0.737,73.544
2021-06-15,1,0.153,0.664
2021-06-15,1,0.524,0.66
2021-06-15,1,0.083,0.737
2021-06-15,1,0.641,1.472
2021-06-15,1,0.134,1.548
2021-06-15,1,0.256,1.767
2021-06-15,1,0.381,2.796
2021-06-15,1,0.501,3.531
2021-06-15,1,0.626,5.664
2021-06-15,1,0.412,6.109
2021-06-15,1,0.635,14.412
2021-06-15,1,0.438,16.334
2021-06-15,1,0.624,16.91
2021-06-15,1,0.609,29.284
2021-06-15,1,0.426,34.666
2021-06-15,1,0.578,38.171
2021-06-15,1,0.737,73.544
2021-06-16,1,0.095,0.664
2021-06-16,1,0.4,0.66
2021-06-16,1,0.011,0.737
2021-06-16,1,0.587,1.472
2021-06-16,1,0.121,1.548
2021-06-16,1,0.204,1.767
2021-06-16,1,0.281,2.796
2021-06-16,1,0.409,3.531
2021-06-16,1,0.54,5.664
2021-06-16,1,0.321,6.109
2021-06-16,1,0.556,14.412
2021-06-16,1,0.345,16.334
2021-06-16,1,0.519,16.91
2021-06-16,1,0.521,29.284
2021-06-16,1,0.35,34.666
2021-06-16,1,0.489,38.171
2021-06-16,1,0.647,73.544
2021-06-17,1,0.205,0.664
2021-06-17,1,0.256,0.66
2021-06-17,1,0.082,0.737
2021-06-17,1,0.605,1.472
2021-06-17,1,0.211,1.548
2021-06-17,1,0.201,1.767
2021-06-17,1,0.164,2.796
2021-06-17,1,0.289,3.531
2021-06-17,1,0.503,5.664
2021-06-17,1,0.388,6.109
2021-06-17,1,0.484,14.412
2021-06-17,1,0.309,16.334
2021-06-17,1,0.374,16.91
2021-06-17,1,0.516,29.284
2021-06-17,1,0.334,34.666
2021-06-17,1,0.4,38.171
2021-06-17,1,0.507,73.544
2021-06-18,1,0.205,0.664
2021-06-18,1,0.256,0.66
2021-06-18,1,0.082,0.737
2021-06-18,1,0.605,1.472
2021-06-18,1,0.211,1.548
2021-06-18,1,0.201,1.767
2021-06-18,1,0.164,2.796
2021-06-18,1,0.289,3.531
2021-06-18,1,0.503,5.664
2021-06-18,1,0.388,6.109
2021-06-18,1,0.484,14.412
2021-06-18,1,0.309,16.334
2021-06-18,1,0.374,16.91
2021-06-18,1,0.516,29.284
2021-06-18,1,0.334,34.666
2021-06-18,1,0.4,38.171
2021-06-18,1,0.507,73.544
