time,id,etof,hectares
2021-05-31,1,0.111,780.735
2021-06-01,1,0.138,780.735
2021-06-02,1,0.198,780.735
2021-06-03,1,0.16,780.735
2021-06-04,1,0.16,780.735
2021-06-05,1,0.16,780.735
2021-06-06,1,0.16,780.735
2021-06-07,1,0.16,780.735
2021-06-08,1,0.16,780.735
2021-06-09,1,0.146,780.735
2021-06-10,1,0.111,780.735
2021-06-11,1,0.177,780.735
2021-06-12,1,0.177,780.735
2021-06-13,1,0.177,780.735
2021-06-14,1,0.177,780.735
2021-06-15,1,0.177,780.735
2021-06-16,1,0.177,780.735
2021-06-17,1,0.244,780.735
2021-06-18,1,0.155,780.735
2021-06-19,1,0.143,780.735
2021-06-20,1,0.143,780.735
2021-06-21,1,0.143,780.735
2021-06-22,1,0.143,780.735
2021-06-23,1,0.143,780.735
2021-06-24,1,0.143,780.735
2021-06-25,1,0.123,780.735
2021-06-26,1,0.166,780.735
2021-06-27,1,0.177,780.735
2021-06-28,1,0.177,780.735
