time,label,etof,hectares
2021-05-31,1,0.397,0.452
2021-05-31,1,0.48,0.455
2021-05-31,1,0.541,0.602
2021-05-31,1,0.535,0.68
2021-05-31,1,0.421,0.754
2021-05-31,1,0.429,0.754
2021-05-31,1,0.413,0.98
2021-05-31,1,0.398,1.355
2021-05-31,1,0.674,7.623
2021-05-31,1,0.784,16.434
2021-05-31,1,0.687,35.668
2021-05-31,1,0.508,144.532
2021-06-01,1,0.486,0.452
2021-06-01,1,0.577,0.455
2021-06-01,1,0.652,0.602
2021-06-01,1,0.69,0.68
2021-06-01,1,0.524,0.754
2021-06-01,1,0.573,0.754
2021-06-01,1,0.539,0.98
2021-06-01,1,0.515,1.355
2021-06-01,1,0.674,7.623
2021-06-01,1,0.972,16.434
2021-06-01,1,0.687,35.668
2021-06-01,1,0.609,144.532
2021-06-02,1,0.253,0.452
2021-06-02,1,0.375,0.455
2021-06-02,1,0.737,0.602
2021-06-02,1,0.649,0.68
2021-06-02,1,0.659,0.754
2021-06-02,1,0.397,0.754
2021-06-02,1,0.344,0.98
2021-06-02,1,0.323,1.355
2021-06-02,1,0.803,7.623
2021-06-02,1,0.641,16.434
2021-06-02,1,0.763,35.668
2021-06-02,1,0.432,144.532
2021-06-03,1,0.282,0.452
2021-06-03,1,0.388,0.455
2021-06-03,1,0.802,0.602
2021-06-03,1,0.705,0.68
2021-06-03,1,0.659,0.754
2021-06-03,1,0.667,0.754
2021-06-03,1,0.322,0.98
2021-06-03,1,0.362,1.355
2021-06-03,1,0.649,7.623
2021-06-03,1,0.68,16.434
2021-06-03,1,0.703,35.668
2021-06-03,1,0.481,144.532
2021-06-04,1,0.282,0.452
2021-06-04,1,0.388,0.455
2021-06-04,1,0.802,0.602
2021-06-04,1,0.705,0.68
2021-06-04,1,0.659,0.754
2021-06-04,1,0.667,0.754
2021-06-04,1,0.322,0.98
2021-06-04,1,0.362,1.355
2021-06-04,1,0.649,7.623
2021-06-04,1,0.68,16.434
2021-06-04,1,0.703,35.668
2021-06-04,1,0.481,144.532
2021-06-05,1,0.282,0.452
2021-06-05,1,0.388,0.455
2021-06-05,1,0.802,0.602
2021-06-05,1,0.705,0.68
2021-06-05,1,0.659,0.754
2021-06-05,1,0.667,0.754
2021-06-05,1,0.322,0.98
2021-06-05,1,0.362,1.355
2021-06-05,1,0.649,7.623
2021-06-05,1,0.68,16.434
2021-06-05,1,0.703,35.668
2021-06-05,1,0.481,144.532
2021-06-06,1,0.282,0.452
2021-06-06,1,0.388,0.455
2021-06-06,1,0.802,0.602
2021-06-06,1,0.705,0.68
2021-06-06,1,0.659,0.754
2021-06-06,1,0.667,0.754
2021-06-06,1,0.322,0.98
2021-06-06,1,0.362,1.355
2021-06-06,1,0.649,7.623
2021-06-06,1,0.68,16.434
2021-06-06,1,0.703,35.668
2021-06-06,1,0.481,144.532
2021-06-07,1,0.282,0.452
2021-06-07,1,0.388,0.455
2021-06-07,1,0.802,0.602
2021-06-07,1,0.705,0.68
2021-06-07,1,0.659,0.754
2021-06-07,1,0.667,0.754
2021-06-07,1,0.322,0.98
2021-06-07,1,0.362,1.355
2021-06-07,1,0.649,7.623
2021-06-07,1,0.68,16.434
2021-06-07,1,0.703,35.668
2021-06-07,1,0.481,144.532
2021-06-08,1,0.282,0.452
2021-06-08,1,0.388,0.455
2021-06-08,1,0.802,0.602
2021-06-08,1,0.705,0.68
2021-06-08,1,0.659,0.754
2021-06-08,1,0.667,0.754
2021-06-08,1,0.322,0.98
2021-06-08,1,0.362,1.355
2021-06-08,1,0.649,7.623
2021-06-08,1,0.68,16.434
