time,id,etof,hectares
2021-05-31,1,0.189,780.735
2021-06-01,1,0.317,780.735
2021-06-02,1,0.555,780.735
2021-06-03,1,0.517,780.735
2021-06-04,1,0.517,780.735
2021-06-05,1,0.517,780.735
2021-06-06,1,0.517,780.735
2021-06-07,1,0.517,780.735
2021-06-08,1,0.517,780.735
2021-06-09,1,0.631,780.735
2021-06-10,1,0.195,780.735
2021-06-11,1,0.31,780.735
2021-06-12,1,0.31,780.735
2021-06-13,1,0.31,780.735
2021-06-14,1,0.31,780.735
2021-06-15,1,0.31,780.735
2021-06-16,1,0.31,780.735
2021-06-17,1,0.403,780.735
2021-06-18,1,0.115,780.735
2021-06-19,1,0.166,780.735
2021-06-20,1,0.166,780.735
2021-06-21,1,0.166,780.735
2021-06-22,1,0.166,780.735
2021-06-23,1,0.166,780.735
2021-06-24,1,0.166,780.735
2021-06-25,1,0.203,780.735
2021-06-26,1,0.223,780.735
2021-06-27,1,0.162,780.735
2021-06-28,1,0.162,780.735
