time,label,etof,hectares
2021-05-31,1,0.264,0.452
2021-05-31,1,0.31,0.455
2021-05-31,1,0.363,0.602
2021-05-31,1,0.367,0.68
2021-05-31,1,0.257,0.754
2021-05-31,1,0.306,0.754
2021-05-31,1,0.264,0.98
2021-05-31,1,0.227,1.355
2021-05-31,1,0.633,7.623
2021-05-31,1,0.623,16.434
2021-05-31,1,0.599,35.668
2021-05-31,1,0.329,144.532
2021-06-01,1,0.238,0.452
2021-06-01,1,0.294,0.455
2021-06-01,1,0.356,0.602
2021-06-01,1,0.381,0.68
2021-06-01,1,0.251,0.754
2021-06-01,1,0.308,0.754
2021-06-01,1,0.27,0.98
2021-06-01,1,0.229,1.355
2021-06-01,1,0.64,7.623
2021-06-01,1,0.624,16.434
2021-06-01,1,0.599,35.668
2021-06-01,1,0.296,144.532
2021-06-02,1,0.164,0.452
2021-06-02,1,0.265,0.455
2021-06-02,1,0.537,0.602
2021-06-02,1,0.478,0.68
2021-06-02,1,0.455,0.754
2021-06-02,1,0.243,0.754
2021-06-02,1,0.246,0.98
2021-06-02,1,0.159,1.355
2021-06-02,1,0.639,7.623
2021-06-02,1,0.555,16.434
2021-06-02,1,0.596,35.668
2021-06-02,1,0.296,144.532
2021-06-03,1,0.246,0.452
2021-06-03,1,0.352,0.455
2021-06-03,1,0.601,0.602
2021-06-03,1,0.536,0.68
2021-06-03,1,0.455,0.754
2021-06-03,1,0.483,0.754
2021-06-03,1,0.283,0.98
2021-06-03,1,0.252,1.355
2021-06-03,1,0.644,7.623
2021-06-03,1,0.602,16.434
2021-06-03,1,0.602,35.668
2021-06-03,1,0.367,144.532
2021-06-04,1,0.246,0.452
2021-06-04,1,0.352,0.455
2021-06-04,1,0.601,0.602
2021-06-04,1,0.536,0.68
2021-06-04,1,0.455,0.754
2021-06-04,1,0.483,0.754
2021-06-04,1,0.283,0.98
2021-06-04,1,0.252,1.355
2021-06-04,1,0.644,7.623
2021-06-04,1,0.602,16.434
2021-06-04,1,0.602,35.668
2021-06-04,1,0.367,144.532
2021-06-05,1,0.246,0.452
2021-06-05,1,0.352,0.455
2021-06-05,1,0.601,0.602
2021-06-05,1,0.536,0.68
2021-06-05,1,0.455,0.754
2021-06-05,1,0.483,0.754
2021-06-05,1,0.283,0.98
2021-06-05,1,0.252,1.355
2021-06-05,1,0.644,7.623
2021-06-05,1,0.602,16.434
2021-06-05,1,0.602,35.668
2021-06-05,1,0.367,144.532
2021-06-06,1,0.246,0.452
2021-06-06,1,0.352,0.455
2021-06-06,1,0.601,0.602
2021-06-06,1,0.536,0.68
2021-06-06,1,0.455,0.754
2021-06-06,1,0.483,0.754
2021-06-06,1,0.283,0.98
2021-06-06,1,0.252,1.355
2021-06-06,1,0.644,7.623
2021-06-06,1,0.602,16.434
2021-06-06,1,0.602,35.668
2021-06-06,1,0.367,144.532
2021-06-07,1,0.246,0.452
2021-06-07,1,0.352,0.455
2021-06-07,1,0.601,0.602
2021-06-07,1,0.536,0.68
2021-06-07,1,0.455,0.754
2021-06-07,1,0.483,0.754
2021-06-07,1,0.283,0.98
2021-06-07,1,0.252,1.355
2021-06-07,1,0.644,7.623
2021-06-07,1,0.602,16.434
2021-06-07,1,0.602,35.668
2021-06-07,1,0.367,144.532
2021-06-08,1,0.246,0.452
2021-06-08,1,0.352,0.455
2021-06-08,1,0.601,0.602
2021-06-08,1,0.536,0.68
2021-06-08,1,0.455,0.754
2021-06-08,1,0.483,0.754
2021-06-08,1,0.283,0.98
2021-06-08,1,0.252,1.355
2021-06-08,1,0.644,7.623
2021-06-08,1,0.602,16.434
2021-06-08,1,0.602,35.668
2021-06-08,1,0.367,144.532
2021-06-09,1,0.246,0.452
2021-06-09,1,0.373,0.455
2021-06-09,1,0.854,0.602
2021-06-09,1,0.696,0.68
2021-06-09,1,0.66,0.754
2021-06-09,1,0.74,0.754
2021-06-09,1,0.283,0.98
2021-06-09,1,0.284,1.355
2021-06-09,1,0.652,7.623
2021-06-09,1,0.631,16.434
2021-06-09,1,0.604,35.668
2021-06-09,1,0.438,144.532
2021-06-10,1,0.328,0.452
2021-06-10,1,0.409,0.455
2021-06-10,1,0.518,0.602
2021-06-10,1,0.564,0.68
2021-06-10,1,0.464,0.754
2021-06-10,1,0.374,0.754
2021-06-10,1,0.32,0.98
2021-06-10,1,0.307,1.355
2021-06-10,1,0.596,7.623
2021-06-10,1,0.633,16.434
