time,label,etof,hectares
2021-05-31,1,0.321,0.452
2021-05-31,1,0.466,0.455
2021-05-31,1,0.542,0.602
2021-05-31,1,0.507,0.68
2021-05-31,1,0.367,0.754
2021-05-31,1,0.354,0.754
2021-05-31,1,0.385,0.98
2021-05-31,1,0.271,1.355
2021-05-31,1,0.786,7.623
2021-05-31,1,0.666,16.434
2021-05-31,1,0.77,35.668
2021-05-31,1,0.395,144.532
2021-06-01,1,0.0,0.452
2021-06-01,1,0.155,0.455
2021-06-01,1,0.26,0.602
2021-06-01,1,0.268,0.68
2021-06-01,1,0.026,0.754
2021-06-01,1,0.085,0.754
2021-06-01,1,0.079,0.98
2021-06-01,1,0.002,1.355
2021-06-01,1,0.787,7.623
2021-06-01,1,0.475,16.434
2021-06-01,1,0.77,35.668
2021-06-01,1,0.098,144.532
2021-06-02,1,0.386,0.452
2021-06-02,1,0.514,0.455
2021-06-02,1,0.625,0.602
2021-06-02,1,0.602,0.68
2021-06-02,1,0.512,0.754
2021-06-02,1,0.481,0.754
2021-06-02,1,0.483,0.98
2021-06-02,1,0.373,1.355
2021-06-02,1,0.682,7.623
2021-06-02,1,0.613,16.434
2021-06-02,1,0.705,35.668
2021-06-02,1,0.43,144.532
2021-06-03,1,0.497,0.452
2021-06-03,1,0.623,0.455
2021-06-03,1,0.676,0.602
2021-06-03,1,0.676,0.68
2021-06-03,1,0.512,0.754
2021-06-03,1,0.749,0.754
2021-06-03,1,0.572,0.98
2021-06-03,1,0.499,1.355
2021-06-03,1,0.724,7.623
2021-06-03,1,0.678,16.434
2021-06-03,1,0.749,35.668
2021-06-03,1,0.535,144.532
2021-06-04,1,0.497,0.452
2021-06-04,1,0.623,0.455
2021-06-04,1,0.676,0.602
2021-06-04,1,0.676,0.68
2021-06-04,1,0.512,0.754
2021-06-04,1,0.749,0.754
2021-06-04,1,0.572,0.98
2021-06-04,1,0.499,1.355
2021-06-04,1,0.724,7.623
2021-06-04,1,0.678,16.434
2021-06-04,1,0.749,35.668
2021-06-04,1,0.535,144.532
2021-06-05,1,0.497,0.452
2021-06-05,1,0.623,0.455
2021-06-05,1,0.676,0.602
2021-06-05,1,0.676,0.68
2021-06-05,1,0.512,0.754
2021-06-05,1,0.749,0.754
2021-06-05,1,0.572,0.98
2021-06-05,1,0.499,1.355
2021-06-05,1,0.724,7.623
2021-06-05,1,0.678,16.434
2021-06-05,1,0.749,35.668
2021-06-05,1,0.535,144.532
2021-06-06,1,0.497,0.452
2021-06-06,1,0.623,0.455
2021-06-06,1,0.676,0.602
2021-06-06,1,0.676,0.68
2021-06-06,1,0.512,0.754
2021-06-06,1,0.749,0.754
2021-06-06,1,0.572,0.98
2021-06-06,1,0.499,1.355
2021-06-06,1,0.724,7.623
2021-06-06,1,0.678,16.434
2021-06-06,1,0.749,35.668
2021-06-06,1,0.535,144.532
2021-06-07,1,0.497,0.452
2021-06-07,1,0.623,0.455
2021-06-07,1,0.676,0.602
2021-06-07,1,0.676,0.68
2021-06-07,1,0.512,0.754
2021-06-07,1,0.749,0.754
2021-06-07,1,0.572,0.98
2021-06-07,1,0.499,1.355
2021-06-07,1,0.724,7.623
2021-06-07,1,0.678,16.434
2021-06-07,1,0.749,35.668
2021-06-07,1,0.535,144.532
2021-06-08,1,0.497,0.452
2021-06-08,1,0.623,0.455
2021-06-08,1,0.676,0.602
2021-06-08,1,0.676,0.68
2021-06-08,1,0.512,0.754
2021-06-08,1,0.749,0.754
2021-06-08,1,0.572,0.98
2021-06-08,1,0.499,1.355
2021-06-08,1,0.724,7.623
2021-06-08,1,0.678,16.434
2021-06-08,1,0.749,35.668
2021-06-08,1,0.535,144.532
2021-06-09,1,0.497,0.452
2021-06-09,1,0.641,0.455
2021-06-09,1,1.031,0.602
2021-06-09,1,0.972,0.68
2021-06-09,1,0.997,0.754
2021-06-09,1,1.052,0.754
2021-06-09,1,0.572,0.98
2021-06-09,1,0.545,1.355
2021-06-09,1,0.761,7.623
2021-06-09,1,0.781,16.434
2021-06-09,1,0.743,35.668
2021-06-09,1,0.699,144.532
2021-06-10,1,0.607,0.452
2021-06-10,1,0.712,0.455
2021-06-10,1,0.786,0.602
2021-06-10,1,0.813,0.68
2021-06-10,1,0.737,0.754
2021-06-10,1,0.643,0.754
2021-06-10,1,0.66,0.98
2021-06-10,1,0.566,1.355
2021-06-10,1,0.802,7.623
2021-06-10,1,0.823,16.434
2021-06-10,1,0.802,35.668
2021-06-10,1,0.694,144.532
2021-06-11,1,0.304,0.452
2021-06-11,1,0.429,0.455
2021-06-11,1,0.475,0.602
2021-06-11,1,0.516,0.68
2021-06-11,1,0.423,0.754
2021-06-11,1,0.375,0.754
2021-06-11,1,0.387,0.98
2021-06-11,1,0.326,1.355
2021-06-11,1,0.659,7.623
2021-06-11,1,0.546,16.434
2021-06-11,1,0.567,35.668
2021-06-11,1,0.369,144.532
2021-06-12,1,0.304,0.452
2021-06-12,1,0.429,0.455
2021-06-12,1,0.475,0.602
2021-06-12,1,0.516,0.68
2021-06-12,1,0.423,0.754
2021-06-12,1,0.375,0.754
2021-06-12,1,0.387,0.98
2021-06-12,1,0.326,1.355
2021-06-12,1,0.659,7.623
2021-06-12,1,0.546,16.434
2021-06-12,1,0.567,35.668
2021-06-12,1,0.369,144.532
2021-06-13,1,0.304,0.452
2021-06-13,1,0.429,0.455
2021-06-13,1,0.475,0.602
2021-06-13,1,0.516,0.68
2021-06-13,1,0.423,0.754
2021-06-13,1,0.375,0.754
2021-06-13,1,0.387,0.98
2021-06-13,1,0.326,1.355
2021-06-13,1,0.659,7.623
2021-06-13,1,0.546,16.434
2021-06-13,1,0.567,35.668
2021-06-13,1,0.369,144.532
2021-06-14,1,0.304,0.452
2021-06-14,1,0.429,0.455
2021-06-14,1,0.475,0.602
2021-06-14,1,0.516,0.68
2021-06-14,1,0.423,0.754
2021-06-14,1,0.375,0.754
2021-06-14,1,0.387,0.98
2021-06-14,1,0.326,1.355
2021-06-14,1,0.659,7.623
2021-06-14,1,0.546,16.434
2021-06-14,1,0.567,35.668
2021-06-14,1,0.369,144.532
2021-06-15,1,0.304,0.452
2021-06-15,1,0.429,0.455
2021-06-15,1,0.475,0.602
2021-06-15,1,0.516,0.68
2021-06-15,1,0.423,0.754
2021-06-15,1,0.375,0.754
2021-06-15,1,0.387,0.98
2021-06-15,1,0.326,1.355
2021-06-15,1,0.659,7.623
2021-06-15,1,0.546,16.434
2021-06-15,1,0.567,35.668
2021-06-15,1,0.369,144.532
2021-06-16,1,0.304,0.452
2021-06-16,1,0.429,0.455
2021-06-16,1,0.475,0.602
2021-06-16,1,0.516,0.68
2021-06-16,1,0.423,0.754
2021-06-16,1,0.375,0.754
2021-06-16,1,0.387,0.98
2021-06-16,1,0.326,1.355
2021-06-16,1,0.659,7.623
2021-06-16,1,0.546,16.434
2021-06-16,1,0.567,35.668
2021-06-16,1,0.369,144.532
2021-06-17,1,0.001,0.452
2021-06-17,1,0.147,0.455
2021-06-17,1,0.164,0.602
2021-06-17,1,0.22,0.68
2021-06-17,1,0.108,0.754
2021-06-17,1,0.107,0.754
2021-06-17,1,0.113,0.98
2021-06-17,1,0.085,1.355
2021-06-17,1,0.515,7.623
2021-06-17,1,0.269,16.434
2021-06-17,1,0.332,35.668
2021-06-17,1,0.043,144.532
2021-06-18,1,0.0,0.452
2021-06-18,1,0.048,0.455
2021-06-18,1,0.043,0.602
2021-06-18,1,0.012,0.68
2021-06-18,1,0.002,0.754
2021-06-18,1,0.04,0.754
2021-06-18,1,0.011,0.98
2021-06-18,1,0.029,1.355
2021-06-18,1,0.408,7.623
2021-06-18,1,0.083,16.434
2021-06-18,1,0.181,35.668
2021-06-18,1,0.025,144.532
2021-06-19,1,0.0,0.452
2021-06-19,1,0.027,0.455
2021-06-19,1,0.022,0.602
2021-06-19,1,0.008,0.68
2021-06-19,1,0.001,0.754
2021-06-19,1,0.04,0.754
2021-06-19,1,0.017,0.98
2021-06-19,1,0.029,1.355
2021-06-19,1,0.415,7.623
2021-06-19,1,0.073,16.434
2021-06-19,1,0.195,35.668
2021-06-19,1,0.025,144.532
2021-06-20,1,0.0,0.452
2021-06-20,1,0.027,0.455
2021-06-20,1,0.022,0.602
2021-06-20,1,0.008,0.68
2021-06-20,1,0.001,0.754
2021-06-20,1,0.04,0.754
2021-06-20,1,0.017,0.98
2021-06-20,1,0.029,1.355
2021-06-20,1,0.415,7.623
2021-06-20,1,0.073,16.434
2021-06-20,1,0.195,35.668
2021-06-20,1,0.025,144.532
2021-06-21,1,0.0,0.452
2021-06-21,1,0.027,0.455
2021-06-21,1,0.022,0.602
2021-06-21,1,0.008,0.68
2021-06-21,1,0.001,0.754
2021-06-21,1,0.04,0.754
2021-06-21,1,0.017,0.98
2021-06-21,1,0.029,1.355
2021-06-21,1,0.415,7.623
2021-06-21,1,0.073,16.434
2021-06-21,1,0.195,35.668
2021-06-21,1,0.025,144.532
2021-06-22,1,0.0,0.452
2021-06-22,1,0.027,0.455
2021-06-22,1,0.022,0.602
2021-06-22,1,0.008,0.68
2021-06-22,1,0.001,0.754
2021-06-22,1,0.04,0.754
2021-06-22,1,0.017,0.98
2021-06-22,1,0.029,1.355
2021-06-22,1,0.415,7.623
2021-06-22,1,0.073,16.434
2021-06-22,1,0.195,35.668
2021-06-22,1,0.025,144.532
2021-06-23,1,0.0,0.452
2021-06-23,1,0.027,0.455
2021-06-23,1,0.022,0.602
2021-06-23,1,0.008,0.68
2021-06-23,1,0.001,0.754
2021-06-23,1,0.04,0.754
2021-06-23,1,0.017,0.98
2021-06-23,1,0.029,1.355
2021-06-23,1,0.415,7.623
2021-06-23,1,0.073,16.434
2021-06-23,1,0.195,35.668
2021-06-23,1,0.025,144.532
2021-06-24,1,0.0,0.452
2021-06-24,1,0.027,0.455
2021-06-24,1,0.022,0.602
