time,label,etof,hectares
2021-05-31,1,0.234,0.452
2021-05-31,1,0.146,0.455
2021-05-31,1,0.215,0.602
2021-05-31,1,0.295,0.68
2021-05-31,1,0.126,0.754
2021-05-31,1,0.296,0.754
2021-05-31,1,0.148,0.98
2021-05-31,1,0.168,1.355
2021-05-31,1,0.406,7.623
2021-05-31,1,0.528,16.434
2021-05-31,1,0.416,35.668
2021-05-31,1,0.219,144.532
2021-06-01,1,0.22,0.452
2021-06-01,1,0.135,0.455
2021-06-01,1,0.208,0.602
2021-06-01,1,0.283,0.68
2021-06-01,1,0.122,0.754
2021-06-01,1,0.281,0.754
2021-06-01,1,0.141,0.98
2021-06-01,1,0.157,1.355
2021-06-01,1,0.407,7.623
2021-06-01,1,0.501,16.434
2021-06-01,1,0.416,35.668
2021-06-01,1,0.209,144.532
2021-06-02,1,0.168,0.452
2021-06-02,1,0.109,0.455
2021-06-02,1,0.172,0.602
2021-06-02,1,0.243,0.68
2021-06-02,1,0.112,0.754
2021-06-02,1,0.236,0.754
2021-06-02,1,0.105,0.98
2021-06-02,1,0.112,1.355
2021-06-02,1,0.37,7.623
2021-06-02,1,0.474,16.434
2021-06-02,1,0.386,35.668
2021-06-02,1,0.17,144.532
2021-06-03,1,0.191,0.452
2021-06-03,1,0.117,0.455
2021-06-03,1,0.17,0.602
2021-06-03,1,0.237,0.68
2021-06-03,1,0.112,0.754
2021-06-03,1,0.217,0.754
2021-06-03,1,0.113,0.98
2021-06-03,1,0.13,1.355
2021-06-03,1,0.402,7.623
2021-06-03,1,0.486,16.434
2021-06-03,1,0.402,35.668
2021-06-03,1,0.181,144.532
2021-06-04,1,0.191,0.452
2021-06-04,1,0.117,0.455
2021-06-04,1,0.17,0.602
2021-06-04,1,0.237,0.68
2021-06-04,1,0.112,0.754
2021-06-04,1,0.217,0.754
2021-06-04,1,0.113,0.98
2021-06-04,1,0.13,1.355
2021-06-04,1,0.402,7.623
2021-06-04,1,0.486,16.434
2021-06-04,1,0.402,35.668
2021-06-04,1,0.181,144.532
2021-06-05,1,0.191,0.452
2021-06-05,1,0.117,0.455
2021-06-05,1,0.17,0.602
2021-06-05,1,0.237,0.68
2021-06-05,1,0.112,0.754
2021-06-05,1,0.217,0.754
2021-06-05,1,0.113,0.98
2021-06-05,1,0.13,1.355
2021-06-05,1,0.402,7.623
2021-06-05,1,0.486,16.434
2021-06-05,1,0.402,35.668
2021-06-05,1,0.181,144.532
2021-06-06,1,0.191,0.452
2021-06-06,1,0.117,0.455
2021-06-06,1,0.17,0.602
2021-06-06,1,0.237,0.68
2021-06-06,1,0.112,0.754
2021-06-06,1,0.217,0.754
2021-06-06,1,0.113,0.98
2021-06-06,1,0.13,1.355
2021-06-06,1,0.402,7.623
2021-06-06,1,0.486,16.434
2021-06-06,1,0.402,35.668
2021-06-06,1,0.181,144.532
2021-06-07,1,0.191,0.452
2021-06-07,1,0.117,0.455
2021-06-07,1,0.17,0.602
2021-06-07,1,0.237,0.68
2021-06-07,1,0.112,0.754
2021-06-07,1,0.217,0.754
2021-06-07,1,0.113,0.98
2021-06-07,1,0.13,1.355
2021-06-07,1,0.402,7.623
2021-06-07,1,0.486,16.434
2021-06-07,1,0.402,35.668
2021-06-07,1,0.181,144.532
2021-06-08,1,0.191,0.452
2021-06-08,1,0.117,0.455
2021-06-08,1,0.17,0.602
2021-06-08,1,0.237,0.68
2021-06-08,1,0.112,0.754
2021-06-08,1,0.217,0.754
2021-06-08,1,0.113,0.98
2021-06-08,1,0.13,1.355
2021-06-08,1,0.402,7.623
2021-06-08,1,0.486,16.434
2021-06-08,1,0.402,35.668
2021-06-08,1,0.181,144.532
2021-06-09,1,0.191,0.452
2021-06-09,1,0.117,0.455
2021-06-09,1,0.138,0.602
2021-06-09,1,0.206,0.68
2021-06-09,1,0.102,0.754
2021-06-09,1,0.194,0.754
2021-06-09,1,0.113,0.98
2021-06-09,1,0.13,1.355
2021-06-09,1,0.433,7.623
2021-06-09,1,0.49,16.434
2021-06-09,1,0.409,35.668
2021-06-09,1,0.179,144.532
2021-06-10,1,0.213,0.452
2021-06-10,1,0.127,0.455
2021-06-10,1,0.2,0.602
2021-06-10,1,0.283,0.68
2021-06-10,1,0.143,0.754
2021-06-10,1,0.277,0.754
2021-06-10,1,0.121,0.98
2021-06-10,1,0.155,1.355
2021-06-10,1,0.392,7.623
2021-06-10,1,0.495,16.434
2021-06-10,1,0.404,35.668
2021-06-10,1,0.217,144.532
2021-06-11,1,0.172,0.452
2021-06-11,1,0.106,0.455
2021-06-11,1,0.151,0.602
2021-06-11,1,0.179,0.68
2021-06-11,1,0.12,0.754
2021-06-11,1,0.202,0.754
2021-06-11,1,0.108,0.98
2021-06-11,1,0.126,1.355
2021-06-11,1,0.267,7.623
2021-06-11,1,0.351,16.434
2021-06-11,1,0.319,35.668
