time,label,etof,hectares
2021-05-31,1,0.15,0.452
2021-05-31,1,0.322,0.455
2021-05-31,1,0.363,0.602
2021-05-31,1,0.311,0.68
2021-05-31,1,0.251,0.754
2021-05-31,1,0.216,0.754
2021-05-31,1,0.267,0.98
2021-05-31,1,0.134,1.355
2021-05-31,1,0.555,7.623
2021-05-31,1,0.452,16.434
2021-05-31,1,0.421,35.668
2021-05-31,1,0.234,144.532
2021-06-01,1,0.133,0.452
2021-06-01,1,0.319,0.455
2021-06-01,1,0.362,0.602
2021-06-01,1,0.361,0.68
2021-06-01,1,0.249,0.754
2021-06-01,1,0.258,0.754
2021-06-01,1,0.288,0.98
2021-06-01,1,0.165,1.355
2021-06-01,1,0.566,7.623
2021-06-01,1,0.506,16.434
2021-06-01,1,0.421,35.668
2021-06-01,1,0.234,144.532
2021-06-02,1,0.0,0.452
2021-06-02,1,0.12,0.455
2021-06-02,1,0.439,0.602
2021-06-02,1,0.335,0.68
2021-06-02,1,0.367,0.754
2021-06-02,1,0.05,0.754
2021-06-02,1,0.08,0.98
2021-06-02,1,0.008,1.355
2021-06-02,1,0.561,7.623
2021-06-02,1,0.312,16.434
2021-06-02,1,0.419,35.668
2021-06-02,1,0.142,144.532
2021-06-03,1,0.107,0.452
2021-06-03,1,0.26,0.455
2021-06-03,1,0.492,0.602
2021-06-03,1,0.371,0.68
2021-06-03,1,0.367,0.754
2021-06-03,1,0.309,0.754
2021-06-03,1,0.205,0.98
2021-06-03,1,0.12,1.355
2021-06-03,1,0.478,7.623
2021-06-03,1,0.343,16.434
2021-06-03,1,0.433,35.668
2021-06-03,1,0.187,144.532
2021-06-04,1,0.107,0.452
2021-06-04,1,0.26,0.455
2021-06-04,1,0.492,0.602
2021-06-04,1,0.371,0.68
2021-06-04,1,0.367,0.754
2021-06-04,1,0.309,0.754
2021-06-04,1,0.205,0.98
2021-06-04,1,0.12,1.355
2021-06-04,1,0.478,7.623
2021-06-04,1,0.343,16.434
2021-06-04,1,0.433,35.668
2021-06-04,1,0.187,144.532
2021-06-05,1,0.107,0.452
2021-06-05,1,0.26,0.455
2021-06-05,1,0.492,0.602
